Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,374.097168,374.690796,370.040558,370.931030,369.197357,179950
2014-01-02,371.079437,372.019379,365.093506,368.012268,366.292206,374231
2014-01-03,364.104095,364.104095,356.238251,358.860199,357.182922,602062
2014-01-06,362.619965,366.082916,360.344330,362.966248,361.269775,587018
2014-01-07,363.114685,366.082916,359.998016,361.432678,359.743378,272253
2014-01-08,363.114685,367.814392,359.157013,366.330261,364.618073,401337
2014-01-09,367.072327,368.952209,361.185303,364.252502,362.550018,215744
2014-01-10,363.015717,366.676575,362.224213,364.252502,362.550018,976780
2014-01-13,370.040558,375.234985,366.577606,372.068878,370.329865,1318722
2014-01-14,370.832092,371.079437,364.499847,367.863861,366.144501,221863
2014-01-15,370.040558,373.750854,368.952209,372.761444,371.019196,425066
2014-01-16,375.284454,375.482330,363.065216,365.835571,364.125671,420156
2014-01-17,366.577606,369.892151,363.114685,365.736603,364.027191,742534
2014-01-20,366.676575,372.563568,366.082916,370.634216,368.901917,338728
2014-01-21,369.545868,383.298706,368.358551,380.577820,378.799042,868532
2014-01-22,377.560120,383.100830,376.125458,381.220947,379.439178,435908
2014-01-23,380.924103,384.881775,376.323334,378.945282,377.174133,407293
2014-01-24,375.977051,377.955872,365.340851,366.577606,364.864258,313286
2014-01-27,361.927368,361.927368,341.792816,344.117950,342.509583,771555
2014-01-28,340.358154,355.446716,340.358154,352.478485,350.831024,389693
2014-01-29,356.040375,358.612854,346.739868,348.125061,346.497955,351351
2014-01-30,345.898895,362.768372,345.305237,357.376068,355.705719,544975
2014-01-31,356.980316,356.980316,343.425354,346.146240,344.528381,644492
2014-02-03,344.315826,346.195709,332.047089,333.036499,331.479950,555199
2014-02-04,327.545258,343.227478,327.545258,342.238037,340.638458,1038867
2014-02-05,338.874054,354.704651,335.905792,352.033234,350.387878,1045629
2014-02-06,350.202820,356.188782,345.503113,353.863647,352.209717,1326568
2014-02-07,355.199371,359.305420,352.478485,357.079254,355.410309,421775
2014-02-10,361.135834,363.362030,356.188782,360.146423,358.463135,742215
2014-02-11,377.213806,378.401123,367.022858,370.337402,368.606506,1585572
2014-02-12,371.524689,378.846344,370.634216,372.068878,370.329865,1319107
2014-02-13,375.878113,379.341064,370.733154,371.969910,370.231354,769769
2014-02-14,375.037109,384.881775,375.037109,384.040771,382.245789,801750
2014-02-17,386.118530,391.263489,380.182037,382.259827,380.473175,802924
2014-02-18,383.546051,390.224609,381.369354,387.305817,385.495575,512134
2014-02-19,387.206879,388.542603,383.496582,387.305817,385.495575,285706
2014-02-20,386.860596,390.818237,384.881775,387.058472,385.249390,582768
2014-02-21,390.818237,393.390717,388.839417,391.758179,389.927155,652645
2014-02-24,391.956085,396.309479,389.878296,392.401306,390.567291,453526
2014-02-25,395.072723,395.517944,389.235168,394.380127,392.536835,314812
2014-02-26,393.786499,398.238831,391.906586,396.210541,394.358704,411377
2014-02-28,405.659454,413.574738,400.415558,412.634796,410.706207,1279451
2014-03-03,409.221344,409.617096,403.878510,406.302551,404.403564,517216
2014-03-04,407.094086,415.850403,401.701782,408.528748,406.619324,456293
2014-03-05,410.606506,411.843262,403.185913,405.461548,403.566467,307482
2014-03-06,406.648865,407.638275,400.217682,403.631134,401.744598,466576
2014-03-07,403.482727,411.348572,401.404968,404.670044,402.778656,576528
2014-03-10,399.475616,402.443848,389.433075,391.708710,389.877899,690756
2014-03-11,387.948944,400.217682,387.948944,393.885437,392.044464,656059
2014-03-12,393.291779,393.390717,383.892365,384.634399,382.836639,385153
2014-03-13,388.839417,392.351837,381.023041,383.892365,382.098083,453339
2014-03-14,379.934692,390.323547,378.945282,389.136230,387.317444,327724
2014-03-18,388.839417,393.093903,376.372803,377.362213,375.598480,543847
2014-03-19,380.924103,383.447113,375.630737,380.478882,378.700562,580264
2014-03-20,379.637878,380.924103,375.136047,376.075989,374.318268,283663
2014-03-21,377.807465,385.871185,377.807465,385.030182,383.230591,361198
2014-03-22,null,null,null,null,null,null
2014-03-24,387.850006,390.274078,385.228058,386.959534,385.150940,312589
2014-03-25,389.828827,389.828827,382.902924,386.563782,384.757019,344968
2014-03-26,389.779358,398.535675,389.779358,397.002075,395.146545,500836
2014-03-27,398.090424,400.613434,389.977234,392.648651,390.813446,356235
2014-03-28,395.765320,398.733551,390.818237,392.252899,390.419556,364466
2014-03-31,395.765320,399.970306,392.698120,394.132782,392.290649,295125
2014-04-01,398.733551,401.256561,395.468475,398.733551,396.869934,540189
2014-04-02,401.701782,409.913910,400.712372,409.171875,407.259460,998300
2014-04-03,410.655975,413.426331,402.592255,406.896210,404.994415,368956
2014-04-04,409.270813,409.270813,400.217682,400.811310,398.937958,387922
2014-04-07,399.722961,419.115479,395.963196,398.980896,397.116089,417592
2014-04-09,401.652313,418.521820,401.652313,416.542999,414.596130,391427
2014-04-10,417.581879,430.394775,417.581879,426.239227,424.247040,602290
2014-04-11,425.447723,433.066193,417.631348,418.769165,416.811859,574966
2014-04-15,419.857513,424.210938,405.362610,407.984558,406.077667,302135
2014-04-16,408.281403,414.366272,405.263672,406.846741,404.945160,357138
2014-04-17,409.617096,425.695068,409.617096,424.112000,422.129761,761413
2014-04-21,420.500641,429.900055,419.906982,427.377075,425.379547,348159
2014-04-22,426.437134,429.999023,421.935303,424.507751,422.523621,362832
2014-04-23,426.832886,428.811707,418.027100,420.945892,418.978455,258933
2014-04-24,420.945892,420.945892,420.945892,420.945892,418.978455,0
2014-04-25,417.779755,425.942413,417.779755,419.313354,417.353516,239438
2014-04-28,419.313354,419.362823,410.705444,412.090637,410.164581,239507
2014-04-29,412.634796,414.564148,403.779572,404.818451,402.926361,222875
2014-04-30,408.380341,413.574738,400.514496,410.062347,408.145782,326578
2014-05-02,411.793793,415.504120,406.896210,410.309692,408.391937,243540
2014-05-05,405.659454,411.348572,404.670044,409.864441,407.948761,241321
2014-05-06,410.606506,417.186096,410.111816,413.871582,411.937195,216977
2014-05-07,414.564148,416.988220,411.002289,412.090637,410.164581,180095
2014-05-08,413.129517,419.511230,413.129517,417.680817,415.728638,163623
2014-05-09,419.758575,424.458282,414.959930,422.974182,420.997253,316367
2014-05-12,421.984772,441.278320,421.984772,440.288910,438.231049,917460
2014-05-13,443.257141,450.727203,433.956665,436.133362,434.094940,494671
2014-05-14,435.341827,441.080444,429.553772,437.716431,435.670593,272071
2014-05-15,440.288910,443.999207,432.472534,434.649261,432.617737,361248
2014-05-16,435.341827,459.285645,435.341827,445.038086,442.958038,1088458
2014-05-19,449.836731,452.953400,438.211151,439.645782,437.590912,421874
2014-05-20,440.387848,446.967438,432.027313,435.094482,433.060883,498001
2014-05-21,435.836548,439.942627,429.454834,432.472534,430.451202,355827
2014-05-22,431.384186,436.331268,423.963593,425.843475,423.853149,440853
