Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,211.500046,211.500046,206.662552,207.262558,194.602112,1181351
2014-01-02,207.262558,208.800049,204.806305,207.356308,194.690125,2441295
2014-01-03,205.125046,209.400055,204.862549,208.725052,195.975281,2953767
2014-01-06,209.962555,211.800049,208.125046,209.250046,196.468170,4948206
2014-01-07,209.250046,209.512558,204.375046,206.325058,193.721878,3286111
2014-01-08,205.875046,206.587555,203.793793,205.181305,192.647980,2873580
2014-01-09,205.125046,207.656296,201.581299,202.837555,190.447388,4365740
2014-01-10,203.662552,208.837555,199.350052,207.506302,194.830933,7087710
2014-01-13,208.125046,213.000046,208.125046,210.543808,197.682938,5043254
2014-01-14,210.956299,211.125046,206.100052,207.600052,194.918961,3894588
2014-01-15,208.968796,211.500046,206.887558,210.262558,197.418854,3474695
2014-01-16,208.125046,215.193802,208.125046,214.331299,201.239044,4578889
2014-01-17,215.625046,215.962555,205.987549,207.262558,194.602112,6713739
2014-01-20,207.225052,216.637558,207.037552,214.893799,201.767197,12565572
2014-01-21,215.531296,216.750061,213.150055,214.331299,201.239044,5904318
2014-01-22,213.750046,218.568802,213.018799,216.731308,204.566208,5591241
2014-01-23,216.000061,217.631302,211.875046,216.937561,204.760864,5439537
2014-01-24,215.850052,220.125061,213.918808,214.818802,202.761047,5737670
2014-01-27,213.750046,217.125061,212.137558,213.956299,201.946960,5197913
2014-01-28,213.300049,214.837555,211.537552,212.850052,200.902802,3074415
2014-01-29,211.875046,215.925049,211.875046,214.312546,202.283203,3042268
2014-01-30,213.000046,215.550049,210.618805,214.200058,202.177017,5181540
2014-01-31,214.462555,217.368805,213.675049,215.643799,203.539764,2791159
2014-02-03,211.200058,215.250046,210.806305,212.231308,200.318802,3017729
2014-02-04,210.637558,210.637558,204.000046,208.368805,196.673111,5623657
2014-02-05,209.250046,212.043808,206.550049,210.150055,198.354385,4226678
2014-02-06,209.662552,214.387558,208.125046,213.206299,201.239059,7117504
2014-02-07,213.731308,215.193802,208.706299,210.618805,198.796799,3680116
2014-02-10,211.125046,213.600052,210.412552,211.200058,199.345413,2786772
2014-02-11,212.250046,214.275055,210.112549,211.181305,199.327713,3638857
2014-02-12,211.706299,214.200058,209.268799,210.918808,199.079956,3782791
2014-02-13,211.875046,212.250046,206.175049,208.200058,196.513840,2905268
2014-02-14,208.706299,212.343796,207.262558,211.425049,199.557800,3184343
2014-02-17,211.875046,213.562546,208.875046,210.375046,198.566711,2284122
2014-02-18,209.718796,211.837555,207.918808,208.893799,197.168625,2459842
