Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,278.677063,281.225006,277.178253,278.876892,271.106567,156658
2014-01-02,280.625488,281.774567,266.836517,270.683441,263.141418,295482
2014-01-03,272.681854,272.681854,266.786560,270.283783,262.752838,186243
2014-01-06,274.730225,281.474823,270.283783,279.076752,271.300812,281878
2014-01-07,283.173462,283.173462,272.781769,273.830933,266.201202,250027
2014-01-08,275.729431,278.677063,270.433655,271.682648,264.112762,106330
2014-01-09,271.682648,271.782562,267.086334,268.535156,261.052979,108693
2014-01-10,268.784973,281.774567,267.286163,277.378082,269.649536,616025
2014-01-13,281.574738,284.722229,275.829346,281.474823,273.632111,472162
2014-01-14,278.776978,283.473236,274.780182,281.125122,273.292145,156930
2014-01-15,282.573944,287.669861,280.375702,285.771393,277.808929,273577
2014-01-16,285.771393,297.861725,280.875305,291.117096,283.005707,416398
2014-01-17,290.767395,292.515991,283.922852,290.417664,282.325745,318992
2014-01-20,290.367706,296.163055,285.971222,293.015594,284.851318,213007
2014-01-21,289.968018,295.363708,287.819733,288.719025,280.674500,211698
2014-01-22,288.619110,291.117096,284.872101,287.519989,279.508850,133482
2014-01-23,286.970428,289.518372,281.274994,282.274170,274.409180,111629
2014-01-24,280.575531,284.172668,267.186249,268.285370,260.810181,227734
2014-01-27,264.788177,270.283783,258.892883,269.034760,261.538666,1524558
2014-01-28,267.785767,270.583527,264.038757,266.336914,258.916016,145708
2014-01-29,267.286163,284.772186,267.286163,281.874512,274.020691,341231
2014-01-30,278.776978,280.725433,262.490021,264.238617,256.876160,324272
2014-01-31,264.938049,275.179871,264.938049,272.282166,264.695587,231915
2014-02-03,269.784180,273.581146,264.788177,266.087128,258.673218,128729
2014-02-04,260.891296,269.184662,259.892090,266.486816,259.061707,171040
2014-02-05,269.584320,279.576324,266.786560,277.428040,269.698059,352756
2014-02-06,279.776184,283.673065,272.781769,275.479614,267.803986,312301
2014-02-07,279.576324,281.674652,275.329742,280.225830,272.417938,336794
2014-02-10,276.778564,279.526367,269.034760,269.734222,262.218628,301862
2014-02-11,269.734222,275.379700,267.136292,274.030762,266.395477,269009
2014-02-12,274.780182,276.079132,268.834930,270.183838,262.655792,324346
2014-02-13,270.183838,274.030762,268.784973,270.683441,263.141418,109620
2014-02-14,270.783386,272.781769,265.487610,270.033966,262.510040,159724
2014-02-17,270.183838,273.980804,267.136292,273.031586,265.424103,123024
