Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,545.049988,560.000000,545.049988,552.450012,522.730469,18418
2014-01-02,555.000000,570.000000,528.000000,535.250000,506.455719,216107
2014-01-03,540.200012,543.950012,535.000000,541.950012,512.795349,11496
2014-01-06,546.799988,546.799988,532.599976,538.950012,509.956787,11176
2014-01-07,536.900024,542.000000,532.000000,534.099976,505.367615,13194
2014-01-08,536.099976,546.500000,530.500000,542.549988,513.363159,18370
2014-01-09,542.549988,558.000000,532.200012,550.900024,521.263916,29107
2014-01-10,556.000000,556.000000,540.000000,541.099976,511.991058,5998
2014-01-13,539.000000,547.750000,536.000000,537.250000,508.348206,8856
2014-01-14,536.000000,547.000000,536.000000,539.299988,510.287903,3492
2014-01-15,536.049988,543.000000,536.000000,537.349976,508.442749,3880
2014-01-16,540.049988,541.049988,533.150024,534.700012,505.935425,3969
2014-01-17,531.049988,538.700012,529.500000,530.750000,502.197876,6744
2014-01-20,527.049988,537.000000,527.049988,531.450012,502.860229,6757
2014-01-21,533.000000,538.950012,525.099976,527.299988,498.933411,82794
2014-01-22,530.000000,534.450012,528.000000,529.799988,501.298920,4615
2014-01-23,527.549988,533.000000,519.500000,528.200012,499.785095,8027
2014-01-24,534.950012,534.950012,517.049988,520.099976,492.120758,115324
2014-01-27,529.500000,529.500000,515.099976,519.750000,491.789581,12972
2014-01-28,519.950012,521.000000,512.000000,515.500000,487.768219,82693
2014-01-29,516.000000,520.049988,515.950012,518.349976,490.464935,11011
2014-01-30,517.099976,520.000000,508.049988,510.700012,483.226471,11209
2014-01-31,512.950012,522.000000,509.000000,513.200012,485.591980,24395
2014-02-03,513.950012,520.000000,511.200012,515.150024,487.437103,12363
2014-02-04,510.799988,519.549988,509.250000,516.099976,488.335907,5855
2014-02-05,514.549988,518.000000,505.250000,512.049988,484.503845,17037
2014-02-06,516.799988,520.000000,497.049988,503.450012,476.366486,50643
2014-02-07,505.000000,505.000000,485.250000,491.799988,465.343231,24642
2014-02-10,490.049988,499.000000,490.049988,495.750000,469.080719,8374
2014-02-11,493.100006,496.000000,490.250000,491.149994,464.728149,6608
2014-02-12,490.250000,494.000000,483.100006,486.149994,459.997162,27455
2014-02-13,487.000000,491.950012,480.000000,481.299988,455.408020,71594
2014-02-14,480.000000,483.000000,475.000000,477.049988,451.386688,5288
2014-02-17,480.450012,481.000000,471.000000,472.899994,447.459961,4580
2014-02-18,475.000000,475.000000,466.899994,469.399994,444.148224,14584
2014-02-19,468.549988,470.250000,465.000000,465.850006,440.789246,10917
2014-02-20,466.700012,468.000000,460.000000,460.649994,435.868927,32671
2014-02-21,465.750000,467.000000,435.000000,454.899994,430.428284,222897
2014-02-24,455.000000,523.000000,455.000000,492.649994,466.147461,287428
2014-02-25,493.250000,514.000000,480.500000,485.600006,459.476746,117648
2014-02-26,484.649994,503.000000,482.000000,483.399994,457.395050,43994
2014-02-28,486.350006,501.299988,483.250000,487.299988,461.085297,72824
2014-03-03,486.000000,499.000000,480.100006,485.649994,459.524048,41286
2014-03-04,489.000000,489.000000,472.500000,476.850006,451.197449,27948
2014-03-05,477.450012,484.700012,477.000000,479.100006,453.326416,14852
2014-03-06,480.000000,491.899994,480.000000,483.450012,457.442444,28239
2014-03-07,482.799988,498.350006,482.500000,484.649994,458.577881,36046
2014-03-10,484.649994,493.000000,483.799988,487.299988,461.085297,11787
2014-03-11,486.750000,492.799988,482.700012,483.850006,457.820862,11124
2014-03-12,480.299988,497.450012,480.100006,488.200012,461.936890,56377
2014-03-13,489.750000,507.000000,489.100006,495.799988,469.127991,114429
2014-03-14,491.000000,498.899994,488.649994,495.549988,468.891479,15714
2014-03-18,490.000000,517.000000,489.750000,507.799988,480.482483,66124
2014-03-19,504.750000,512.650024,494.250000,499.200012,472.345184,10638
2014-03-20,498.750000,502.600006,493.500000,495.850006,469.175323,6747
2014-03-21,491.049988,510.299988,489.000000,504.750000,477.596558,26163
2014-03-22,null,null,null,null,null,null
2014-03-24,503.549988,507.000000,491.149994,493.200012,466.667877,10549
2014-03-25,490.200012,500.000000,490.200012,494.549988,467.945282,12275
2014-03-26,493.149994,499.899994,491.500000,494.850006,468.229095,32159
2014-03-27,495.100006,503.850006,492.250000,496.100006,469.411926,13644
2014-03-28,497.000000,499.000000,492.600006,497.399994,470.641907,8367
2014-03-31,492.250000,504.000000,492.250000,496.250000,469.553833,29904
2014-04-01,497.350006,503.850006,491.000000,492.649994,466.147461,19094
2014-04-02,493.000000,511.750000,487.250000,494.100006,467.519470,82199
2014-04-03,499.799988,507.000000,491.000000,492.000000,465.532471,21263
2014-04-04,494.000000,498.000000,490.500000,491.799988,465.343231,15781
2014-04-07,490.100006,494.649994,485.000000,488.500000,462.220734,17319
2014-04-09,493.500000,508.000000,488.000000,504.850006,477.691162,40934
2014-04-10,507.950012,531.500000,505.799988,514.650024,486.963989,73259
2014-04-11,513.000000,528.000000,511.100006,518.549988,490.654175,35257
2014-04-15,525.000000,532.000000,513.000000,519.400024,491.458466,33998
2014-04-16,523.150024,528.950012,509.000000,513.000000,485.402740,22100
2014-04-17,517.849976,530.799988,515.049988,527.049988,498.696960,22142
2014-04-21,530.000000,541.200012,521.000000,523.700012,495.527130,18838
2014-04-22,520.400024,536.750000,520.000000,522.750000,494.628265,18580
2014-04-23,523.150024,526.950012,517.549988,518.450012,490.559540,9170
2014-04-24,518.450012,518.450012,518.450012,518.450012,490.559540,0
2014-04-25,513.349976,523.700012,510.000000,516.450012,488.667145,8567
2014-04-28,511.299988,525.000000,511.299988,520.299988,492.309998,12446
2014-04-29,516.400024,546.950012,516.400024,527.750000,499.359283,43581
2014-04-30,530.000000,546.400024,525.849976,529.250000,500.778534,40352
2014-05-02,530.000000,536.000000,528.500000,529.799988,501.298920,9895
2014-05-05,530.000000,539.000000,526.549988,529.950012,501.440887,14308
2014-05-06,535.000000,535.000000,525.000000,531.349976,502.765564,14472
2014-05-07,527.000000,535.000000,527.000000,530.950012,502.387115,15659
2014-05-08,534.750000,534.750000,515.549988,522.849976,494.722839,10736
2014-05-09,523.950012,529.500000,518.000000,519.150024,491.221954,6705
2014-05-12,514.000000,529.000000,514.000000,519.450012,491.505737,34851
2014-05-13,517.000000,525.299988,517.000000,522.250000,494.155121,10082
2014-05-14,522.000000,534.849976,522.000000,531.799988,503.191406,13789
2014-05-15,534.799988,541.000000,510.100006,525.099976,496.851715,67204
2014-05-16,525.099976,533.549988,490.000000,500.950012,474.000946,139490
2014-05-19,505.250000,510.000000,495.000000,497.299988,470.547363,339222
2014-05-20,502.000000,514.950012,496.049988,509.200012,481.807159,108827
2014-05-21,510.000000,519.000000,503.000000,515.200012,487.484344,41968
2014-05-22,514.950012,530.950012,514.950012,523.250000,495.101379,26899
2014-05-23,528.950012,538.700012,518.799988,524.400024,496.189484,24869
2014-05-26,514.150024,525.000000,514.150024,523.900024,495.716370,28443
2014-05-27,524.250000,528.099976,518.950012,520.599976,492.593903,82824
2014-05-28,522.299988,573.599976,520.000000,556.799988,526.846497,216361
2014-05-29,558.000000,576.000000,538.200012,543.299988,514.072693,98343
2014-05-30,545.000000,564.000000,544.400024,549.849976,520.270447,26057
2014-06-02,553.900024,559.900024,532.549988,539.250000,510.240601,21874
2014-06-03,546.700012,546.900024,529.000000,529.950012,501.440887,14107
2014-06-04,534.900024,539.000000,529.000000,530.549988,502.008545,20146
2014-06-05,532.150024,557.700012,526.400024,528.500000,500.068878,16085
2014-06-06,533.700012,552.000000,530.000000,540.599976,511.517883,29503
2014-06-09,550.000000,564.849976,539.950012,554.750000,524.906799,35507
2014-06-10,552.799988,574.799988,546.349976,560.099976,529.968872,64747
2014-06-11,565.000000,570.000000,544.099976,546.099976,516.722107,22399
2014-06-12,553.000000,584.400024,547.900024,574.450012,543.546936,69305
2014-06-13,578.349976,589.000000,558.099976,571.250000,540.519104,63576
2014-06-16,564.200012,578.950012,564.200012,571.200012,540.471802,36799
2014-06-17,575.000000,585.000000,570.000000,574.150024,543.263184,13909
2014-06-18,574.150024,580.000000,553.049988,567.650024,537.112854,13621
2014-06-19,567.000000,581.000000,565.349976,570.799988,540.093323,17591
2014-06-20,574.000000,580.000000,569.000000,572.599976,541.796509,12844
2014-06-23,572.000000,577.000000,564.599976,570.549988,539.856750,9740
2014-06-24,570.000000,573.650024,566.599976,570.000000,539.336365,25740
2014-06-25,570.349976,585.500000,567.150024,580.500000,549.271545,29084
2014-06-26,584.000000,584.000000,570.099976,574.900024,543.972778,15992
2014-06-27,570.400024,595.200012,570.400024,586.299988,554.759460,48383
2014-06-30,586.250000,590.000000,560.000000,586.900024,555.327209,12592
2014-07-01,588.000000,589.000000,575.000000,584.400024,552.961792,13546
2014-07-02,587.000000,641.950012,585.000000,621.900024,588.444397,122230
2014-07-03,623.900024,641.000000,622.950012,628.500000,600.482666,92862
2014-07-04,628.500000,636.200012,610.250000,620.849976,593.173706,26624
2014-07-07,629.000000,677.000000,555.250000,657.700012,628.381042,155215
2014-07-08,665.400024,678.000000,660.000000,665.150024,635.498901,85740
2014-07-09,666.400024,676.000000,625.299988,660.000000,630.578491,40108
2014-07-10,658.000000,676.900024,642.549988,650.650024,621.645325,13465
2014-07-11,640.450012,666.000000,637.099976,653.049988,623.938293,17214
2014-07-14,645.049988,659.000000,602.799988,615.900024,588.444397,53806
2014-07-15,606.000000,612.900024,568.950012,583.299988,557.297607,87665
2014-07-16,583.299988,596.700012,575.599976,580.450012,554.574707,14390
2014-07-17,580.099976,595.000000,577.250000,581.500000,555.577881,16853
2014-07-18,582.099976,592.000000,580.000000,585.900024,559.781738,15508
2014-07-21,577.000000,590.000000,577.000000,583.049988,557.058777,7282
2014-07-22,580.549988,590.000000,578.049988,582.700012,556.724304,16916
2014-07-23,585.500000,605.450012,583.299988,590.450012,564.128906,22656
2014-07-24,596.000000,596.000000,586.400024,590.349976,564.033325,8845
2014-07-25,585.049988,607.299988,585.049988,601.099976,574.304077,17176
2014-07-28,605.849976,610.000000,590.099976,595.450012,568.905945,14275
2014-07-30,598.950012,604.799988,592.950012,600.400024,573.635376,9437
2014-07-31,598.450012,604.000000,585.250000,589.549988,563.268982,3626
2014-08-01,577.750000,595.500000,577.750000,590.299988,563.985535,9058
2014-08-04,592.200012,604.700012,580.500000,600.099976,573.348633,13642
2014-08-05,605.000000,624.799988,600.000000,602.250000,575.402954,21124
2014-08-06,603.099976,614.500000,595.500000,597.450012,570.816833,6456
2014-08-07,608.750000,633.700012,599.950012,613.950012,586.581299,76486
2014-08-08,608.000000,608.000000,595.000000,603.000000,576.119446,13104
2014-08-11,603.900024,607.000000,598.000000,600.099976,573.348633,11869
2014-08-12,606.000000,606.000000,598.250000,600.750000,573.969727,7851
2014-08-13,607.000000,607.000000,595.549988,600.700012,573.922058,10534
2014-08-14,611.900024,611.900024,597.299988,600.049988,573.300903,5833
2014-08-18,600.250000,615.000000,600.000000,601.200012,574.399658,3914
2014-08-19,600.299988,610.750000,596.049988,599.049988,572.345581,7588
2014-08-20,601.599976,629.000000,599.549988,607.200012,580.132141,47913
2014-08-21,613.950012,614.900024,608.000000,608.349976,581.230957,6271
2014-08-22,613.950012,615.700012,600.099976,602.150024,575.307434,6604
2014-08-25,604.000000,607.000000,595.000000,598.299988,571.628906,8375
2014-08-26,594.200012,609.000000,594.200012,604.349976,577.409180,16440
2014-08-27,606.900024,621.900024,599.950012,610.950012,583.715088,24139
2014-08-28,607.500000,619.900024,604.799988,612.549988,585.243652,8815
2014-09-01,618.000000,624.000000,604.000000,606.650024,579.606689,14832
2014-09-02,604.000000,626.000000,604.000000,616.299988,588.826477,29018
2014-09-03,608.000000,620.000000,608.000000,611.650024,584.383850,9392
2014-09-04,603.250000,619.000000,603.250000,610.450012,583.237305,9975
2014-09-05,608.000000,620.000000,608.000000,615.000000,587.584534,9483
2014-09-08,612.000000,644.000000,611.200012,636.549988,608.173767,80280
2014-09-09,640.000000,642.500000,622.349976,628.250000,600.243835,8779
2014-09-10,622.849976,660.200012,622.849976,648.000000,619.113403,33987
2014-09-11,649.000000,654.549988,642.000000,645.150024,616.390442,10816
2014-09-12,650.000000,650.000000,636.000000,642.200012,613.571960,5816
2014-09-15,647.000000,703.299988,642.000000,683.049988,652.600891,93317
2014-09-16,688.799988,710.000000,654.000000,657.900024,628.572083,99289
2014-09-17,659.049988,685.000000,649.000000,670.549988,640.658142,28015
2014-09-18,667.000000,693.000000,664.950012,668.349976,638.556274,14228
2014-09-19,684.000000,684.000000,655.500000,662.700012,633.158020,16988
2014-09-22,662.000000,684.950012,659.000000,674.000000,643.954407,12913
2014-09-23,679.400024,693.000000,654.099976,659.599976,630.196228,21164
2014-09-24,668.750000,668.799988,633.349976,637.900024,609.463684,14165
2014-09-25,651.950012,659.799988,625.900024,630.400024,602.297974,16184
