"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2014","24-Dec-2014","PE","6000","280.05","280.05","276.85","277.4","278","277.4","74","232.27","-","345800","2450","6301.65"
"NIFTY","02-Jan-2014","24-Dec-2014","PE","6000","271.1","306","265.35","303.6","305","303.6","646","2028.85","-","363400","17600","6221.15"
"NIFTY","03-Jan-2014","24-Dec-2014","PE","6000","304","320","291","306.65","302","306.65","108","340.64","-","364950","1550","6211.15"
"NIFTY","06-Jan-2014","24-Dec-2014","PE","6000","315","322.25","308","315.05","316","315.05","290","915.5","-","367100","2150","6191.45"
"NIFTY","07-Jan-2014","24-Dec-2014","PE","6000","309.5","328","309.5","323.4","325","323.4","318","1005.43","-","377700","10600","6162.25"
"NIFTY","08-Jan-2014","24-Dec-2014","PE","6000","316","326","315","325.75","326","325.75","133","420.35","-","379050","1350","6174.6"
"NIFTY","09-Jan-2014","24-Dec-2014","PE","6000","327.5","336.8","325.1","333.05","330","333.05","409","1295.16","-","384500","5450","6168.35"
"NIFTY","10-Jan-2014","24-Dec-2014","PE","6000","333","335.6","311","332.45","332.9","332.45","589","1861.46","-","403800","19300","6171.45"
"NIFTY","13-Jan-2014","24-Dec-2014","PE","6000","310","322.05","305","309.55","305","309.55","1670","5274.37","-","464550","60750","6272.75"
"NIFTY","14-Jan-2014","24-Dec-2014","PE","6000","314","324.75","308.55","322.1","323.8","322.1","196","619.18","-","467850","3300","6241.85"
"NIFTY","15-Jan-2014","24-Dec-2014","PE","6000","316","316","302.1","304.15","302.6","304.15","539","1700.12","-","486050","18200","6320.9"
"NIFTY","16-Jan-2014","24-Dec-2014","PE","6000","298.55","312.9","298","304.7","305.1","304.7","170","536.03","-","488500","2450","-"
"NIFTY","17-Jan-2014","24-Dec-2014","PE","6000","304","322.65","302.15","314.9","312","314.9","187","590.12","-","487700","-800","6261.65"
"NIFTY","20-Jan-2014","24-Dec-2014","PE","6000","314.2","314.2","302.5","306.3","304","306.3","130","409.99","-","487950","250","6303.95"
"NIFTY","21-Jan-2014","24-Dec-2014","PE","6000","300","305","295.05","304.1","300","304.1","246","775.12","-","496650","8700","6313.8"
"NIFTY","22-Jan-2014","24-Dec-2014","PE","6000","305.05","305.05","292.15","294.95","298.9","294.95","50","157.46","-","497700","1050","6338.95"
"NIFTY","23-Jan-2014","24-Dec-2014","PE","6000","299.7","300.9","295","297.8","296.55","297.8","61","192.08","-","497450","-250","6345.65"
"NIFTY","24-Jan-2014","24-Dec-2014","PE","6000","300","316.8","300","314.6","314","314.6","173","545.99","-","496900","-550","6266.75"
"NIFTY","27-Jan-2014","24-Dec-2014","PE","6000","339.9","355.1","325.4","353.1","346.15","353.1","483","1532.01","-","495700","-1200","6135.85"
"NIFTY","28-Jan-2014","24-Dec-2014","PE","6000","347.9","370","347.9","357.45","353.05","357.45","323","1027.33","-","508650","12950","6126.25"
"NIFTY","29-Jan-2014","24-Dec-2014","PE","6000","350","370","347","367.45","366","367.45","470","1493.82","-","521550","12900","6120.25"
"NIFTY","30-Jan-2014","24-Dec-2014","PE","6000","350.1","389","350.1","373.7","370","373.7","555","1771.26","-","516700","-4850","6073.7"
"NIFTY","31-Jan-2014","24-Dec-2014","PE","6000","365","380","365","374.85","372.5","374.85","185","589.7","-","522100","5400","6089.5"
"NIFTY","03-Feb-2014","24-Dec-2014","PE","6000","370","397","370","394.2","395","394.2","172","549.41","-","522500","400","6001.8"
"NIFTY","04-Feb-2014","24-Dec-2014","PE","6000","413.55","424","395","399.85","397","399.85","222","711.85","-","524950","2450","6000.9"
