"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJ-AUTO","31-Aug-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","503.5","0","0","0","0","0","2978.5"
"BAJAJ-AUTO","31-Aug-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","491.9","0","0","0","0","0","2978.5"
"BAJAJ-AUTO","31-Aug-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","485.5","0","0","0","0","0","2978.5"
"BAJAJ-AUTO","01-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","483.6","0","0","0","0","0","2999"
"BAJAJ-AUTO","01-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","472.15","0","0","0","0","0","2999"
"BAJAJ-AUTO","01-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","466","0","0","0","0","0","2999"
"BAJAJ-AUTO","02-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","484.85","0","0","0","0","0","2998.05"
"BAJAJ-AUTO","02-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","472.2","0","0","0","0","0","2998.05"
"BAJAJ-AUTO","02-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","464.8","0","0","0","0","0","2998.05"
"BAJAJ-AUTO","06-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","480.35","0","0","0","0","0","3004.8"
"BAJAJ-AUTO","06-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","466.25","0","0","0","0","0","3004.8"
"BAJAJ-AUTO","06-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","457.7","0","0","0","0","0","3004.8"
"BAJAJ-AUTO","07-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","499.85","0","0","0","0","0","2985.8"
"BAJAJ-AUTO","07-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","484.35","0","0","0","0","0","2985.8"
"BAJAJ-AUTO","07-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","474","0","0","0","0","0","2985.8"
"BAJAJ-AUTO","08-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","399.85","0","0","0","0","0","3088.7"
"BAJAJ-AUTO","08-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","397.1","0","0","0","0","0","3088.7"
"BAJAJ-AUTO","08-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","400.05","0","0","0","0","0","3088.7"
"BAJAJ-AUTO","09-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","451.45","0","0","0","0","0","3036.45"
"BAJAJ-AUTO","09-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","444.55","0","0","0","0","0","3036.45"
"BAJAJ-AUTO","09-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","444.35","0","0","0","0","0","3036.45"
"BAJAJ-AUTO","12-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","534.2","0","0","0","0","0","2954.9"
"BAJAJ-AUTO","12-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","523.45","0","0","0","0","0","2954.9"
"BAJAJ-AUTO","12-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","520.55","0","0","0","0","0","2954.9"
"BAJAJ-AUTO","14-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","518.7","0","0","0","0","0","2971.55"
"BAJAJ-AUTO","14-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","507.35","0","0","0","0","0","2971.55"
"BAJAJ-AUTO","14-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","504.05","0","0","0","0","0","2971.55"
"BAJAJ-AUTO","15-Sep-2016","29-Sep-2016","PE","3500","0","0","0","750.4","0","559.05","0","0","0","0","0","2931.75"
"BAJAJ-AUTO","15-Sep-2016","27-Oct-2016","PE","3500","0","0","0","779.9","0","545.25","0","0","0","0","0","2931.75"
"BAJAJ-AUTO","15-Sep-2016","24-Nov-2016","PE","3500","0","0","0","584.5","0","539.05","0","0","0","0","0","2931.75"
