"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"CIPLA","02-Sep-2014","25-Sep-2014","CE","620","3.65","4.9","2.5","3.1","3.05","3.1","210","1310.17","-","115000","115000","557.05"
"CIPLA","02-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","15.9","0","0","-","0","0","557.05"
"CIPLA","02-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","24","0","0","-","0","0","557.05"
"CIPLA","03-Sep-2014","25-Sep-2014","CE","620","3.15","3.15","2.05","2.25","2.3","2.25","38","236.57","-","105000","-10000","553.2"
"CIPLA","03-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","13.65","0","0","-","0","0","553.2"
"CIPLA","03-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","21.3","0","0","-","0","0","553.2"
"CIPLA","04-Sep-2014","25-Sep-2014","CE","620","3","3.8","1.8","2.1","2.1","2.1","76","473.39","-","131000","26000","552.3"
"CIPLA","04-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","12.3","0","0","-","0","0","552.3"
"CIPLA","04-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","19.6","0","0","-","0","0","552.3"
"CIPLA","05-Sep-2014","25-Sep-2014","CE","620","2","2.4","1.35","2.05","1.9","2.05","32","199.01","-","127000","-4000","557.5"
"CIPLA","05-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","12.8","0","0","-","0","0","557.5"
"CIPLA","05-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","20.25","0","0","-","0","0","557.5"
"CIPLA","08-Sep-2014","25-Sep-2014","CE","620","2.6","2.6","2.05","2.25","2.25","2.25","18","112.01","-","126000","-1000","563.45"
"CIPLA","08-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","13.1","0","0","-","0","0","563.45"
"CIPLA","08-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","20.75","0","0","-","0","0","563.45"
"CIPLA","09-Sep-2014","25-Sep-2014","CE","620","2.65","3.9","2.35","3.2","3.5","3.2","111","691.71","-","140000","14000","574.9"
"CIPLA","09-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","16.55","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","25","0","0","-","0","0","574.9"
"CIPLA","10-Sep-2014","25-Sep-2014","CE","620","3.7","3.85","2.55","2.65","3","2.65","71","442.45","-","125000","-15000","577.35"
"CIPLA","10-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","16.25","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","24.65","0","0","-","0","0","577.35"
"CIPLA","11-Sep-2014","25-Sep-2014","CE","620","2.1","2.1","1.65","2.05","2.05","2.05","26","161.69","-","126000","1000","575.2"
"CIPLA","11-Sep-2014","30-Oct-2014","CE","620","0","0","0","0.1","0","14.4","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","22.45","0","0","-","0","0","575.2"
"CIPLA","12-Sep-2014","25-Sep-2014","CE","620","2.25","14.9","2","13.05","11.4","13.05","1662","10478.98","-","189000","63000","612.75"
"CIPLA","12-Sep-2014","30-Oct-2014","CE","620","26.55","26.55","22.35","24.15","22.35","24.15","8","51.53","-","7000","7000","612.75"
"CIPLA","12-Sep-2014","27-Nov-2014","CE","620","0","0","0","5.75","0","51.2","0","0","-","0","0","612.75"
