"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"CIPLA","26-Aug-2014","28-Aug-2014","CE","600","0","0","0","0.05","0","0","0","0","-","0","0","512.4"
"CIPLA","26-Aug-2014","25-Sep-2014","CE","600","0","0","0","0.1","0","1.15","0","0","-","0","0","512.4"
"CIPLA","26-Aug-2014","30-Oct-2014","CE","600","0","0","0","0.2","0","5.9","0","0","-","0","0","512.4"
"CIPLA","27-Aug-2014","28-Aug-2014","CE","600","0","0","0","0.05","0","0","0","0","-","0","0","513.35"
"CIPLA","27-Aug-2014","25-Sep-2014","CE","600","0","0","0","0.1","0","0.95","0","0","-","0","0","513.35"
"CIPLA","27-Aug-2014","30-Oct-2014","CE","600","0","0","0","0.2","0","5.4","0","0","-","0","0","513.35"
"CIPLA","28-Aug-2014","28-Aug-2014","CE","600","0","0","0","0.05","0","0","0","0","-","0","0","514.2"
"CIPLA","28-Aug-2014","25-Sep-2014","CE","600","0","0","0","0.1","0","0.8","0","0","-","0","0","514.2"
"CIPLA","28-Aug-2014","30-Oct-2014","CE","600","2","2","2","2","2","2","3","18.06","-","3000","3000","514.2"
"CIPLA","01-Sep-2014","25-Sep-2014","CE","600","0","0","0","0.1","0","1.6","0","0","-","0","0","529.15"
"CIPLA","01-Sep-2014","30-Oct-2014","CE","600","0","0","0","2","2","8.05","0","0","-","3000","0","529.15"
"CIPLA","01-Sep-2014","27-Nov-2014","CE","600","0","0","0","8.55","0","13.6","0","0","-","0","0","529.15"
"CIPLA","02-Sep-2014","25-Sep-2014","CE","600","4.8","11.8","4.65","5.65","5.85","5.65","670","4070.05","-","216000","216000","557.05"
"CIPLA","02-Sep-2014","30-Oct-2014","CE","600","13","13.1","9.65","9.65","9.65","9.65","94","575.96","-","86000","83000","557.05"
"CIPLA","02-Sep-2014","27-Nov-2014","CE","600","0","0","0","8.55","0","30.35","0","0","-","0","0","557.05"
