"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"CIPLA","02-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","64.25","0","0","-","0","0","557.05"
"CIPLA","02-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","70.1","0","0","-","0","0","557.05"
"CIPLA","02-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","74","0","0","-","0","0","557.05"
"CIPLA","03-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","67.05","0","0","-","0","0","553.2"
"CIPLA","03-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","71.9","0","0","-","0","0","553.2"
"CIPLA","03-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","75.35","0","0","-","0","0","553.2"
"CIPLA","04-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","67.4","0","0","-","0","0","552.3"
"CIPLA","04-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","71.6","0","0","-","0","0","552.3"
"CIPLA","04-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","74.75","0","0","-","0","0","552.3"
"CIPLA","05-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","62.5","0","0","-","0","0","557.5"
"CIPLA","05-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","67.05","0","0","-","0","0","557.5"
"CIPLA","05-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","70.35","0","0","-","0","0","557.5"
"CIPLA","08-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","56.7","0","0","-","0","0","563.45"
"CIPLA","08-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","61.85","0","0","-","0","0","563.45"
"CIPLA","08-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","65.35","0","0","-","0","0","563.45"
"CIPLA","09-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","46.85","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","53.95","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","58.25","0","0","-","0","0","574.9"
"CIPLA","10-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","44.3","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","51.35","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","55.6","0","0","-","0","0","577.35"
"CIPLA","11-Sep-2014","25-Sep-2014","PE","620","0","0","0","170.2","0","45.6","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","51.85","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","55.7","0","0","-","0","0","575.2"
"CIPLA","12-Sep-2014","25-Sep-2014","PE","620","22","22","16.25","17.7","18.7","17.7","51","325.42","-","22000","22000","612.75"
"CIPLA","12-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","39.15","0","0","-","0","0","612.75"
"CIPLA","12-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","47","0","0","-","0","0","612.75"
"CIPLA","15-Sep-2014","25-Sep-2014","PE","620","16.8","16.8","9.6","10.7","11.85","10.7","608","3838.75","-","189000","167000","630.25"
"CIPLA","15-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","31.1","0","0","-","0","0","630.25"
"CIPLA","15-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","39.6","0","0","-","0","0","630.25"
"CIPLA","16-Sep-2014","25-Sep-2014","PE","620","9.9","15.5","6.75","13.3","12.15","13.3","659","4161.91","-","169000","-20000","619.7"
"CIPLA","16-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","34.65","0","0","-","0","0","619.7"
"CIPLA","16-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","43","0","0","-","0","0","619.7"
"CIPLA","17-Sep-2014","25-Sep-2014","PE","620","10.4","20.55","10.4","17.4","17.5","17.4","300","1909.84","-","153000","-16000","610.15"
"CIPLA","17-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","38.1","0","0","-","0","0","610.15"
"CIPLA","17-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","46.15","0","0","-","0","0","610.15"
"CIPLA","18-Sep-2014","25-Sep-2014","PE","620","16.8","16.8","9.7","10.35","9.8","10.35","176","1112.06","-","160000","7000","620.05"
"CIPLA","18-Sep-2014","30-Oct-2014","PE","620","0","0","0","150.05","0","32.6","0","0","-","0","0","620.05"
"CIPLA","18-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","40.85","0","0","-","0","0","620.05"
"CIPLA","19-Sep-2014","25-Sep-2014","PE","620","9.5","9.5","4.25","6.35","6.15","6.35","445","2786.04","-","236000","76000","628.1"
"CIPLA","19-Sep-2014","30-Oct-2014","PE","620","17","17","15.45","15.45","15.45","15.45","3","19.09","-","3000","3000","628.1"
"CIPLA","19-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","36.35","0","0","-","0","0","628.1"
"CIPLA","22-Sep-2014","25-Sep-2014","PE","620","6.75","14.75","6.75","10.7","10","10.7","300","1893.55","-","198000","-38000","612.9"
"CIPLA","22-Sep-2014","30-Oct-2014","PE","620","21.6","24.05","21.6","24.05","24.05","24.05","3","19.3","-","2000","-1000","612.9"
"CIPLA","22-Sep-2014","27-Nov-2014","PE","620","0","0","0","98.35","0","42.4","0","0","-","0","0","612.9"
"CIPLA","23-Sep-2014","25-Sep-2014","PE","620","8.4","36.5","8","34.45","33.8","34.45","119","758.46","-","159000","-39000","584.3"
