"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"CIPLA","26-Aug-2014","28-Aug-2014","PE","600","0","0","0","165.45","0","87.35","0","0","-","0","0","512.4"
"CIPLA","26-Aug-2014","25-Sep-2014","PE","600","0","0","0","161.5","0","84.5","0","0","-","0","0","512.4"
"CIPLA","26-Aug-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","84.05","0","0","-","0","0","512.4"
"CIPLA","27-Aug-2014","28-Aug-2014","PE","600","0","0","0","165.45","0","86.55","0","0","-","0","0","513.35"
"CIPLA","27-Aug-2014","25-Sep-2014","PE","600","0","0","0","161.5","0","83.45","0","0","-","0","0","513.35"
"CIPLA","27-Aug-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","82.7","0","0","-","0","0","513.35"
"CIPLA","28-Aug-2014","28-Aug-2014","PE","600","0","0","0","165.45","0","0","0","0","-","0","0","514.2"
"CIPLA","28-Aug-2014","25-Sep-2014","PE","600","0","0","0","161.5","0","82.6","0","0","-","0","0","514.2"
"CIPLA","28-Aug-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","81.55","0","0","-","0","0","514.2"
"CIPLA","01-Sep-2014","25-Sep-2014","PE","600","0","0","0","161.5","0","69.05","0","0","-","0","0","529.15"
"CIPLA","01-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","70.35","0","0","-","0","0","529.15"
"CIPLA","01-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","71.85","0","0","-","0","0","529.15"
"CIPLA","02-Sep-2014","25-Sep-2014","PE","600","0","0","0","161.5","0","48.05","0","0","-","0","0","557.05"
"CIPLA","02-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","56","0","0","-","0","0","557.05"
"CIPLA","02-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","60.75","0","0","-","0","0","557.05"
"CIPLA","03-Sep-2014","25-Sep-2014","PE","600","40.65","40.65","40.65","40.65","40.65","40.65","2","12.81","-","2000","2000","553.2"
"CIPLA","03-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","57.4","0","0","-","0","0","553.2"
"CIPLA","03-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","61.75","0","0","-","0","0","553.2"
"CIPLA","04-Sep-2014","25-Sep-2014","PE","600","0","0","0","40.65","40.65","50.25","0","0","-","2000","0","552.3"
"CIPLA","04-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","56.85","0","0","-","0","0","552.3"
"CIPLA","04-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","61","0","0","-","0","0","552.3"
"CIPLA","05-Sep-2014","25-Sep-2014","PE","600","0","0","0","40.65","40.65","45.6","0","0","-","2000","0","557.5"
"CIPLA","05-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","52.65","0","0","-","0","0","557.5"
"CIPLA","05-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","56.85","0","0","-","0","0","557.5"
"CIPLA","08-Sep-2014","25-Sep-2014","PE","600","40.75","40.75","40.75","40.75","40.75","40.75","2","12.82","-","0","-2000","563.45"
"CIPLA","08-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","47.75","0","0","-","0","0","563.45"
"CIPLA","08-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","52.2","0","0","-","0","0","563.45"
"CIPLA","09-Sep-2014","25-Sep-2014","PE","600","0","0","0","40.75","40.75","31.3","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","40.9","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","46","0","0","-","0","0","574.9"
"CIPLA","10-Sep-2014","25-Sep-2014","PE","600","0","0","0","40.75","40.75","28.85","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","38.45","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","43.45","0","0","-","0","0","577.35"
"CIPLA","11-Sep-2014","25-Sep-2014","PE","600","0","0","0","40.75","40.75","29.55","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","30-Oct-2014","PE","600","0","0","0","130.6","0","38.6","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","43.35","0","0","-","0","0","575.2"
"CIPLA","12-Sep-2014","25-Sep-2014","PE","600","18.3","18.6","8.05","8.85","9.3","8.85","619","3776.97","-","226000","226000","612.75"
"CIPLA","12-Sep-2014","30-Oct-2014","PE","600","16","16","16","16","16","16","1","6.16","-","1000","1000","612.75"
"CIPLA","12-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","37.3","0","0","-","0","0","612.75"
"CIPLA","15-Sep-2014","25-Sep-2014","PE","600","8","8.95","2.2","4.8","4.85","4.8","812","4915.64","-","360000","134000","630.25"
"CIPLA","15-Sep-2014","30-Oct-2014","PE","600","13.8","13.8","9.4","11.5","11.5","11.5","6","36.7","-","6000","5000","630.25"
"CIPLA","15-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","31","0","0","-","0","0","630.25"
"CIPLA","16-Sep-2014","25-Sep-2014","PE","600","4.8","7","3","5.9","6","5.9","846","5119.26","-","305000","-55000","619.7"
"CIPLA","16-Sep-2014","30-Oct-2014","PE","600","10","14.2","10","12.45","12.45","12.45","3","18.37","-","6000","0","619.7"
"CIPLA","16-Sep-2014","27-Nov-2014","PE","600","0","0","0","81.6","0","33.7","0","0","-","0","0","619.7"
"CIPLA","17-Sep-2014","25-Sep-2014","PE","600","6.05","10","4.6","8","8","8","884","5375.62","-","257000","-48000","610.15"
"CIPLA","17-Sep-2014","30-Oct-2014","PE","600","15.05","15.05","15.05","15.05","15.05","15.05","1","6.15","-","6000","0","610.15"
