"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"COALINDIA","01-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","73.8","0","0","-","0","0","292.2"
"COALINDIA","01-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","75.3","0","0","-","0","0","292.2"
"COALINDIA","01-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","77","0","0","-","0","0","292.2"
"COALINDIA","02-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","64.65","0","0","-","0","0","283.15"
"COALINDIA","02-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","66.3","0","0","-","0","0","283.15"
"COALINDIA","02-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","68.25","0","0","-","0","0","283.15"
"COALINDIA","03-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","59.05","0","0","-","0","0","277.6"
"COALINDIA","03-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","60.8","0","0","-","0","0","277.6"
"COALINDIA","03-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","62.9","0","0","-","0","0","277.6"
"COALINDIA","06-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","57.6","0","0","-","0","0","276.3"
"COALINDIA","06-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","59.3","0","0","-","0","0","276.3"
"COALINDIA","06-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","61.3","0","0","-","0","0","276.3"
"COALINDIA","07-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","56.6","0","0","-","0","0","275.35"
"COALINDIA","07-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","58.25","0","0","-","0","0","275.35"
"COALINDIA","07-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","60.25","0","0","-","0","0","275.35"
"COALINDIA","08-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","70","0","0","-","0","0","288.8"
"COALINDIA","08-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","71.7","0","0","-","0","0","288.8"
"COALINDIA","08-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","73.85","0","0","-","0","0","288.8"
"COALINDIA","09-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","76.8","0","0","-","0","0","295.65"
"COALINDIA","09-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","78.45","0","0","-","0","0","295.65"
"COALINDIA","09-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","80.45","0","0","-","0","0","295.65"
"COALINDIA","10-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","70","0","0","-","0","0","288.95"
"COALINDIA","10-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","71.8","0","0","-","0","0","288.95"
"COALINDIA","10-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","73.95","0","0","-","0","0","288.95"
"COALINDIA","13-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","71.15","0","0","-","0","0","290.25"
"COALINDIA","13-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","72.85","0","0","-","0","0","290.25"
"COALINDIA","13-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","74.9","0","0","-","0","0","290.25"
"COALINDIA","14-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","69.75","0","0","-","0","0","288.9"
"COALINDIA","14-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","71.4","0","0","-","0","0","288.9"
"COALINDIA","14-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","73.45","0","0","-","0","0","288.9"
"COALINDIA","15-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","76","0","0","-","0","0","295.2"
"COALINDIA","15-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","77.6","0","0","-","0","0","295.2"
"COALINDIA","15-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","79.55","0","0","-","0","0","295.2"
"COALINDIA","16-Jan-2014","30-Jan-2014","CE","220","0","0","0","74.05","0","83.4","0","0","-","0","0","-"
"COALINDIA","16-Jan-2014","26-Feb-2014","CE","220","0","0","0","56.35","0","85","0","0","-","0","0","-"
"COALINDIA","16-Jan-2014","27-Mar-2014","CE","220","0","0","0","67.6","0","86.85","0","0","-","0","0","-"
"COALINDIA","20-Jan-2014","30-Jan-2014","CE","220","0","0","0","52.6","0","50","0","0","-","0","0","269.45"
"COALINDIA","20-Jan-2014","26-Feb-2014","CE","220","0","0","0","54.45","0","51.85","0","0","-","0","0","269.45"
"COALINDIA","20-Jan-2014","27-Mar-2014","CE","220","0","0","0","56.85","0","54.25","0","0","-","0","0","269.45"
"COALINDIA","21-Jan-2014","30-Jan-2014","CE","220","0","0","0","52.6","0","43.5","0","0","-","0","0","263"
"COALINDIA","21-Jan-2014","26-Feb-2014","CE","220","0","0","0","54.45","0","45.55","0","0","-","0","0","263"
"COALINDIA","21-Jan-2014","27-Mar-2014","CE","220","0","0","0","56.85","0","48.25","0","0","-","0","0","263"
"COALINDIA","22-Jan-2014","30-Jan-2014","CE","220","0","0","0","52.6","0","42.25","0","0","-","0","0","261.8"
"COALINDIA","22-Jan-2014","26-Feb-2014","CE","220","0","0","0","54.45","0","44.2","0","0","-","0","0","261.8"
