"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"COALINDIA","01-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","292.2"
"COALINDIA","01-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0","0","0","-","0","0","292.2"
"COALINDIA","01-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.05","0","0","-","0","0","292.2"
"COALINDIA","02-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","283.15"
"COALINDIA","02-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","283.15"
"COALINDIA","02-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.1","0","0","-","0","0","283.15"
"COALINDIA","03-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","277.6"
"COALINDIA","03-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","277.6"
"COALINDIA","03-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.15","0","0","-","0","0","277.6"
"COALINDIA","06-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","276.3"
"COALINDIA","06-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","276.3"
"COALINDIA","06-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.15","0","0","-","0","0","276.3"
"COALINDIA","07-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","275.35"
"COALINDIA","07-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","275.35"
"COALINDIA","07-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.1","0","0","-","0","0","275.35"
"COALINDIA","08-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","288.8"
"COALINDIA","08-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","288.8"
"COALINDIA","08-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.2","0","0","-","0","0","288.8"
"COALINDIA","09-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","295.65"
"COALINDIA","09-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","295.65"
"COALINDIA","09-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.15","0","0","-","0","0","295.65"
"COALINDIA","10-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","288.95"
"COALINDIA","10-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","288.95"
"COALINDIA","10-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.2","0","0","-","0","0","288.95"
"COALINDIA","13-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","290.25"
"COALINDIA","13-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","290.25"
"COALINDIA","13-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.15","0","0","-","0","0","290.25"
"COALINDIA","14-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","288.9"
"COALINDIA","14-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0.05","0","0","-","0","0","288.9"
"COALINDIA","14-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.1","0","0","-","0","0","288.9"
"COALINDIA","15-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","295.2"
"COALINDIA","15-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0","0","0","-","0","0","295.2"
"COALINDIA","15-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.1","0","0","-","0","0","295.2"
"COALINDIA","16-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.3","0","0","0","0","-","0","0","-"
"COALINDIA","16-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.35","0","0","0","0","-","0","0","-"
"COALINDIA","16-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.1","0","0.05","0","0","-","0","0","-"
"COALINDIA","28-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.05","0","0","0","0","-","0","0","249.15"
"COALINDIA","28-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.05","0","0.1","0","0","-","0","0","249.15"
"COALINDIA","28-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.25","0","0.6","0","0","-","0","0","249.15"
"COALINDIA","29-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.05","0","0","0","0","-","0","0","250.7"
"COALINDIA","29-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.05","0","0.05","0","0","-","0","0","250.7"
"COALINDIA","29-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.25","0","0.45","0","0","-","0","0","250.7"
"COALINDIA","30-Jan-2014","30-Jan-2014","PE","200","0","0","0","0.05","0","0","0","0","-","0","0","246.15"
"COALINDIA","30-Jan-2014","26-Feb-2014","PE","200","0","0","0","0.05","0","0.1","0","0","-","0","0","246.15"
"COALINDIA","30-Jan-2014","27-Mar-2014","PE","200","0","0","0","0.25","0","0.6","0","0","-","0","0","246.15"
