"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJ-AUTO","31-Aug-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.9","0","0","0","0","0","2978.5"
"BAJAJ-AUTO","31-Aug-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","7.95","0","0","0","0","0","2978.5"
"BAJAJ-AUTO","31-Aug-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","19.9","0","0","0","0","0","2978.5"
"BAJAJ-AUTO","01-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.9","0","0","0","0","0","2999"
"BAJAJ-AUTO","01-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","8.2","0","0","0","0","0","2999"
"BAJAJ-AUTO","01-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","20.4","0","0","0","0","0","2999"
"BAJAJ-AUTO","02-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.6","0","0","0","0","0","2998.05"
"BAJAJ-AUTO","02-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","6.7","0","0","0","0","0","2998.05"
"BAJAJ-AUTO","02-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","17.7","0","0","0","0","0","2998.05"
"BAJAJ-AUTO","06-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.25","0","0","0","0","0","3004.8"
"BAJAJ-AUTO","06-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","5","0","0","0","0","0","3004.8"
"BAJAJ-AUTO","06-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","14.95","0","0","0","0","0","3004.8"
"BAJAJ-AUTO","07-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.15","0","0","0","0","0","2985.8"
"BAJAJ-AUTO","07-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","3.45","0","0","0","0","0","2985.8"
"BAJAJ-AUTO","07-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","11.65","0","0","0","0","0","2985.8"
"BAJAJ-AUTO","08-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","2.35","0","0","0","0","0","3088.7"
"BAJAJ-AUTO","08-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","18.4","0","0","0","0","0","3088.7"
"BAJAJ-AUTO","08-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","39.8","0","0","0","0","0","3088.7"
"BAJAJ-AUTO","09-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","1.05","0","0","0","0","0","3036.45"
"BAJAJ-AUTO","09-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","12.8","0","0","0","0","0","3036.45"
"BAJAJ-AUTO","09-Sep-2016","24-Nov-2016","CE","3500","0","0","0","6.75","0","31","0","0","0","0","0","3036.45"
"BAJAJ-AUTO","12-Sep-2016","29-Sep-2016","CE","3500","0","0","0","2.2","0","0.3","0","0","0","0","0","2954.9"
"BAJAJ-AUTO","12-Sep-2016","27-Oct-2016","CE","3500","0","0","0","0.55","0","8.15","0","0","0","0","0","2954.9"
