"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"CIPLA","16-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0.3","0","0","-","0","0","619.7"
"CIPLA","16-Sep-2014","30-Oct-2014","CE","720","0","0","0","2.7","0","10.1","0","0","-","0","0","619.7"
"CIPLA","16-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","19.4","0","0","-","0","0","619.7"
"CIPLA","17-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0.1","0","0","-","0","0","610.15"
"CIPLA","17-Sep-2014","30-Oct-2014","CE","720","0","0","0","2.7","0","7.65","0","0","-","0","0","610.15"
"CIPLA","17-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","15.9","0","0","-","0","0","610.15"
"CIPLA","18-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0.1","0","0","-","0","0","620.05"
"CIPLA","18-Sep-2014","30-Oct-2014","CE","720","0","0","0","2.7","0","8.7","0","0","-","0","0","620.05"
"CIPLA","18-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","17.6","0","0","-","0","0","620.05"
"CIPLA","19-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0.1","0","0","-","0","0","628.1"
"CIPLA","19-Sep-2014","30-Oct-2014","CE","720","0","0","0","2.7","0","9.45","0","0","-","0","0","628.1"
"CIPLA","19-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","18.7","0","0","-","0","0","628.1"
"CIPLA","22-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0","0","0","-","0","0","612.9"
"CIPLA","22-Sep-2014","30-Oct-2014","CE","720","1","1.9","0.75","1.6","1.9","1.6","16","115.36","-","13000","13000","612.9"
"CIPLA","22-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","14.05","0","0","-","0","0","612.9"
"CIPLA","23-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0","0","0","-","0","0","584.3"
"CIPLA","23-Sep-2014","30-Oct-2014","CE","720","1.75","1.75","1.45","1.45","1.45","1.45","3","21.65","-","15000","2000","584.3"
"CIPLA","23-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","10.95","0","0","-","0","0","584.3"
"CIPLA","24-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0","0","0","-","0","0","600"
"CIPLA","24-Sep-2014","30-Oct-2014","CE","720","1.45","1.45","1.45","1.45","1.45","1.45","1","7.21","-","16000","1000","600"
"CIPLA","24-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","14.1","0","0","-","0","0","600"
"CIPLA","25-Sep-2014","25-Sep-2014","CE","720","0","0","0","0.15","0","0","0","0","-","0","0","608.45"
"CIPLA","25-Sep-2014","30-Oct-2014","CE","720","1.75","1.9","1.75","1.9","1.9","1.9","4","28.87","-","20000","4000","608.45"
"CIPLA","25-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","15.05","0","0","-","0","0","608.45"
"CIPLA","26-Sep-2014","30-Oct-2014","CE","720","4.3","4.3","0.55","0.55","0.55","0.55","4","28.9","-","20000","0","611.95"
"CIPLA","26-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","14.55","0","0","-","0","0","611.95"
"CIPLA","26-Sep-2014","24-Dec-2014","CE","720","0","0","0","23.5","0","22.85","0","0","-","0","0","611.95"
"CIPLA","29-Sep-2014","30-Oct-2014","CE","720","2.1","2.5","2.1","2.1","2.1","2.1","12","86.68","-","25000","5000","616.85"
"CIPLA","29-Sep-2014","27-Nov-2014","CE","720","0","0","0","6.45","0","13.8","0","0","-","0","0","616.85"
"CIPLA","29-Sep-2014","24-Dec-2014","CE","720","0","0","0","23.5","0","22.15","0","0","-","0","0","616.85"
"CIPLA","30-Sep-2014","30-Oct-2014","CE","720","1.9","2.1","1.8","1.9","1.95","1.9","13","93.85","-","33000","8000","626.8"
