"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"CIPLA","03-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","85.2","0","0","-","0","0","553.2"
"CIPLA","03-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","87.6","0","0","-","0","0","553.2"
"CIPLA","03-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","90.1","0","0","-","0","0","553.2"
"CIPLA","04-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","85.8","0","0","-","0","0","552.3"
"CIPLA","04-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","87.55","0","0","-","0","0","552.3"
"CIPLA","04-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","89.65","0","0","-","0","0","552.3"
"CIPLA","05-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","80.8","0","0","-","0","0","557.5"
"CIPLA","05-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","82.8","0","0","-","0","0","557.5"
"CIPLA","05-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","85.05","0","0","-","0","0","557.5"
"CIPLA","08-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","75.05","0","0","-","0","0","563.45"
"CIPLA","08-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","77.4","0","0","-","0","0","563.45"
"CIPLA","08-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","79.85","0","0","-","0","0","563.45"
"CIPLA","09-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","64.45","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","68.7","0","0","-","0","0","574.9"
"CIPLA","09-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","71.95","0","0","-","0","0","574.9"
"CIPLA","10-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","61.95","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","66","0","0","-","0","0","577.35"
"CIPLA","10-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","69.15","0","0","-","0","0","577.35"
"CIPLA","11-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","63.7","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","66.8","0","0","-","0","0","575.2"
"CIPLA","11-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","69.55","0","0","-","0","0","575.2"
"CIPLA","12-Sep-2014","25-Sep-2014","PE","640","0","0","0","174.85","0","35.85","0","0","-","0","0","612.75"
"CIPLA","12-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","50.45","0","0","-","0","0","612.75"
"CIPLA","12-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","57.95","0","0","-","0","0","612.75"
"CIPLA","15-Sep-2014","25-Sep-2014","PE","640","20.4","23.5","19","20.9","19.95","20.9","34","224.75","-","11000","11000","630.25"
"CIPLA","15-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","41.05","0","0","-","0","0","630.25"
"CIPLA","15-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","49.5","0","0","-","0","0","630.25"
"CIPLA","16-Sep-2014","25-Sep-2014","PE","640","21.05","28.15","18","24.65","23.5","24.65","18","119.23","-","14000","3000","619.7"
"CIPLA","16-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","45.45","0","0","-","0","0","619.7"
"CIPLA","16-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","53.55","0","0","-","0","0","619.7"
"CIPLA","17-Sep-2014","25-Sep-2014","PE","640","25.95","32.9","25.95","32","32","32","10","67.01","-","11000","-3000","610.15"
"CIPLA","17-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","49.7","0","0","-","0","0","610.15"
"CIPLA","17-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","57.3","0","0","-","0","0","610.15"
"CIPLA","18-Sep-2014","25-Sep-2014","PE","640","0","0","0","32","32","26.2","0","0","-","11000","0","620.05"
"CIPLA","18-Sep-2014","30-Oct-2014","PE","640","0","0","0","169.55","0","43.4","0","0","-","0","0","620.05"
"CIPLA","18-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","51.35","0","0","-","0","0","620.05"
"CIPLA","19-Sep-2014","25-Sep-2014","PE","640","16.7","18","12.05","16.9","16.7","16.9","48","313.72","-","24000","13000","628.1"
"CIPLA","19-Sep-2014","30-Oct-2014","PE","640","26.15","27.6","23.25","27.55","27.6","27.55","14","93.08","-","10000","10000","628.1"
"CIPLA","19-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","46.35","0","0","-","0","0","628.1"
"CIPLA","22-Sep-2014","25-Sep-2014","PE","640","30.3","30.6","30.3","30.6","30.6","30.6","2","13.41","-","24000","0","612.9"
"CIPLA","22-Sep-2014","30-Oct-2014","PE","640","31","34.9","31","34.9","34.9","34.9","2","13.46","-","8000","-2000","612.9"
"CIPLA","22-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","53.45","0","0","-","0","0","612.9"
"CIPLA","23-Sep-2014","25-Sep-2014","PE","640","44.5","50","44.5","49.55","49.55","49.55","4","27.49","-","21000","-3000","584.3"
"CIPLA","23-Sep-2014","30-Oct-2014","PE","640","37.15","37.15","37.15","37.15","37.15","37.15","1","6.77","-","8000","0","584.3"
"CIPLA","23-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","73.9","0","0","-","0","0","584.3"
"CIPLA","24-Sep-2014","25-Sep-2014","PE","640","54.25","55.5","37","37","37","37","14","96.84","-","7000","-14000","600"
"CIPLA","24-Sep-2014","30-Oct-2014","PE","640","0","0","0","37.15","37.15","56.05","0","0","-","8000","0","600"
"CIPLA","24-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","64.7","0","0","-","0","0","600"
"CIPLA","25-Sep-2014","25-Sep-2014","PE","640","31.5","31.5","31.5","31.5","31.5","0","1","6.72","-","6000","-1000","608.45"
"CIPLA","25-Sep-2014","30-Oct-2014","PE","640","0","0","0","37.15","37.15","49.85","0","0","-","8000","0","608.45"
"CIPLA","25-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","58.8","0","0","-","0","0","608.45"
"CIPLA","26-Sep-2014","30-Oct-2014","PE","640","0","0","0","37.15","37.15","46.45","0","0","-","8000","0","611.95"
"CIPLA","26-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","55.35","0","0","-","0","0","611.95"
"CIPLA","26-Sep-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","61.8","0","0","-","0","0","611.95"
"CIPLA","29-Sep-2014","30-Oct-2014","PE","640","30.25","33","30.25","33","33","33","2","13.43","-","8000","0","616.85"
"CIPLA","29-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","50.8","0","0","-","0","0","616.85"
"CIPLA","29-Sep-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","57.3","0","0","-","0","0","616.85"
"CIPLA","30-Sep-2014","30-Oct-2014","PE","640","30.8","30.8","26.8","26.8","26.8","26.8","3","20.06","-","9000","1000","626.8"
"CIPLA","30-Sep-2014","27-Nov-2014","PE","640","0","0","0","116","0","44.9","0","0","-","0","0","626.8"
"CIPLA","30-Sep-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","51.6","0","0","-","0","0","626.8"
"CIPLA","01-Oct-2014","30-Oct-2014","PE","640","0","0","0","26.8","26.8","35.4","0","0","-","9000","0","624.3"
"CIPLA","01-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","44.6","0","0","-","0","0","624.3"
"CIPLA","01-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","51.05","0","0","-","0","0","624.3"
"CIPLA","07-Oct-2014","30-Oct-2014","PE","640","28.05","38.3","28.05","38.3","38.3","38.3","6","40.43","-","10000","1000","602.2"
"CIPLA","07-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","56.8","0","0","-","0","0","602.2"
"CIPLA","07-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","63.35","0","0","-","0","0","602.2"
"CIPLA","08-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","59.45","0","0","-","10000","0","585.65"
"CIPLA","08-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","67.3","0","0","-","0","0","585.65"
"CIPLA","08-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","73.25","0","0","-","0","0","585.65"
"CIPLA","09-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","54.1","0","0","-","10000","0","591.7"
"CIPLA","09-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","62.35","0","0","-","0","0","591.7"
"CIPLA","09-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","68.35","0","0","-","0","0","591.7"
"CIPLA","10-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","52.65","0","0","-","10000","0","592.4"
"CIPLA","10-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","60.6","0","0","-","0","0","592.4"
"CIPLA","10-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","66.4","0","0","-","0","0","592.4"
"CIPLA","13-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","65.35","0","0","-","10000","0","575.95"
"CIPLA","13-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","71.65","0","0","-","0","0","575.95"
"CIPLA","13-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","76.8","0","0","-","0","0","575.95"
"CIPLA","14-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","62.6","0","0","-","10000","0","578.5"
"CIPLA","14-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","68.75","0","0","-","0","0","578.5"
"CIPLA","14-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","73.75","0","0","-","0","0","578.5"
"CIPLA","16-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","61.75","0","0","-","10000","0","578.65"
"CIPLA","16-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","67.4","0","0","-","0","0","578.65"
"CIPLA","16-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","72.15","0","0","-","0","0","578.65"
"CIPLA","17-Oct-2014","30-Oct-2014","PE","640","0","0","0","38.3","38.3","47.4","0","0","-","10000","0","595.6"
"CIPLA","17-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","56.25","0","0","-","0","0","595.6"
"CIPLA","17-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","62.5","0","0","-","0","0","595.6"
"CIPLA","20-Oct-2014","30-Oct-2014","PE","640","34","34","34","34","34","34","1","6.74","-","10000","0","604.25"
"CIPLA","20-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","49.4","0","0","-","0","0","604.25"
"CIPLA","20-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","56.2","0","0","-","0","0","604.25"
"CIPLA","21-Oct-2014","30-Oct-2014","PE","640","0","0","0","34","34","35.1","0","0","-","10000","0","608.3"
"CIPLA","21-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","45.85","0","0","-","0","0","608.3"
"CIPLA","21-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","52.65","0","0","-","0","0","608.3"
"CIPLA","22-Oct-2014","30-Oct-2014","PE","640","20.8","20.8","15.1","15.1","15.1","15.1","3","19.76","-","8000","-2000","628.4"
"CIPLA","22-Oct-2014","27-Nov-2014","PE","640","0","0","0","116","0","35.65","0","0","-","0","0","628.4"
"CIPLA","22-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","43.85","0","0","-","0","0","628.4"
"CIPLA","23-Oct-2014","30-Oct-2014","PE","640","16","16.4","16","16.4","16.4","16.4","2","13.12","-","10000","2000","628.45"
"CIPLA","23-Oct-2014","27-Nov-2014","PE","640","25","25","25","25","25","25","1","6.65","-","1000","1000","628.45"
"CIPLA","23-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","42.3","0","0","-","0","0","628.45"
"CIPLA","27-Oct-2014","30-Oct-2014","PE","640","20","20","20","20","20","20","1","6.6","-","10000","0","628.1"
"CIPLA","27-Oct-2014","27-Nov-2014","PE","640","0","0","0","25","25","32.1","0","0","-","1000","0","628.1"
"CIPLA","27-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","40.2","0","0","-","0","0","628.1"
"CIPLA","28-Oct-2014","30-Oct-2014","PE","640","8.05","10.35","3.6","4.35","3.7","4.35","206","1329.65","-","109000","99000","646.15"
"CIPLA","28-Oct-2014","27-Nov-2014","PE","640","23.25","23.25","18.35","18.45","18.6","18.45","8","52.84","-","5000","4000","646.15"
"CIPLA","28-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","33","0","0","-","0","0","646.15"
"CIPLA","29-Oct-2014","30-Oct-2014","PE","640","3.5","3.5","0.9","1.05","0.9","1.05","306","1964.35","-","147000","38000","656.9"
"CIPLA","29-Oct-2014","27-Nov-2014","PE","640","16.8","17.5","14.55","14.75","14.65","14.75","26","170.51","-","16000","11000","656.9"
"CIPLA","29-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","28.15","0","0","-","0","0","656.9"
"CIPLA","30-Oct-2014","30-Oct-2014","PE","640","1","1","0.05","0.1","0.05","0","139","889.83","-","130000","-17000","650.6"
"CIPLA","30-Oct-2014","27-Nov-2014","PE","640","13.25","16.25","12.1","15.3","16.25","15.3","31","202.67","-","23000","7000","650.6"
"CIPLA","30-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","29.35","0","0","-","0","0","650.6"
"CIPLA","31-Oct-2014","27-Nov-2014","PE","640","15","16.4","9.4","10.3","9.4","10.3","159","518.77","-","51500","28500","666.55"
"CIPLA","31-Oct-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","23.8","0","0","-","0","0","666.55"
"CIPLA","31-Oct-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","32.2","0","0","-","0","0","666.55"
"CIPLA","03-Nov-2014","27-Nov-2014","PE","640","10.5","12.35","10","11.15","11.2","11.15","41","133.46","-","51500","0","663.1"
"CIPLA","03-Nov-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","23.1","0","0","-","0","0","663.1"
"CIPLA","03-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","31.45","0","0","-","0","0","663.1"
"CIPLA","05-Nov-2014","27-Nov-2014","PE","640","10.3","14.25","9","12.05","12.05","12.05","78","254.16","-","57000","5500","658.5"
"CIPLA","05-Nov-2014","24-Dec-2014","PE","640","0","0","0","65.3","0","23.25","0","0","-","0","0","658.5"
"CIPLA","05-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","31.5","0","0","-","0","0","658.5"
"CIPLA","07-Nov-2014","27-Nov-2014","PE","640","9.35","14.7","9.35","13.5","13","13.5","65","211.71","-","64000","7000","650.15"
"CIPLA","07-Nov-2014","24-Dec-2014","PE","640","22","22","22","22","22","22","1","3.31","-","500","500","650.15"
"CIPLA","07-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","33.45","0","0","-","0","0","650.15"
"CIPLA","10-Nov-2014","27-Nov-2014","PE","640","15","18.5","14.45","16.7","15.9","16.7","153","502.53","-","77000","13000","643"
"CIPLA","10-Nov-2014","24-Dec-2014","PE","640","0","0","0","22","22","26.75","0","0","-","500","0","643"
"CIPLA","10-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","34.9","0","0","-","0","0","643"
"CIPLA","11-Nov-2014","27-Nov-2014","PE","640","14.7","20.2","14.65","19.55","19.85","19.55","167","549.04","-","90500","13500","637"
"CIPLA","11-Nov-2014","24-Dec-2014","PE","640","0","0","0","22","22","28.4","0","0","-","500","0","637"
"CIPLA","11-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","36.3","0","0","-","0","0","637"
"CIPLA","12-Nov-2014","27-Nov-2014","PE","640","20","29.85","16.7","28.55","29","28.55","332","1097.42","-","82500","-8000","618.3"
"CIPLA","12-Nov-2014","24-Dec-2014","PE","640","0","0","0","22","22","39.05","0","0","-","500","0","618.3"
"CIPLA","12-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","46.9","0","0","-","0","0","618.3"
"CIPLA","13-Nov-2014","27-Nov-2014","PE","640","25.55","27.25","19","25.2","27.25","25.2","54","179.08","-","86000","3500","623.65"
"CIPLA","13-Nov-2014","24-Dec-2014","PE","640","28.2","28.2","27.15","27.15","27.15","27.15","4","13.35","-","2500","2000","623.65"
"CIPLA","13-Nov-2014","29-Jan-2015","PE","640","0","0","0","37.5","0","43.1","0","0","-","0","0","623.65"
"CIPLA","14-Nov-2014","27-Nov-2014","PE","640","22.15","35","19.25","33.25","32.6","33.25","76","253.41","-","84500","-1500","609.2"
"CIPLA","14-Nov-2014","24-Dec-2014","PE","640","0","0","0","27.15","27.15","43.65","0","0","-","2500","0","609.2"
