"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ONGC","01-Jan-2014","30-Jan-2014","CE","300","5.4","5.8","5.1","5.55","5.55","5.55","221","675.27","-","373000","81000","288.1"
"ONGC","01-Jan-2014","26-Feb-2014","CE","300","0","0","0","20.05","0","12.35","0","0","-","0","0","288.1"
"ONGC","01-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","16.9","0","0","-","0","0","288.1"
"ONGC","02-Jan-2014","30-Jan-2014","CE","300","5.6","6.45","3.05","3.3","3.45","3.3","523","1594.16","-","583000","210000","281.7"
"ONGC","02-Jan-2014","26-Feb-2014","CE","300","0","0","0","20.05","0","9.75","0","0","-","0","0","281.7"
"ONGC","02-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","14.05","0","0","-","0","0","281.7"
"ONGC","03-Jan-2014","30-Jan-2014","CE","300","4","4","2.2","2.3","2.3","2.3","451","1366.26","-","749000","166000","275.8"
"ONGC","03-Jan-2014","26-Feb-2014","CE","300","0","0","0","20.05","0","7.65","0","0","-","0","0","275.8"
"ONGC","03-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","11.65","0","0","-","0","0","275.8"
"ONGC","06-Jan-2014","30-Jan-2014","CE","300","2.45","3.8","2.4","2.95","2.9","2.95","483","1464.81","-","734000","-15000","280.95"
"ONGC","06-Jan-2014","26-Feb-2014","CE","300","0","0","0","20.05","0","8.95","0","0","-","0","0","280.95"
"ONGC","06-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","13.35","0","0","-","0","0","280.95"
"ONGC","07-Jan-2014","30-Jan-2014","CE","300","3.3","3.3","1.85","2.05","2.15","2.05","230","694.94","-","808000","74000","276.25"
"ONGC","07-Jan-2014","26-Feb-2014","CE","300","0","0","0","20.05","0","7.1","0","0","-","0","0","276.25"
"ONGC","07-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","11.2","0","0","-","0","0","276.25"
"ONGC","08-Jan-2014","30-Jan-2014","CE","300","2.2","2.3","1.45","1.6","1.45","1.6","345","1041.47","-","922000","114000","273.2"
"ONGC","08-Jan-2014","26-Feb-2014","CE","300","0","0","0","20.05","0","5.8","0","0","-","0","0","273.2"
"ONGC","08-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","9.65","0","0","-","0","0","273.2"
"ONGC","09-Jan-2014","30-Jan-2014","CE","300","1.5","2.25","1.4","2.05","2.05","2.05","228","688.38","-","815000","-107000","280.3"
"ONGC","09-Jan-2014","26-Feb-2014","CE","300","5","5","5","5","5","5","2","6.1","-","2000","2000","280.3"
"ONGC","09-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","12.7","0","0","-","0","0","280.3"
"ONGC","10-Jan-2014","30-Jan-2014","CE","300","1.6","2.9","1.4","2.1","2.1","2.1","443","1339.25","-","660000","-155000","284.05"
"ONGC","10-Jan-2014","26-Feb-2014","CE","300","6.35","6.35","6.35","6.35","6.35","6.35","6","18.38","-","8000","6000","284.05"
"ONGC","10-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","13.95","0","0","-","0","0","284.05"
"ONGC","13-Jan-2014","30-Jan-2014","CE","300","2.75","3.9","2.75","3.65","3.6","3.65","562","1704.59","-","625000","-35000","292.9"
"ONGC","13-Jan-2014","26-Feb-2014","CE","300","8.1","8.1","8.1","8.1","8.1","8.1","1","3.08","-","9000","1000","292.9"
"ONGC","13-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","18.7","0","0","-","0","0","292.9"
"ONGC","14-Jan-2014","30-Jan-2014","CE","300","2.95","3.7","2.25","3.25","3.25","3.25","355","1075.74","-","621000","-4000","290.25"
"ONGC","14-Jan-2014","26-Feb-2014","CE","300","0","0","0","8.1","8.1","11.55","0","0","-","9000","0","290.25"
"ONGC","14-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","16.7","0","0","-","0","0","290.25"
"ONGC","15-Jan-2014","30-Jan-2014","CE","300","3.05","3.55","2.5","3.2","3","3.2","303","918.39","-","600000","-21000","291.8"
"ONGC","15-Jan-2014","26-Feb-2014","CE","300","0","0","0","8.1","8.1","11.7","0","0","-","9000","0","291.8"
"ONGC","15-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","16.8","0","0","-","0","0","291.8"
"ONGC","16-Jan-2014","30-Jan-2014","CE","300","2.9","2.9","1.7","2.15","2.15","2.15","232","701.18","-","649000","49000","-"
"ONGC","16-Jan-2014","26-Feb-2014","CE","300","0","0","0","8.1","8.1","9.3","0","0","-","9000","0","-"
"ONGC","16-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","14.2","0","0","-","0","0","-"
"ONGC","17-Jan-2014","30-Jan-2014","CE","300","1.6","3.1","1.2","1.75","1.6","1.75","382","1154.84","-","656000","7000","287.5"
"ONGC","17-Jan-2014","26-Feb-2014","CE","300","0","0","0","8.1","8.1","8.95","0","0","-","9000","0","287.5"
"ONGC","17-Jan-2014","27-Mar-2014","CE","300","0","0","0","22.4","0","13.8","0","0","-","0","0","287.5"
"ONGC","20-Jan-2014","30-Jan-2014","CE","300","1.5","2.4","1.25","1.55","1.6","1.55","287","865.72","-","666000","10000","287.15"
"ONGC","20-Jan-2014","26-Feb-2014","CE","300","7.25","7.25","7.25","7.25","7.25","7.25","1","3.07","-","10000","1000","287.15"
