"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ONGC","01-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.05","0","0","-","0","0","288.1"
"ONGC","01-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.25","0","0","-","0","0","288.1"
"ONGC","01-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.75","0","0","-","0","0","288.1"
"ONGC","02-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.05","0","0","-","0","0","281.7"
"ONGC","02-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.4","0","0","-","0","0","281.7"
"ONGC","02-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","1.05","0","0","-","0","0","281.7"
"ONGC","03-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.1","0","0","-","0","0","275.8"
"ONGC","03-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.6","0","0","-","0","0","275.8"
"ONGC","03-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","1.4","0","0","-","0","0","275.8"
"ONGC","06-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.05","0","0","-","0","0","280.95"
"ONGC","06-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.35","0","0","-","0","0","280.95"
"ONGC","06-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","1.05","0","0","-","0","0","280.95"
"ONGC","07-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.05","0","0","-","0","0","276.25"
"ONGC","07-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.45","0","0","-","0","0","276.25"
"ONGC","07-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","1.2","0","0","-","0","0","276.25"
"ONGC","08-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.05","0","0","-","0","0","273.2"
"ONGC","08-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.5","0","0","-","0","0","273.2"
"ONGC","08-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","1.25","0","0","-","0","0","273.2"
"ONGC","09-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0.05","0","0","-","0","0","280.3"
"ONGC","09-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.35","0","0","-","0","0","280.3"
"ONGC","09-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","1","0","0","-","0","0","280.3"
"ONGC","10-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","284.05"
"ONGC","10-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.2","0","0","-","0","0","284.05"
"ONGC","10-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.75","0","0","-","0","0","284.05"
"ONGC","13-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","292.9"
"ONGC","13-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.15","0","0","-","0","0","292.9"
"ONGC","13-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.55","0","0","-","0","0","292.9"
"ONGC","14-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","290.25"
"ONGC","14-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.15","0","0","-","0","0","290.25"
"ONGC","14-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.55","0","0","-","0","0","290.25"
"ONGC","15-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","291.8"
"ONGC","15-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.1","0","0","-","0","0","291.8"
"ONGC","15-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.4","0","0","-","0","0","291.8"
"ONGC","16-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","-"
"ONGC","16-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.1","0","0","-","0","0","-"
"ONGC","16-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.5","0","0","-","0","0","-"
"ONGC","17-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","287.5"
"ONGC","17-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.1","0","0","-","0","0","287.5"
"ONGC","17-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.4","0","0","-","0","0","287.5"
"ONGC","20-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","287.15"
"ONGC","20-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","287.15"
"ONGC","20-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.3","0","0","-","0","0","287.15"
"ONGC","21-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","287"
"ONGC","21-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","287"
"ONGC","21-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.25","0","0","-","0","0","287"
"ONGC","22-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","289.8"
"ONGC","22-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","289.8"
"ONGC","22-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.15","0","0","-","0","0","289.8"
"ONGC","23-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","285.1"
"ONGC","23-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","285.1"
"ONGC","23-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.2","0","0","-","0","0","285.1"
"ONGC","24-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","283.2"
"ONGC","24-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","283.2"
"ONGC","24-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.2","0","0","-","0","0","283.2"
"ONGC","27-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","277"
"ONGC","27-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","277"
"ONGC","27-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.3","0","0","-","0","0","277"
"ONGC","28-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","275.25"
"ONGC","28-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","275.25"
"ONGC","28-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.3","0","0","-","0","0","275.25"
"ONGC","29-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","277"
"ONGC","29-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","277"
"ONGC","29-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.2","0","0","-","0","0","277"
"ONGC","30-Jan-2014","30-Jan-2014","PE","220","0","0","0","0.7","0","0","0","0","-","0","0","272.2"
"ONGC","30-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","272.2"
"ONGC","30-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.3","0","0","-","0","0","272.2"
"ONGC","31-Jan-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","275.55"
"ONGC","31-Jan-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.2","0","0","-","0","0","275.55"
"ONGC","31-Jan-2014","24-Apr-2014","PE","220","0","0","0","0.8","0","0.6","0","0","-","0","0","275.55"
"ONGC","03-Feb-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","267.8"
"ONGC","03-Feb-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.5","0","0","-","0","0","267.8"
"ONGC","03-Feb-2014","24-Apr-2014","PE","220","0","0","0","0.8","0","1.15","0","0","-","0","0","267.8"
"ONGC","04-Feb-2014","26-Feb-2014","PE","220","0","0","0","0.8","0","0.05","0","0","-","0","0","268"
"ONGC","04-Feb-2014","27-Mar-2014","PE","220","0","0","0","1.25","0","0.4","0","0","-","0","0","268"
