"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ULTRACEMCO","26-Apr-2017","27-Apr-2017","CE","4700","0","0","0","33.4","0","0","0","0","0","0","0","4230.9"
"ULTRACEMCO","26-Apr-2017","25-May-2017","CE","4700","0","0","0","8.25","0","14.25","0","0","0","0","0","4230.9"
"ULTRACEMCO","26-Apr-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","55.45","0","0","0","0","0","4230.9"
"ULTRACEMCO","27-Apr-2017","27-Apr-2017","CE","4700","0","0","0","33.4","0","0","0","0","0","0","0","4237.1"
"ULTRACEMCO","27-Apr-2017","25-May-2017","CE","4700","0","0","0","8.25","0","12.25","0","0","0","0","0","4237.1"
"ULTRACEMCO","27-Apr-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","51.4","0","0","0","0","0","4237.1"
"ULTRACEMCO","28-Apr-2017","25-May-2017","CE","4700","0","0","0","8.25","0","10.95","0","0","0","0","0","4248.95"
"ULTRACEMCO","28-Apr-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","48.85","0","0","0","0","0","4248.95"
"ULTRACEMCO","28-Apr-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","81.55","0","0","0","0","0","4248.95"
"ULTRACEMCO","02-May-2017","25-May-2017","CE","4700","0","0","0","8.25","0","4.85","0","0","0","0","0","4206"
"ULTRACEMCO","02-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","35.15","0","0","0","0","0","4206"
"ULTRACEMCO","02-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","64.35","0","0","0","0","0","4206"
"ULTRACEMCO","03-May-2017","25-May-2017","CE","4700","0","0","0","8.25","0","12.75","0","0","0","0","0","4301.4"
"ULTRACEMCO","03-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","60.1","0","0","0","0","0","4301.4"
"ULTRACEMCO","03-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","98.25","0","0","0","0","0","4301.4"
"ULTRACEMCO","04-May-2017","25-May-2017","CE","4700","0","0","0","8.25","0","12.6","0","0","0","0","0","4324.2"
"ULTRACEMCO","04-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","60.7","0","0","0","0","0","4324.2"
"ULTRACEMCO","04-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","99","0","0","0","0","0","4324.2"
"ULTRACEMCO","05-May-2017","25-May-2017","CE","4700","0","0","0","8.25","0","10.65","0","0","0","0","0","4329.95"
"ULTRACEMCO","05-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","56.65","0","0","0","0","0","4329.95"
"ULTRACEMCO","05-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","93.85","0","0","0","0","0","4329.95"
"ULTRACEMCO","08-May-2017","25-May-2017","CE","4700","14","16","14","15","15","15","19","179.17",".57","3400","3400","4426.25"
"ULTRACEMCO","08-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","86.6","0","0","0","0","0","4426.25"
"ULTRACEMCO","08-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","132.7","0","0","0","0","0","4426.25"
"ULTRACEMCO","09-May-2017","25-May-2017","CE","4700","15","15","15","15","15","15","1","9.43",".03","3200","-200","4432.9"
"ULTRACEMCO","09-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","82.3","0","0","0","0","0","4432.9"
"ULTRACEMCO","09-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","127.45","0","0","0","0","0","4432.9"
"ULTRACEMCO","10-May-2017","25-May-2017","CE","4700","0","0","0","15","15","9.3","0","0","0","3200","0","4367.55"
"ULTRACEMCO","10-May-2017","29-Jun-2017","CE","4700","0","0","0","15.4","0","63.05","0","0","0","0","0","4367.55"
"ULTRACEMCO","10-May-2017","27-Jul-2017","CE","4700","0","0","0","84.85","0","104.5","0","0","0","0","0","4367.55"
"ULTRACEMCO","11-May-2017","25-May-2017","CE","4700","0","0","0","15","15","11.95","0","0","0","3200","0","4412.5"
"ULTRACEMCO","11-May-2017","29-Jun-2017","CE","4700","52","52","52","52","52","52","1","9.5",".1","200","200","4412.5"
