"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ULTRACEMCO","29-Jul-2016","25-Aug-2016","PE","4200","0","0","0","919.55","0","463.7","0","0","0","0","0","3718.2"
"ULTRACEMCO","29-Jul-2016","29-Sep-2016","PE","4200","0","0","0","735","0","455.6","0","0","0","0","0","3718.2"
"ULTRACEMCO","29-Jul-2016","27-Oct-2016","PE","4200","0","0","0","487.55","0","454.7","0","0","0","0","0","3718.2"
"ULTRACEMCO","01-Aug-2016","25-Aug-2016","PE","4200","0","0","0","919.55","0","428.55","0","0","0","0","0","3755.7"
"ULTRACEMCO","01-Aug-2016","29-Sep-2016","PE","4200","0","0","0","735","0","422.8","0","0","0","0","0","3755.7"
"ULTRACEMCO","01-Aug-2016","27-Oct-2016","PE","4200","0","0","0","487.55","0","423.65","0","0","0","0","0","3755.7"
"ULTRACEMCO","02-Aug-2016","25-Aug-2016","PE","4200","0","0","0","919.55","0","506.75","0","0","0","0","0","3676.7"
"ULTRACEMCO","02-Aug-2016","29-Sep-2016","PE","4200","0","0","0","735","0","496.2","0","0","0","0","0","3676.7"
"ULTRACEMCO","02-Aug-2016","27-Oct-2016","PE","4200","0","0","0","487.55","0","494.55","0","0","0","0","0","3676.7"
"ULTRACEMCO","03-Aug-2016","25-Aug-2016","PE","4200","0","0","0","919.55","0","515.95","0","0","0","0","0","3667.7"
"ULTRACEMCO","03-Aug-2016","29-Sep-2016","PE","4200","0","0","0","735","0","502.65","0","0","0","0","0","3667.7"
"ULTRACEMCO","03-Aug-2016","27-Oct-2016","PE","4200","0","0","0","487.55","0","499.05","0","0","0","0","0","3667.7"
"ULTRACEMCO","04-Aug-2016","25-Aug-2016","PE","4200","0","0","0","919.55","0","527.5","0","0","0","0","0","3656.55"
"ULTRACEMCO","04-Aug-2016","29-Sep-2016","PE","4200","0","0","0","735","0","511.35","0","0","0","0","0","3656.55"
"ULTRACEMCO","04-Aug-2016","27-Oct-2016","PE","4200","0","0","0","487.55","0","505.7","0","0","0","0","0","3656.55"
