"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HDFCBANK","27-Jun-2014","31-Jul-2014","CE","1000","0","0","0","7.25","0","0.1","0","0","-","0","0","816.2"
"HDFCBANK","27-Jun-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","1.15","0","0","-","0","0","816.2"
"HDFCBANK","27-Jun-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","3.3","0","0","-","0","0","816.2"
"HDFCBANK","30-Jun-2014","31-Jul-2014","CE","1000","0","0","0","7.25","0","0.1","0","0","-","0","0","821.55"
"HDFCBANK","30-Jun-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","1","0","0","-","0","0","821.55"
"HDFCBANK","30-Jun-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","3.1","0","0","-","0","0","821.55"
"HDFCBANK","01-Jul-2014","31-Jul-2014","CE","1000","0","0","0","7.25","0","0.05","0","0","-","0","0","823.3"
"HDFCBANK","01-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","0.85","0","0","-","0","0","823.3"
"HDFCBANK","01-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","2.75","0","0","-","0","0","823.3"
"HDFCBANK","02-Jul-2014","31-Jul-2014","CE","1000","0","0","0","7.25","0","0.15","0","0","-","0","0","839.9"
"HDFCBANK","02-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","1.75","0","0","-","0","0","839.9"
"HDFCBANK","02-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","4.8","0","0","-","0","0","839.9"
"HDFCBANK","03-Jul-2014","31-Jul-2014","CE","1000","0","0","0","7.25","0","0.1","0","0","-","0","0","836.8"
"HDFCBANK","03-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","1.3","0","0","-","0","0","836.8"
"HDFCBANK","03-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","3.9","0","0","-","0","0","836.8"
"HDFCBANK","04-Jul-2014","31-Jul-2014","CE","1000","0","0","0","7.25","0","0.4","0","0","-","0","0","856.65"
"HDFCBANK","04-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","3.15","0","0","-","0","0","856.65"
"HDFCBANK","04-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","7.5","0","0","-","0","0","856.65"
"HDFCBANK","07-Jul-2014","31-Jul-2014","CE","1000","1.8","1.8","0.85","0.85","0.85","0.85","17","85.08","-","8500","8500","840.45"
"HDFCBANK","07-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","2","0","0","-","0","0","840.45"
"HDFCBANK","07-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","5.6","0","0","-","0","0","840.45"
"HDFCBANK","08-Jul-2014","31-Jul-2014","CE","1000","0.4","1.3","0.3","0.65","0.65","0.65","38","190.1","-","17500","9000","829.25"
"HDFCBANK","08-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","1.35","0","0","-","0","0","829.25"
"HDFCBANK","08-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","4.25","0","0","-","0","0","829.25"
"HDFCBANK","09-Jul-2014","31-Jul-2014","CE","1000","0.65","0.65","0.25","0.25","0.25","0.25","4","20.01","-","19000","1500","830.3"
"HDFCBANK","09-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","1.1","0","0","-","0","0","830.3"
"HDFCBANK","09-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","3.75","0","0","-","0","0","830.3"
"HDFCBANK","10-Jul-2014","31-Jul-2014","CE","1000","0","0","0","0.25","0.25","0.05","0","0","-","19000","0","823.35"
"HDFCBANK","10-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","0.75","0","0","-","0","0","823.35"
"HDFCBANK","10-Jul-2014","25-Sep-2014","CE","1000","0","0","0","3.5","0","2.85","0","0","-","0","0","823.35"
"HDFCBANK","11-Jul-2014","31-Jul-2014","CE","1000","0","0","0","0.25","0.25","0","0","0","-","19000","0","811.8"
"HDFCBANK","11-Jul-2014","28-Aug-2014","CE","1000","0","0","0","8.05","0","0.45","0","0","-","0","0","811.8"
