"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HDFCBANK","25-Mar-2014","27-Mar-2014","CE","900","0","0","0","2.7","0","0","0","0","-","0","0","750.15"
"HDFCBANK","25-Mar-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.5","0","0","-","0","0","750.15"
"HDFCBANK","25-Mar-2014","29-May-2014","CE","900","0","0","0","0.3","0","4.3","0","0","-","0","0","750.15"
"HDFCBANK","26-Mar-2014","27-Mar-2014","CE","900","0","0","0","2.7","0","0","0","0","-","0","0","746.05"
"HDFCBANK","26-Mar-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.3","0","0","-","0","0","746.05"
"HDFCBANK","26-Mar-2014","29-May-2014","CE","900","0","0","0","0.3","0","3.35","0","0","-","0","0","746.05"
"HDFCBANK","27-Mar-2014","27-Mar-2014","CE","900","0","0","0","2.7","0","0","0","0","-","0","0","746.75"
"HDFCBANK","27-Mar-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.2","0","0","-","0","0","746.75"
"HDFCBANK","27-Mar-2014","29-May-2014","CE","900","0","0","0","0.3","0","2.9","0","0","-","0","0","746.75"
"HDFCBANK","28-Mar-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.15","0","0","-","0","0","744.95"
"HDFCBANK","28-Mar-2014","29-May-2014","CE","900","0","0","0","0.3","0","2.3","0","0","-","0","0","744.95"
"HDFCBANK","28-Mar-2014","26-Jun-2014","CE","900","0","0","0","6.6","0","5.6","0","0","-","0","0","744.95"
"HDFCBANK","31-Mar-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.1","0","0","-","0","0","748.8"
"HDFCBANK","31-Mar-2014","29-May-2014","CE","900","0","0","0","0.3","0","2","0","0","-","0","0","748.8"
"HDFCBANK","31-Mar-2014","26-Jun-2014","CE","900","0","0","0","6.6","0","5.15","0","0","-","0","0","748.8"
"HDFCBANK","01-Apr-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.05","0","0","-","0","0","738.1"
"HDFCBANK","01-Apr-2014","29-May-2014","CE","900","0","0","0","0.3","0","1.4","0","0","-","0","0","738.1"
"HDFCBANK","01-Apr-2014","26-Jun-2014","CE","900","0","0","0","6.6","0","3.95","0","0","-","0","0","738.1"
"HDFCBANK","02-Apr-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0.05","0","0","-","0","0","731.9"
"HDFCBANK","02-Apr-2014","29-May-2014","CE","900","0","0","0","0.3","0","0.95","0","0","-","0","0","731.9"
"HDFCBANK","02-Apr-2014","26-Jun-2014","CE","900","0","0","0","6.6","0","3","0","0","-","0","0","731.9"
"HDFCBANK","03-Apr-2014","24-Apr-2014","CE","900","0","0","0","0.15","0","0","0","0","-","0","0","728.8"
