"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HDFCBANK","03-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","176.6","0","0","-","0","0","836.8"
"HDFCBANK","03-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","170.5","0","0","-","0","0","836.8"
"HDFCBANK","03-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","165.75","0","0","-","0","0","836.8"
"HDFCBANK","04-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","157.1","0","0","-","0","0","856.65"
"HDFCBANK","04-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","152.2","0","0","-","0","0","856.65"
"HDFCBANK","04-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","149","0","0","-","0","0","856.65"
"HDFCBANK","07-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","173.9","0","0","-","0","0","840.45"
"HDFCBANK","07-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","168.25","0","0","-","0","0","840.45"
"HDFCBANK","07-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","164.35","0","0","-","0","0","840.45"
"HDFCBANK","08-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","185.3","0","0","-","0","0","829.25"
"HDFCBANK","08-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","179.25","0","0","-","0","0","829.25"
"HDFCBANK","08-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","174.75","0","0","-","0","0","829.25"
"HDFCBANK","09-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","184.4","0","0","-","0","0","830.3"
"HDFCBANK","09-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","178.15","0","0","-","0","0","830.3"
"HDFCBANK","09-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","173.3","0","0","-","0","0","830.3"
"HDFCBANK","10-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","191.55","0","0","-","0","0","823.35"
"HDFCBANK","10-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","185.1","0","0","-","0","0","823.35"
"HDFCBANK","10-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","179.8","0","0","-","0","0","823.35"
"HDFCBANK","11-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","203.3","0","0","-","0","0","811.8"
"HDFCBANK","11-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","196.7","0","0","-","0","0","811.8"
"HDFCBANK","11-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","191","0","0","-","0","0","811.8"
"HDFCBANK","14-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","198.4","0","0","-","0","0","817.45"
"HDFCBANK","14-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","191.75","0","0","-","0","0","817.45"
"HDFCBANK","14-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","186.05","0","0","-","0","0","817.45"
"HDFCBANK","15-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","189.35","0","0","-","0","0","826.8"
"HDFCBANK","15-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","182.7","0","0","-","0","0","826.8"
"HDFCBANK","15-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","177.1","0","0","-","0","0","826.8"
"HDFCBANK","16-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","180.65","0","0","-","0","0","835.75"
"HDFCBANK","16-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","174","0","0","-","0","0","835.75"
"HDFCBANK","16-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","168.65","0","0","-","0","0","835.75"
"HDFCBANK","17-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","184.85","0","0","-","0","0","831.8"
"HDFCBANK","17-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","178.15","0","0","-","0","0","831.8"
"HDFCBANK","17-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","172.5","0","0","-","0","0","831.8"
"HDFCBANK","18-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","184.45","0","0","-","0","0","832.45"
"HDFCBANK","18-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","177.65","0","0","-","0","0","832.45"
"HDFCBANK","18-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","171.8","0","0","-","0","0","832.45"
"HDFCBANK","21-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","190.15","0","0","-","0","0","827.45"
"HDFCBANK","21-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","183.25","0","0","-","0","0","827.45"
"HDFCBANK","21-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","177.05","0","0","-","0","0","827.45"
"HDFCBANK","22-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","178","0","0","-","0","0","839.85"
"HDFCBANK","22-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","171.2","0","0","-","0","0","839.85"
"HDFCBANK","22-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","165.3","0","0","-","0","0","839.85"
"HDFCBANK","23-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","181.8","0","0","-","0","0","836.3"
"HDFCBANK","23-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","174.95","0","0","-","0","0","836.3"
"HDFCBANK","23-Jul-2014","25-Sep-2014","PE","1020","0","0","0","187.9","0","168.8","0","0","-","0","0","836.3"
"HDFCBANK","24-Jul-2014","31-Jul-2014","PE","1020","0","0","0","191.25","0","176.05","0","0","-","0","0","842.25"
"HDFCBANK","24-Jul-2014","28-Aug-2014","PE","1020","0","0","0","188.4","0","169.2","0","0","-","0","0","842.25"
