"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HDFCBANK","25-Mar-2014","27-Mar-2014","PE","900","0","0","0","213.5","0","149.4","0","0","-","0","0","750.15"
"HDFCBANK","25-Mar-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","143","0","0","-","0","0","750.15"
"HDFCBANK","25-Mar-2014","29-May-2014","PE","900","0","0","0","201.35","0","138.4","0","0","-","0","0","750.15"
"HDFCBANK","26-Mar-2014","27-Mar-2014","PE","900","0","0","0","213.5","0","153.75","0","0","-","0","0","746.05"
"HDFCBANK","26-Mar-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","147.25","0","0","-","0","0","746.05"
"HDFCBANK","26-Mar-2014","29-May-2014","PE","900","0","0","0","201.35","0","141.85","0","0","-","0","0","746.05"
"HDFCBANK","27-Mar-2014","27-Mar-2014","PE","900","0","0","0","213.5","0","0","0","0","-","0","0","746.75"
"HDFCBANK","27-Mar-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","146.65","0","0","-","0","0","746.75"
"HDFCBANK","27-Mar-2014","29-May-2014","PE","900","0","0","0","201.35","0","141","0","0","-","0","0","746.75"
"HDFCBANK","28-Mar-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","148.65","0","0","-","0","0","744.95"
"HDFCBANK","28-Mar-2014","29-May-2014","PE","900","0","0","0","201.35","0","142.55","0","0","-","0","0","744.95"
"HDFCBANK","28-Mar-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","139.2","0","0","-","0","0","744.95"
"HDFCBANK","31-Mar-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","145.45","0","0","-","0","0","748.8"
"HDFCBANK","31-Mar-2014","29-May-2014","PE","900","0","0","0","201.35","0","139.1","0","0","-","0","0","748.8"
"HDFCBANK","31-Mar-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","135.6","0","0","-","0","0","748.8"
"HDFCBANK","01-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","156.35","0","0","-","0","0","738.1"
"HDFCBANK","01-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","149.4","0","0","-","0","0","738.1"
"HDFCBANK","01-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","145.35","0","0","-","0","0","738.1"
"HDFCBANK","02-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","163.1","0","0","-","0","0","731.9"
"HDFCBANK","02-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","155.95","0","0","-","0","0","731.9"
"HDFCBANK","02-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","151.65","0","0","-","0","0","731.9"
"HDFCBANK","03-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","166.45","0","0","-","0","0","728.8"
"HDFCBANK","03-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","159.1","0","0","-","0","0","728.8"
"HDFCBANK","03-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","154.45","0","0","-","0","0","728.8"
"HDFCBANK","04-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","170","0","0","-","0","0","725.45"
"HDFCBANK","04-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","162.3","0","0","-","0","0","725.45"
"HDFCBANK","04-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","157.3","0","0","-","0","0","725.45"
"HDFCBANK","07-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","171","0","0","-","0","0","725.35"
"HDFCBANK","07-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","163","0","0","-","0","0","725.35"
"HDFCBANK","07-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","157.7","0","0","-","0","0","725.35"
"HDFCBANK","09-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","154.95","0","0","-","0","0","741.85"
"HDFCBANK","09-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","147.3","0","0","-","0","0","741.85"
"HDFCBANK","09-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","142.95","0","0","-","0","0","741.85"
"HDFCBANK","10-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","157.7","0","0","-","0","0","739.4"
"HDFCBANK","10-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","149.9","0","0","-","0","0","739.4"
"HDFCBANK","10-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","145.25","0","0","-","0","0","739.4"
"HDFCBANK","11-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","159.2","0","0","-","0","0","738.15"
"HDFCBANK","11-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","151.25","0","0","-","0","0","738.15"
"HDFCBANK","11-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","146.35","0","0","-","0","0","738.15"
"HDFCBANK","15-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","174.3","0","0","-","0","0","723.95"
"HDFCBANK","15-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","166.3","0","0","-","0","0","723.95"
"HDFCBANK","15-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","161.05","0","0","-","0","0","723.95"
"HDFCBANK","16-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","172.5","0","0","-","0","0","725.95"
"HDFCBANK","16-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","164.45","0","0","-","0","0","725.95"
"HDFCBANK","16-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","159","0","0","-","0","0","725.95"
"HDFCBANK","17-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","180","0","0","-","0","0","718.7"
"HDFCBANK","17-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","171.8","0","0","-","0","0","718.7"
"HDFCBANK","17-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","166.15","0","0","-","0","0","718.7"
"HDFCBANK","21-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","183.15","0","0","-","0","0","716.45"
"HDFCBANK","21-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","175","0","0","-","0","0","716.45"
"HDFCBANK","21-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","169.15","0","0","-","0","0","716.45"
"HDFCBANK","22-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","172.25","0","0","-","0","0","727.55"
"HDFCBANK","22-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","164.15","0","0","-","0","0","727.55"
"HDFCBANK","22-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","158.55","0","0","-","0","0","727.55"
"HDFCBANK","23-Apr-2014","24-Apr-2014","PE","900","0","0","0","249.5","0","0","0","0","-","0","0","733"
"HDFCBANK","23-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","158.9","0","0","-","0","0","733"
"HDFCBANK","23-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","153.25","0","0","-","0","0","733"
"HDFCBANK","25-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","165.95","0","0","-","0","0","726.4"
"HDFCBANK","25-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","160.05","0","0","-","0","0","726.4"
"HDFCBANK","25-Apr-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","153.9","0","0","-","0","0","726.4"
"HDFCBANK","28-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","167.8","0","0","-","0","0","725.2"
"HDFCBANK","28-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","161.75","0","0","-","0","0","725.2"
"HDFCBANK","28-Apr-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","155.2","0","0","-","0","0","725.2"
"HDFCBANK","29-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","177.6","0","0","-","0","0","715.8"
"HDFCBANK","29-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","171.35","0","0","-","0","0","715.8"
"HDFCBANK","29-Apr-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","164.55","0","0","-","0","0","715.8"
"HDFCBANK","30-Apr-2014","29-May-2014","PE","900","0","0","0","201.35","0","172.3","0","0","-","0","0","721.3"
"HDFCBANK","30-Apr-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","166.05","0","0","-","0","0","721.3"
"HDFCBANK","30-Apr-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","159.25","0","0","-","0","0","721.3"
"HDFCBANK","02-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","176.95","0","0","-","0","0","717.1"
"HDFCBANK","02-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","170.6","0","0","-","0","0","717.1"
"HDFCBANK","02-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","163.6","0","0","-","0","0","717.1"
"HDFCBANK","05-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","178.05","0","0","-","0","0","716.7"
"HDFCBANK","05-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","171.65","0","0","-","0","0","716.7"
"HDFCBANK","05-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","164.4","0","0","-","0","0","716.7"
"HDFCBANK","06-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","174.8","0","0","-","0","0","720.2"
"HDFCBANK","06-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","168.35","0","0","-","0","0","720.2"
"HDFCBANK","06-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","161.05","0","0","-","0","0","720.2"
"HDFCBANK","07-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","179.65","0","0","-","0","0","715.6"
"HDFCBANK","07-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","173.15","0","0","-","0","0","715.6"
"HDFCBANK","07-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","165.75","0","0","-","0","0","715.6"
"HDFCBANK","08-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","177.2","0","0","-","0","0","718.3"
"HDFCBANK","08-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","170.7","0","0","-","0","0","718.3"
"HDFCBANK","08-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","163.25","0","0","-","0","0","718.3"
"HDFCBANK","09-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","139.1","0","0","-","0","0","756.8"
"HDFCBANK","09-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","135.5","0","0","-","0","0","756.8"
"HDFCBANK","09-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","133.95","0","0","-","0","0","756.8"
"HDFCBANK","12-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","105.9","0","0","-","0","0","792.15"
"HDFCBANK","12-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","108.6","0","0","-","0","0","792.15"
"HDFCBANK","12-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","113.2","0","0","-","0","0","792.15"
"HDFCBANK","13-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","109.45","0","0","-","0","0","788.15"
"HDFCBANK","13-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","110.95","0","0","-","0","0","788.15"
"HDFCBANK","13-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","114.65","0","0","-","0","0","788.15"
"HDFCBANK","14-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","121.8","0","0","-","0","0","775.45"
"HDFCBANK","14-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","121.35","0","0","-","0","0","775.45"
"HDFCBANK","14-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","123.65","0","0","-","0","0","775.45"
"HDFCBANK","15-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","109.35","0","0","-","0","0","788.35"
"HDFCBANK","15-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","110.25","0","0","-","0","0","788.35"
"HDFCBANK","15-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","113.75","0","0","-","0","0","788.35"
"HDFCBANK","16-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","93.75","0","0","-","0","0","804.7"
"HDFCBANK","16-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","97.1","0","0","-","0","0","804.7"
"HDFCBANK","16-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","102.3","0","0","-","0","0","804.7"
"HDFCBANK","19-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","86.7","0","0","-","0","0","811.9"
"HDFCBANK","19-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","90.3","0","0","-","0","0","811.9"
"HDFCBANK","19-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","95.9","0","0","-","0","0","811.9"
"HDFCBANK","20-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","82.65","0","0","-","0","0","816.05"
"HDFCBANK","20-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","86.2","0","0","-","0","0","816.05"
"HDFCBANK","20-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","91.75","0","0","-","0","0","816.05"
"HDFCBANK","21-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","89.05","0","0","-","0","0","809.5"
"HDFCBANK","21-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","90.75","0","0","-","0","0","809.5"
"HDFCBANK","21-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","95.2","0","0","-","0","0","809.5"
"HDFCBANK","22-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","96","0","0","-","0","0","802.6"
"HDFCBANK","22-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","95.85","0","0","-","0","0","802.6"
"HDFCBANK","22-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","99.15","0","0","-","0","0","802.6"
"HDFCBANK","23-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","109.1","0","0","-","0","0","789.65"
"HDFCBANK","23-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","106.95","0","0","-","0","0","789.65"
"HDFCBANK","23-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","108.7","0","0","-","0","0","789.65"
"HDFCBANK","26-May-2014","29-May-2014","PE","900","0","0","0","201.35","0","102.25","0","0","-","0","0","797.15"
"HDFCBANK","26-May-2014","26-Jun-2014","PE","900","0","0","0","138.05","0","100.05","0","0","-","0","0","797.15"
"HDFCBANK","26-May-2014","31-Jul-2014","PE","900","0","0","0","147.6","0","102.25","0","0","-","0","0","797.15"
