"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HEROMOTOCO","18-Sep-2014","25-Sep-2014","CE","3350","0","0","0","32.75","0","1.55","0","0","-","0","0","2992.65"
"HEROMOTOCO","18-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","56.4","0","0","-","0","0","2992.65"
"HEROMOTOCO","18-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","102.2","0","0","-","0","0","2992.65"
"HEROMOTOCO","19-Sep-2014","25-Sep-2014","CE","3350","0","0","0","32.75","0","0.35","0","0","-","0","0","2951.4"
"HEROMOTOCO","19-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","43.3","0","0","-","0","0","2951.4"
"HEROMOTOCO","19-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","84.95","0","0","-","0","0","2951.4"
"HEROMOTOCO","22-Sep-2014","25-Sep-2014","CE","3350","0","0","0","32.75","0","0.05","0","0","-","0","0","2997.85"
"HEROMOTOCO","22-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","47.2","0","0","-","0","0","2997.85"
"HEROMOTOCO","22-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","92.05","0","0","-","0","0","2997.85"
"HEROMOTOCO","23-Sep-2014","25-Sep-2014","CE","3350","0","0","0","32.75","0","0","0","0","-","0","0","2978.2"
"HEROMOTOCO","23-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","38.4","0","0","-","0","0","2978.2"
"HEROMOTOCO","23-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","80.05","0","0","-","0","0","2978.2"
"HEROMOTOCO","24-Sep-2014","25-Sep-2014","CE","3350","0","0","0","32.75","0","0","0","0","-","0","0","2943.25"
"HEROMOTOCO","24-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","28.75","0","0","-","0","0","2943.25"
"HEROMOTOCO","24-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","66.1","0","0","-","0","0","2943.25"
"HEROMOTOCO","25-Sep-2014","25-Sep-2014","CE","3350","0","0","0","32.75","0","0","0","0","-","0","0","2932.95"
"HEROMOTOCO","25-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","23.55","0","0","-","0","0","2932.95"
"HEROMOTOCO","25-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","57.95","0","0","-","0","0","2932.95"
"HEROMOTOCO","26-Sep-2014","30-Oct-2014","CE","3350","0","0","0","11.45","0","16.6","0","0","-","0","0","2896.9"
"HEROMOTOCO","26-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","46.4","0","0","-","0","0","2896.9"
"HEROMOTOCO","26-Sep-2014","24-Dec-2014","CE","3350","0","0","0","91.2","0","76.7","0","0","-","0","0","2896.9"
"HEROMOTOCO","29-Sep-2014","30-Oct-2014","CE","3350","8.9","8.9","8.9","8.9","8.9","8.9","1","4.2","-","125","125","2860.5"
"HEROMOTOCO","29-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","34.55","0","0","-","0","0","2860.5"
"HEROMOTOCO","29-Sep-2014","24-Dec-2014","CE","3350","0","0","0","91.2","0","61.6","0","0","-","0","0","2860.5"
"HEROMOTOCO","30-Sep-2014","30-Oct-2014","CE","3350","0","0","0","8.9","8.9","6.7","0","0","-","125","0","2839.55"
"HEROMOTOCO","30-Sep-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","27.85","0","0","-","0","0","2839.55"
"HEROMOTOCO","30-Sep-2014","24-Dec-2014","CE","3350","0","0","0","91.2","0","52.3","0","0","-","0","0","2839.55"
"HEROMOTOCO","01-Oct-2014","30-Oct-2014","CE","3350","0","0","0","8.9","8.9","7.75","0","0","-","125","0","2874.95"
"HEROMOTOCO","01-Oct-2014","27-Nov-2014","CE","3350","0","0","0","2.2","0","31","0","0","-","0","0","2874.95"
