"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HEROMOTOCO","19-Sep-2014","25-Sep-2014","PE","3450","0","0","0","752.05","0","493.75","0","0","-","0","0","2951.4"
"HEROMOTOCO","19-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","493.25","0","0","-","0","0","2951.4"
"HEROMOTOCO","19-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","505.55","0","0","-","0","0","2951.4"
"HEROMOTOCO","22-Sep-2014","25-Sep-2014","PE","3450","0","0","0","752.05","0","449.7","0","0","-","0","0","2997.85"
"HEROMOTOCO","22-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","451.5","0","0","-","0","0","2997.85"
"HEROMOTOCO","22-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","466.8","0","0","-","0","0","2997.85"
"HEROMOTOCO","23-Sep-2014","25-Sep-2014","PE","3450","0","0","0","752.05","0","470.15","0","0","-","0","0","2978.2"
"HEROMOTOCO","23-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","465.35","0","0","-","0","0","2978.2"
"HEROMOTOCO","23-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","477","0","0","-","0","0","2978.2"
"HEROMOTOCO","24-Sep-2014","25-Sep-2014","PE","3450","0","0","0","752.05","0","505.95","0","0","-","0","0","2943.25"
"HEROMOTOCO","24-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","494.25","0","0","-","0","0","2943.25"
"HEROMOTOCO","24-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","501.4","0","0","-","0","0","2943.25"
"HEROMOTOCO","25-Sep-2014","25-Sep-2014","PE","3450","0","0","0","752.05","0","0","0","0","-","0","0","2932.95"
"HEROMOTOCO","25-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","501.45","0","0","-","0","0","2932.95"
"HEROMOTOCO","25-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","505.45","0","0","-","0","0","2932.95"
"HEROMOTOCO","26-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","533.95","0","0","-","0","0","2896.9"
"HEROMOTOCO","26-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","533.6","0","0","-","0","0","2896.9"
"HEROMOTOCO","26-Sep-2014","24-Dec-2014","PE","3450","0","0","0","511.95","0","537.05","0","0","-","0","0","2896.9"
"HEROMOTOCO","29-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","568.6","0","0","-","0","0","2860.5"
"HEROMOTOCO","29-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","563.45","0","0","-","0","0","2860.5"
"HEROMOTOCO","29-Sep-2014","24-Dec-2014","PE","3450","0","0","0","511.95","0","563.65","0","0","-","0","0","2860.5"
"HEROMOTOCO","30-Sep-2014","30-Oct-2014","PE","3450","0","0","0","784.65","0","588.9","0","0","-","0","0","2839.55"
"HEROMOTOCO","30-Sep-2014","27-Nov-2014","PE","3450","0","0","0","772.9","0","580.1","0","0","-","0","0","2839.55"
"HEROMOTOCO","30-Sep-2014","24-Dec-2014","PE","3450","0","0","0","511.95","0","577.6","0","0","-","0","0","2839.55"
