"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ICICIBANK","04-Dec-2014","24-Dec-2014","CE","340","26","26.1","20.9","23.5","23","23.5","32","145.21","-","343750","-8750","362.2"
"ICICIBANK","04-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","31.4","0","0","-","0","0","362.2"
"ICICIBANK","04-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","35.55","0","0","-","0","0","362.2"
"ICICIBANK","05-Dec-2014","24-Dec-2014","CE","340","23.8","25.2","22.65","22.9","22.9","22.9","23","104.7","-","331250","-12500","359.8"
"ICICIBANK","05-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","29.1","0","0","-","0","0","359.8"
"ICICIBANK","05-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","33.2","0","0","-","0","0","359.8"
"ICICIBANK","08-Dec-2014","24-Dec-2014","CE","340","20.15","20.15","17.2","18.25","18.25","18.25","6","26.89","-","326250","-5000","353.8"
"ICICIBANK","08-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","24.3","0","0","-","0","0","353.8"
"ICICIBANK","08-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","28.65","0","0","-","0","0","353.8"
"ICICIBANK","09-Dec-2014","24-Dec-2014","CE","340","18","20","14","15.4","16.35","15.4","31","138.11","-","305000","-21250","350.4"
"ICICIBANK","09-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","21.55","0","0","-","0","0","350.4"
"ICICIBANK","09-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","25.9","0","0","-","0","0","350.4"
"ICICIBANK","10-Dec-2014","24-Dec-2014","CE","340","14","16.95","14","16","16","16","17","75.66","-","293750","-11250","352.05"
"ICICIBANK","10-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","22.25","0","0","-","0","0","352.05"
"ICICIBANK","10-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","26.5","0","0","-","0","0","352.05"
"ICICIBANK","11-Dec-2014","24-Dec-2014","CE","340","12.45","15.4","10.1","13.4","13","13.4","158","694.14","-","243750","-50000","347.95"
"ICICIBANK","11-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","19.2","0","0","-","0","0","347.95"
"ICICIBANK","11-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","23.5","0","0","-","0","0","347.95"
"ICICIBANK","12-Dec-2014","24-Dec-2014","CE","340","13.45","15.1","10.8","11.3","10.8","11.3","83","366.33","-","232500","-11250","346.3"
"ICICIBANK","12-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","17.6","0","0","-","0","0","346.3"
"ICICIBANK","12-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","21.85","0","0","-","0","0","346.3"
"ICICIBANK","15-Dec-2014","24-Dec-2014","CE","340","11.55","12.2","8.55","11","12.2","11","126","551.35","-","268750","36250","345.25"
"ICICIBANK","15-Dec-2014","29-Jan-2015","CE","340","0","0","0","74.2","0","16.15","0","0","-","0","0","345.25"
"ICICIBANK","15-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","20.4","0","0","-","0","0","345.25"
"ICICIBANK","16-Dec-2014","24-Dec-2014","CE","340","10.3","10.3","3.15","3.6","3.7","3.6","1720","7407","-","871250","602500","330.7"
"ICICIBANK","16-Dec-2014","29-Jan-2015","CE","340","11.75","13.95","11.5","13.15","12.3","13.15","15","66.1","-","13750","13750","330.7"
"ICICIBANK","16-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","16.15","0","0","-","0","0","330.7"
"ICICIBANK","17-Dec-2014","24-Dec-2014","CE","340","3.05","6.2","1.5","4.2","4.6","4.2","2913","12522.78","-","1026250","155000","332.35"
"ICICIBANK","17-Dec-2014","29-Jan-2015","CE","340","11.7","14.05","8.5","11.5","11.5","11.5","43","189.19","-","52500","38750","332.35"
"ICICIBANK","17-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","16.35","0","0","-","0","0","332.35"
"ICICIBANK","18-Dec-2014","24-Dec-2014","CE","340","6.95","9.95","6","9.4","9.95","9.4","1114","4840.32","-","885000","-141250","345.75"
"ICICIBANK","18-Dec-2014","29-Jan-2015","CE","340","16.8","17.75","14.85","17.5","17.7","17.5","40","178.05","-","43750","-8750","345.75"
"ICICIBANK","18-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","26.4","0","0","-","0","0","345.75"
"ICICIBANK","19-Dec-2014","24-Dec-2014","CE","340","9.85","17.3","9.85","16.4","16.6","16.4","679","2998.16","-","798750","-86250","356"
"ICICIBANK","19-Dec-2014","29-Jan-2015","CE","340","19.6","24.3","19","24.05","23.75","24.05","47","212.25","-","37500","-6250","356"
"ICICIBANK","19-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","33.85","0","0","-","0","0","356"
"ICICIBANK","22-Dec-2014","24-Dec-2014","CE","340","12.8","20.25","11.55","18.85","20.25","18.85","105","465.63","-","736250","-62500","359.2"
"ICICIBANK","22-Dec-2014","29-Jan-2015","CE","340","20.3","25.1","20.15","25.05","25","25.05","9","40.69","-","36250","-1250","359.2"
"ICICIBANK","22-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","35.05","0","0","-","0","0","359.2"
"ICICIBANK","23-Dec-2014","24-Dec-2014","CE","340","18","21","12.2","13.6","13.7","13.6","112","500.47","-","683750","-52500","353"
"ICICIBANK","23-Dec-2014","29-Jan-2015","CE","340","24.15","27.45","21.3","22","22","22","18","81.83","-","31250","-5000","353"
"ICICIBANK","23-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","30.55","0","0","-","0","0","353"
"ICICIBANK","24-Dec-2014","24-Dec-2014","CE","340","13.7","16","12.25","12.9","12.5","0","51","225.49","-","655000","-28750","353.1"
"ICICIBANK","24-Dec-2014","29-Jan-2015","CE","340","22.25","23.7","19.65","22.45","22.6","22.45","23","104.08","-","45000","13750","353.1"
"ICICIBANK","24-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","29.85","0","0","-","0","0","353.1"
"ICICIBANK","26-Dec-2014","29-Jan-2015","CE","340","21.9","22.5","18.45","19.85","19.6","19.85","24","108.15","-","56250","11250","350.95"
"ICICIBANK","26-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","27.55","0","0","-","0","0","350.95"
"ICICIBANK","26-Dec-2014","26-Mar-2015","CE","340","0","0","0","34.6","0","32.45","0","0","-","0","0","350.95"
"ICICIBANK","29-Dec-2014","29-Jan-2015","CE","340","22","22","18.1","18.3","18.1","18.3","6","27.01","-","61250","5000","349.15"
"ICICIBANK","29-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","25.35","0","0","-","0","0","349.15"
"ICICIBANK","29-Dec-2014","26-Mar-2015","CE","340","0","0","0","34.6","0","30.2","0","0","-","0","0","349.15"
"ICICIBANK","30-Dec-2014","29-Jan-2015","CE","340","17","19.25","16.55","19","19","19","13","58.11","-","71250","10000","350.25"
"ICICIBANK","30-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","25.4","0","0","-","0","0","350.25"
"ICICIBANK","30-Dec-2014","26-Mar-2015","CE","340","0","0","0","34.6","0","30.2","0","0","-","0","0","350.25"
"ICICIBANK","31-Dec-2014","29-Jan-2015","CE","340","20.5","21.25","20.5","21.25","21.25","21.25","6","27.06","-","70000","-1250","353.1"
"ICICIBANK","31-Dec-2014","26-Feb-2015","CE","340","0","0","0","125.85","0","26.75","0","0","-","0","0","353.1"
"ICICIBANK","31-Dec-2014","26-Mar-2015","CE","340","0","0","0","34.6","0","31.5","0","0","-","0","0","353.1"
"ICICIBANK","01-Jan-2015","29-Jan-2015","CE","340","20","20.15","19.8","20.15","20.15","20.15","4","18","-","67500","-2500","352.3"
"ICICIBANK","01-Jan-2015","26-Feb-2015","CE","340","0","0","0","125.85","0","25.6","0","0","-","0","0","352.3"
"ICICIBANK","01-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","30.25","0","0","-","0","0","352.3"
"ICICIBANK","02-Jan-2015","29-Jan-2015","CE","340","25.25","28.35","25.25","27.7","27.5","27.7","22","100.96","-","63750","-3750","362.3"
"ICICIBANK","02-Jan-2015","26-Feb-2015","CE","340","0","0","0","125.85","0","33.55","0","0","-","0","0","362.3"
"ICICIBANK","02-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","38.3","0","0","-","0","0","362.3"
"ICICIBANK","05-Jan-2015","29-Jan-2015","CE","340","30.25","30.25","27.5","27.5","27.5","27.5","17","78.31","-","62500","-1250","363.05"
"ICICIBANK","05-Jan-2015","26-Feb-2015","CE","340","0","0","0","125.85","0","33.15","0","0","-","0","0","363.05"
"ICICIBANK","05-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","37.85","0","0","-","0","0","363.05"
"ICICIBANK","06-Jan-2015","29-Jan-2015","CE","340","23","23","16.1","16.1","16.1","16.1","11","49.46","-","65000","2500","347.65"
"ICICIBANK","06-Jan-2015","26-Feb-2015","CE","340","0","0","0","125.85","0","24.7","0","0","-","0","0","347.65"
"ICICIBANK","06-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","30.25","0","0","-","0","0","347.65"
"ICICIBANK","07-Jan-2015","29-Jan-2015","CE","340","15.5","15.5","10.65","12.45","13.1","12.45","872","3840.31","-","350000","285000","338.25"
"ICICIBANK","07-Jan-2015","26-Feb-2015","CE","340","17","17","17","17","17","17","1","4.46","-","1250","1250","338.25"
"ICICIBANK","07-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","25.2","0","0","-","0","0","338.25"
"ICICIBANK","08-Jan-2015","29-Jan-2015","CE","340","13.9","17.25","13.65","16.25","16.25","16.25","476","2112.17","-","370000","20000","347.45"
"ICICIBANK","08-Jan-2015","26-Feb-2015","CE","340","22.5","22.5","22.5","22.5","22.5","22.5","1","4.53","-","2500","1250","347.45"
"ICICIBANK","08-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","31.1","0","0","-","0","0","347.45"
"ICICIBANK","09-Jan-2015","29-Jan-2015","CE","340","16.4","18","10.3","13.05","12.95","13.05","850","3748.19","-","522500","152500","341.85"
"ICICIBANK","09-Jan-2015","26-Feb-2015","CE","340","22.5","22.5","22.5","22.5","22.5","22.5","6","27.19","-","7500","5000","341.85"
"ICICIBANK","09-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","27.3","0","0","-","0","0","341.85"
"ICICIBANK","12-Jan-2015","29-Jan-2015","CE","340","11.45","15.7","11","15.15","14.9","15.15","459","2027.91","-","491250","-31250","346.55"
"ICICIBANK","12-Jan-2015","26-Feb-2015","CE","340","0","0","0","22.5","22.5","23.25","0","0","-","7500","0","346.55"
"ICICIBANK","12-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","29.2","0","0","-","0","0","346.55"
"ICICIBANK","13-Jan-2015","29-Jan-2015","CE","340","15.85","15.85","10.55","11.35","11.6","11.35","540","2380.79","-","475000","-16250","340.9"
"ICICIBANK","13-Jan-2015","26-Feb-2015","CE","340","0","0","0","22.5","22.5","19.55","0","0","-","7500","0","340.9"
"ICICIBANK","13-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","25.45","0","0","-","0","0","340.9"
"ICICIBANK","14-Jan-2015","29-Jan-2015","CE","340","9.55","11.75","8.3","9.45","10","9.45","1196","5225.14","-","815000","340000","336.9"
"ICICIBANK","14-Jan-2015","26-Feb-2015","CE","340","19.15","19.15","14","16.5","16.5","16.5","5","22.24","-","12500","5000","336.9"
"ICICIBANK","14-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","22.6","0","0","-","0","0","336.9"
"ICICIBANK","15-Jan-2015","29-Jan-2015","CE","340","17.4","20","13","17.3","16.25","17.3","683","3048.77","-","510000","-305000","352.85"
"ICICIBANK","15-Jan-2015","26-Feb-2015","CE","340","25","25","25","25","25","25","1","4.56","-","11250","-1250","352.85"
"ICICIBANK","15-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","34.95","0","0","-","0","0","352.85"
"ICICIBANK","16-Jan-2015","29-Jan-2015","CE","340","15.25","17.95","14.4","17.05","16.7","17.05","105","467.88","-","477500","-32500","353.85"
"ICICIBANK","16-Jan-2015","26-Feb-2015","CE","340","0","0","0","25","25","28.2","0","0","-","11250","0","353.85"
"ICICIBANK","16-Jan-2015","26-Mar-2015","CE","340","0","0","0","34.6","0","34.7","0","0","-","0","0","353.85"
