"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ICICIBANK","04-Dec-2014","24-Dec-2014","CE","300","0","0","0","216.2","216.2","63.6","0","0","-","7500","0","362.2"
"ICICIBANK","04-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","66.5","0","0","-","0","0","362.2"
"ICICIBANK","04-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","68.95","0","0","-","0","0","362.2"
"ICICIBANK","05-Dec-2014","24-Dec-2014","CE","300","0","0","0","216.2","216.2","61.15","0","0","-","7500","0","359.8"
"ICICIBANK","05-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","64","0","0","-","0","0","359.8"
"ICICIBANK","05-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","66.45","0","0","-","0","0","359.8"
"ICICIBANK","08-Dec-2014","24-Dec-2014","CE","300","0","0","0","216.2","216.2","54.95","0","0","-","7500","0","353.8"
"ICICIBANK","08-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","57.9","0","0","-","0","0","353.8"
"ICICIBANK","08-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","60.55","0","0","-","0","0","353.8"
"ICICIBANK","09-Dec-2014","24-Dec-2014","CE","300","0","0","0","216.2","216.2","51.45","0","0","-","7500","0","350.4"
"ICICIBANK","09-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","54.5","0","0","-","0","0","350.4"
"ICICIBANK","09-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","57.15","0","0","-","0","0","350.4"
"ICICIBANK","10-Dec-2014","24-Dec-2014","CE","300","53.2","53.2","53.2","53.2","53.2","53.2","2","8.83","-","7500","0","352.05"
"ICICIBANK","10-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","55.9","0","0","-","0","0","352.05"
"ICICIBANK","10-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","58.45","0","0","-","0","0","352.05"
"ICICIBANK","11-Dec-2014","24-Dec-2014","CE","300","0","0","0","53.2","53.2","48.85","0","0","-","7500","0","347.95"
"ICICIBANK","11-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","51.85","0","0","-","0","0","347.95"
"ICICIBANK","11-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","54.5","0","0","-","0","0","347.95"
"ICICIBANK","12-Dec-2014","24-Dec-2014","CE","300","0","0","0","53.2","53.2","47.15","0","0","-","7500","0","346.3"
"ICICIBANK","12-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","50.1","0","0","-","0","0","346.3"
"ICICIBANK","12-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","52.7","0","0","-","0","0","346.3"
"ICICIBANK","15-Dec-2014","24-Dec-2014","CE","300","0","0","0","53.2","53.2","45.9","0","0","-","7500","0","345.25"
"ICICIBANK","15-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","48.75","0","0","-","0","0","345.25"
"ICICIBANK","15-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","51.35","0","0","-","0","0","345.25"
"ICICIBANK","16-Dec-2014","24-Dec-2014","CE","300","0","0","0","53.2","53.2","31.35","0","0","-","7500","0","330.7"
"ICICIBANK","16-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","36.45","0","0","-","0","0","330.7"
"ICICIBANK","16-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","40.4","0","0","-","0","0","330.7"
"ICICIBANK","17-Dec-2014","24-Dec-2014","CE","300","0","0","0","53.2","53.2","32.9","0","0","-","7500","0","332.35"
"ICICIBANK","17-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","37.55","0","0","-","0","0","332.35"
"ICICIBANK","17-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","41.35","0","0","-","0","0","332.35"
"ICICIBANK","18-Dec-2014","24-Dec-2014","CE","300","42.7","42.7","42","42","42","42","2","8.56","-","7500","0","345.75"
"ICICIBANK","18-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","50.35","0","0","-","0","0","345.75"
"ICICIBANK","18-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","54.2","0","0","-","0","0","345.75"
"ICICIBANK","19-Dec-2014","24-Dec-2014","CE","300","0","0","0","42","42","56.35","0","0","-","7500","0","356"
"ICICIBANK","19-Dec-2014","29-Jan-2015","CE","300","0","0","0","182.4","0","60.05","0","0","-","0","0","356"
"ICICIBANK","19-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","63.65","0","0","-","0","0","356"
"ICICIBANK","22-Dec-2014","24-Dec-2014","CE","300","0","0","0","42","42","59.35","0","0","-","7500","0","359.2"
"ICICIBANK","22-Dec-2014","29-Jan-2015","CE","300","56.9","56.9","56.9","56.9","56.9","56.9","1","4.46","-","1250","1250","359.2"
"ICICIBANK","22-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","66","0","0","-","0","0","359.2"
"ICICIBANK","23-Dec-2014","24-Dec-2014","CE","300","59.8","60.1","55.4","56","56","56","5","22.35","-","2500","-5000","353"
"ICICIBANK","23-Dec-2014","29-Jan-2015","CE","300","57","57.15","57","57","57","57","11","49.1","-","12500","11250","353"
"ICICIBANK","23-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","60.2","0","0","-","0","0","353"
"ICICIBANK","24-Dec-2014","24-Dec-2014","CE","300","0","0","0","56","56","0","0","0","-","2500","0","353.1"
"ICICIBANK","24-Dec-2014","29-Jan-2015","CE","300","0","0","0","57","57","56.45","0","0","-","12500","0","353.1"
"ICICIBANK","24-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","59.9","0","0","-","0","0","353.1"
"ICICIBANK","26-Dec-2014","29-Jan-2015","CE","300","53.05","53.05","53.05","53.05","53.05","53.05","1","4.41","-","12500","0","350.95"
"ICICIBANK","26-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","57.45","0","0","-","0","0","350.95"
"ICICIBANK","26-Dec-2014","26-Mar-2015","CE","300","0","0","0","63.25","0","60.95","0","0","-","0","0","350.95"
"ICICIBANK","29-Dec-2014","29-Jan-2015","CE","300","0","0","0","53.05","53.05","51.9","0","0","-","12500","0","349.15"
"ICICIBANK","29-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","55.25","0","0","-","0","0","349.15"
"ICICIBANK","29-Dec-2014","26-Mar-2015","CE","300","0","0","0","63.25","0","58.7","0","0","-","0","0","349.15"
"ICICIBANK","30-Dec-2014","29-Jan-2015","CE","300","0","0","0","53.05","53.05","52.75","0","0","-","12500","0","350.25"
"ICICIBANK","30-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","55.95","0","0","-","0","0","350.25"
"ICICIBANK","30-Dec-2014","26-Mar-2015","CE","300","0","0","0","63.25","0","59.2","0","0","-","0","0","350.25"
"ICICIBANK","31-Dec-2014","29-Jan-2015","CE","300","0","0","0","53.05","53.05","55.4","0","0","-","12500","0","353.1"
"ICICIBANK","31-Dec-2014","26-Feb-2015","CE","300","0","0","0","268.5","0","58.35","0","0","-","0","0","353.1"
"ICICIBANK","31-Dec-2014","26-Mar-2015","CE","300","0","0","0","63.25","0","61.5","0","0","-","0","0","353.1"
"ICICIBANK","01-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","54.45","0","0","-","12500","0","352.3"
"ICICIBANK","01-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","57.35","0","0","-","0","0","352.3"
"ICICIBANK","01-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","60.4","0","0","-","0","0","352.3"
"ICICIBANK","02-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","64.3","0","0","-","12500","0","362.3"
"ICICIBANK","02-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","67","0","0","-","0","0","362.3"
"ICICIBANK","02-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","69.95","0","0","-","0","0","362.3"
"ICICIBANK","05-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","64.8","0","0","-","12500","0","363.05"
"ICICIBANK","05-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","67.3","0","0","-","0","0","363.05"
"ICICIBANK","05-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","70.1","0","0","-","0","0","363.05"
"ICICIBANK","06-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","49.8","0","0","-","12500","0","347.65"
"ICICIBANK","06-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","53.7","0","0","-","0","0","347.65"
"ICICIBANK","06-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","57.65","0","0","-","0","0","347.65"
"ICICIBANK","07-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","40.9","0","0","-","12500","0","338.25"
"ICICIBANK","07-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","45.65","0","0","-","0","0","338.25"
"ICICIBANK","07-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","50.1","0","0","-","0","0","338.25"
"ICICIBANK","08-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","49.5","0","0","-","12500","0","347.45"
"ICICIBANK","08-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","53.75","0","0","-","0","0","347.45"
"ICICIBANK","08-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","58","0","0","-","0","0","347.45"
"ICICIBANK","09-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","44","0","0","-","12500","0","341.85"
"ICICIBANK","09-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","48.6","0","0","-","0","0","341.85"
"ICICIBANK","09-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","53.05","0","0","-","0","0","341.85"
"ICICIBANK","12-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","48.1","0","0","-","12500","0","346.55"
"ICICIBANK","12-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","52.15","0","0","-","0","0","346.55"
"ICICIBANK","12-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","56.35","0","0","-","0","0","346.55"
"ICICIBANK","13-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","42.45","0","0","-","12500","0","340.9"
"ICICIBANK","13-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","46.9","0","0","-","0","0","340.9"
"ICICIBANK","13-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","51.3","0","0","-","0","0","340.9"
"ICICIBANK","14-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","38.45","0","0","-","12500","0","336.9"
"ICICIBANK","14-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","43.1","0","0","-","0","0","336.9"
"ICICIBANK","14-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","47.6","0","0","-","0","0","336.9"
"ICICIBANK","15-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","54.05","0","0","-","12500","0","352.85"
"ICICIBANK","15-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","58.15","0","0","-","0","0","352.85"
"ICICIBANK","15-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","62.65","0","0","-","0","0","352.85"
"ICICIBANK","16-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","54.9","0","0","-","12500","0","353.85"
"ICICIBANK","16-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","58.7","0","0","-","0","0","353.85"
"ICICIBANK","16-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","62.95","0","0","-","0","0","353.85"
"ICICIBANK","19-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","61.5","0","0","-","12500","0","360.8"
"ICICIBANK","19-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","64.7","0","0","-","0","0","360.8"
"ICICIBANK","19-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","68.6","0","0","-","0","0","360.8"
"ICICIBANK","20-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","68.4","0","0","-","12500","0","367.75"
"ICICIBANK","20-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","71.15","0","0","-","0","0","367.75"
"ICICIBANK","20-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","74.75","0","0","-","0","0","367.75"
"ICICIBANK","21-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","69","0","0","-","12500","0","368.45"
"ICICIBANK","21-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","71.6","0","0","-","0","0","368.45"
"ICICIBANK","21-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","75","0","0","-","0","0","368.45"
"ICICIBANK","22-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","70.3","0","0","-","12500","0","369.8"
"ICICIBANK","22-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","72.7","0","0","-","0","0","369.8"
"ICICIBANK","22-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","75.9","0","0","-","0","0","369.8"
"ICICIBANK","23-Jan-2015","29-Jan-2015","CE","300","0","0","0","53.05","53.05","71.15","0","0","-","12500","0","370.7"
"ICICIBANK","23-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","73.45","0","0","-","0","0","370.7"
"ICICIBANK","23-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","76.45","0","0","-","0","0","370.7"
"ICICIBANK","27-Jan-2015","29-Jan-2015","CE","300","86","86","86","86","86","86","1","4.83","-","12500","0","383.5"
"ICICIBANK","27-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","85.75","0","0","-","0","0","383.5"
"ICICIBANK","27-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","88.55","0","0","-","0","0","383.5"
"ICICIBANK","28-Jan-2015","29-Jan-2015","CE","300","0","0","0","86","86","84.15","0","0","-","12500","0","384.05"
"ICICIBANK","28-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","86.15","0","0","-","0","0","384.05"
"ICICIBANK","28-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","88.8","0","0","-","0","0","384.05"
"ICICIBANK","29-Jan-2015","29-Jan-2015","CE","300","0","0","0","86","86","0","0","0","-","12500","0","380.3"
"ICICIBANK","29-Jan-2015","26-Feb-2015","CE","300","0","0","0","268.5","0","82.3","0","0","-","0","0","380.3"
"ICICIBANK","29-Jan-2015","26-Mar-2015","CE","300","0","0","0","63.25","0","85","0","0","-","0","0","380.3"
