"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ICICIBANK","04-Dec-2014","24-Dec-2014","PE","360","8","9.8","6.4","7.95","9","7.95","941","4333.46","-","921250","65000","362.2"
"ICICIBANK","04-Dec-2014","29-Jan-2015","PE","360","0","0","0","190","0","11.45","0","0","-","0","0","362.2"
"ICICIBANK","04-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","13.6","0","0","-","0","0","362.2"
"ICICIBANK","05-Dec-2014","24-Dec-2014","PE","360","7.35","8.65","6.4","8.2","8.3","8.2","1222","5610.3","-","638750","-282500","359.8"
"ICICIBANK","05-Dec-2014","29-Jan-2015","PE","360","0","0","0","190","0","12.05","0","0","-","0","0","359.8"
"ICICIBANK","05-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","14.1","0","0","-","0","0","359.8"
"ICICIBANK","08-Dec-2014","24-Dec-2014","PE","360","7","10.9","7","9.95","9.6","9.95","438","2021.11","-","578750","-60000","353.8"
"ICICIBANK","08-Dec-2014","29-Jan-2015","PE","360","14","14","14","14","14","14","1","4.68","-","1250","1250","353.8"
"ICICIBANK","08-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","16.85","0","0","-","0","0","353.8"
"ICICIBANK","09-Dec-2014","24-Dec-2014","PE","360","9.8","12.5","7.65","11.65","11.4","11.65","573","2648.69","-","573750","-5000","350.4"
"ICICIBANK","09-Dec-2014","29-Jan-2015","PE","360","15.5","15.5","15.5","15.5","15.5","15.5","1","4.69","-","1250","0","350.4"
"ICICIBANK","09-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","18.25","0","0","-","0","0","350.4"
"ICICIBANK","10-Dec-2014","24-Dec-2014","PE","360","11.9","11.9","8.7","9.9","10.1","9.9","244","1128.98","-","512500","-61250","352.05"
"ICICIBANK","10-Dec-2014","29-Jan-2015","PE","360","0","0","0","15.5","15.5","15","0","0","-","1250","0","352.05"
"ICICIBANK","10-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","16.9","0","0","-","0","0","352.05"
"ICICIBANK","11-Dec-2014","24-Dec-2014","PE","360","10.3","16.25","10.3","12.9","13","12.9","197","919.12","-","445000","-67500","347.95"
"ICICIBANK","11-Dec-2014","29-Jan-2015","PE","360","0","0","0","15.5","15.5","17.1","0","0","-","1250","0","347.95"
"ICICIBANK","11-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","18.85","0","0","-","0","0","347.95"
"ICICIBANK","12-Dec-2014","24-Dec-2014","PE","360","11.55","13.4","10.75","13.05","13","13.05","50","232.82","-","432500","-12500","346.3"
"ICICIBANK","12-Dec-2014","29-Jan-2015","PE","360","0","0","0","15.5","15.5","17.7","0","0","-","1250","0","346.3"
"ICICIBANK","12-Dec-2014","26-Feb-2015","PE","360","0","0","0","116.25","0","19.3","0","0","-","0","0","346.3"
"ICICIBANK","15-Dec-2014","24-Dec-2014","PE","360","13.45","16.75","12.8","14.4","14.4","14.4","45","210.84","-","417500","-15000","345.25"
"ICICIBANK","15-Dec-2014","29-Jan-2015","PE","360","0","0","0","15.5","15.5","17.8","0","0","-","1250","0","345.25"
