"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ICICIBANK","04-Dec-2014","24-Dec-2014","PE","300","0.4","0.4","0.4","0.4","0.4","0.4","1","3.76","-","20000","0","362.2"
"ICICIBANK","04-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.35","0","0","-","0","0","362.2"
"ICICIBANK","04-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","0.85","0","0","-","0","0","362.2"
"ICICIBANK","05-Dec-2014","24-Dec-2014","PE","300","0","0","0","0.4","0.4","0","0","0","-","20000","0","359.8"
"ICICIBANK","05-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.3","0","0","-","0","0","359.8"
"ICICIBANK","05-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","0.85","0","0","-","0","0","359.8"
"ICICIBANK","08-Dec-2014","24-Dec-2014","PE","300","0","0","0","0.4","0.4","0","0","0","-","20000","0","353.8"
"ICICIBANK","08-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.45","0","0","-","0","0","353.8"
"ICICIBANK","08-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","1.15","0","0","-","0","0","353.8"
"ICICIBANK","09-Dec-2014","24-Dec-2014","PE","300","0.3","0.3","0.3","0.3","0.3","0.3","1","3.75","-","21250","1250","350.4"
"ICICIBANK","09-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.5","0","0","-","0","0","350.4"
"ICICIBANK","09-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","1.25","0","0","-","0","0","350.4"
"ICICIBANK","10-Dec-2014","24-Dec-2014","PE","300","0.05","0.05","0.05","0.05","0.05","0.05","2","7.5","-","21250","0","352.05"
"ICICIBANK","10-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.4","0","0","-","0","0","352.05"
"ICICIBANK","10-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","1","0","0","-","0","0","352.05"
"ICICIBANK","11-Dec-2014","24-Dec-2014","PE","300","0.1","0.3","0.1","0.2","0.2","0.2","6","22.52","-","27500","6250","347.95"
"ICICIBANK","11-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.5","0","0","-","0","0","347.95"
"ICICIBANK","11-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","1.2","0","0","-","0","0","347.95"
"ICICIBANK","12-Dec-2014","24-Dec-2014","PE","300","0.35","0.35","0.35","0.35","0.35","0.35","1","3.75","-","28750","1250","346.3"
"ICICIBANK","12-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.45","0","0","-","0","0","346.3"
"ICICIBANK","12-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","1.15","0","0","-","0","0","346.3"
"ICICIBANK","15-Dec-2014","24-Dec-2014","PE","300","0.15","0.2","0.15","0.2","0.2","0.2","5","18.76","-","27500","-1250","345.25"
"ICICIBANK","15-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","0.35","0","0","-","0","0","345.25"
"ICICIBANK","15-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","1","0","0","-","0","0","345.25"
"ICICIBANK","16-Dec-2014","24-Dec-2014","PE","300","0.3","0.85","0.3","0.7","0.7","0.7","25","93.93","-","37500","10000","330.7"
"ICICIBANK","16-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","2.65","0","0","-","0","0","330.7"
"ICICIBANK","16-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","4.65","0","0","-","0","0","330.7"
"ICICIBANK","17-Dec-2014","24-Dec-2014","PE","300","0.8","2","0.7","0.75","0.8","0.75","49","184.53","-","58750","21250","332.35"
"ICICIBANK","17-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","2.15","0","0","-","0","0","332.35"
"ICICIBANK","17-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","4","0","0","-","0","0","332.35"
"ICICIBANK","18-Dec-2014","24-Dec-2014","PE","300","0.8","0.8","0.15","0.2","0.2","0.2","11","41.29","-","61250","2500","345.75"
"ICICIBANK","18-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","1.65","0","0","-","0","0","345.75"
"ICICIBANK","18-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","3.55","0","0","-","0","0","345.75"
"ICICIBANK","19-Dec-2014","24-Dec-2014","PE","300","0.1","0.25","0.1","0.1","0.1","0.1","11","41.28","-","60000","-1250","356"
"ICICIBANK","19-Dec-2014","29-Jan-2015","PE","300","0","0","0","36","0","1.15","0","0","-","0","0","356"
"ICICIBANK","19-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","2.8","0","0","-","0","0","356"
"ICICIBANK","22-Dec-2014","24-Dec-2014","PE","300","0","0","0","0.1","0.1","0","0","0","-","60000","0","359.2"
"ICICIBANK","22-Dec-2014","29-Jan-2015","PE","300","1.35","1.35","0.95","0.95","0.95","0.95","5","18.82","-","6250","6250","359.2"
"ICICIBANK","22-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","2.15","0","0","-","0","0","359.2"
"ICICIBANK","23-Dec-2014","24-Dec-2014","PE","300","0.1","0.1","0.05","0.05","0.05","0.05","15","56.26","-","57500","-2500","353"
"ICICIBANK","23-Dec-2014","29-Jan-2015","PE","300","0.95","1.75","0.95","1","1","1","11","41.4","-","18750","12500","353"
"ICICIBANK","23-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","2.6","0","0","-","0","0","353"
"ICICIBANK","24-Dec-2014","24-Dec-2014","PE","300","0.35","0.35","0.35","0.35","0.35","0","1","3.75","-","58750","1250","353.1"
"ICICIBANK","24-Dec-2014","29-Jan-2015","PE","300","0.8","0.8","0.5","0.5","0.5","0.5","15","56.37","-","30000","11250","353.1"
"ICICIBANK","24-Dec-2014","26-Feb-2015","PE","300","0","0","0","13.35","0","2.3","0","0","-","0","0","353.1"
