"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2014","30-Jan-2014","CE","5000","1338.6","1345","1332.45","1345","1345","1345","9","28.52","-","726000","250","6301.65"
"NIFTY","01-Jan-2014","26-Feb-2014","CE","5000","1359.8","1359.8","1359.8","1359.8","1359.8","1359.8","1","3.18","-","100","50","6301.65"
"NIFTY","01-Jan-2014","27-Mar-2014","CE","5000","1394","1394","1394","1394","1394","1394","1","3.2","-","112950","50","6301.65"
"NIFTY","01-Jan-2014","26-Jun-2014","CE","5000","1510","1510","1501.15","1509.05","1508.7","1509.05","8","26.03","-","303650","-100","6301.65"
"NIFTY","01-Jan-2014","25-Sep-2014","CE","5000","0","0","0","1561.55","0","1626.85","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","24-Dec-2014","CE","5000","1677","1688","1677","1682.55","1688","1682.55","32","106.91","-","508200","-100","6301.65"
"NIFTY","01-Jan-2014","25-Jun-2015","CE","5000","0","0","0","1200.05","1200.05","1942.9","0","0","-","50","0","6301.65"
"NIFTY","01-Jan-2014","31-Dec-2015","CE","5000","0","0","0","2954.65","0","2147.35","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","30-Jun-2016","CE","5000","0","0","0","2612.45","0","2333.85","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","29-Dec-2016","CE","5000","0","0","0","1943.3","0","2510.95","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","29-Jun-2017","CE","5000","0","0","0","2112.75","0","2679.4","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","28-Dec-2017","CE","5000","0","0","0","2680.2","0","2839.85","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","28-Jun-2018","CE","5000","0","0","0","2558.05","0","2992.75","0","0","-","0","0","6301.65"
"NIFTY","01-Jan-2014","27-Dec-2018","CE","5000","0","0","0","3145.2","0","3138.65","0","0","-","0","0","6301.65"
"NIFTY","02-Jan-2014","30-Jan-2014","CE","5000","1355.4","1382.4","1232.5","1238.6","1241.9","1238.6","459","1447.29","-","719600","-6400","6221.15"
"NIFTY","02-Jan-2014","26-Feb-2014","CE","5000","0","0","0","1359.8","1359.8","1288.85","0","0","-","100","0","6221.15"
"NIFTY","02-Jan-2014","27-Mar-2014","CE","5000","1424.8","1435.6","1310","1313.4","1310","1313.4","31","98.52","-","112750","-200","6221.15"
"NIFTY","02-Jan-2014","26-Jun-2014","CE","5000","1532.05","1532.5","1396.45","1411.7","1426.45","1411.7","126","408.3","-","308300","4650","6221.15"
