"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","25-Mar-2014","26-Jun-2014","PE","9000","0","0","0","2188.6","0","2185.4","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","25-Sep-2014","PE","9000","0","0","0","1974.75","0","1971.8","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","24-Dec-2014","PE","9000","0","0","0","1776.05","0","1772.25","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","25-Jun-2015","PE","9000","0","0","0","1429.55","0","1421.6","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","31-Dec-2015","PE","9000","0","0","0","1149.4","0","1137","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","30-Jun-2016","PE","9000","0","0","0","937.7","0","922","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","29-Dec-2016","PE","9000","0","0","0","770.1","0","752.35","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","29-Jun-2017","PE","9000","0","0","0","635.7","0","616.95","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","28-Dec-2017","PE","9000","0","0","0","527.05","0","508.1","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","28-Jun-2018","PE","9000","0","0","0","438.5","0","419.85","0","0","-","0","0","6589.75"
"NIFTY","25-Mar-2014","27-Dec-2018","PE","9000","0","0","0","366.25","0","348.3","0","0","-","0","0","6589.75"
"NIFTY","26-Mar-2014","26-Jun-2014","PE","9000","0","0","0","2188.6","0","2177.25","0","0","-","0","0","6601.4"
"NIFTY","26-Mar-2014","25-Sep-2014","PE","9000","0","0","0","1974.75","0","1964.4","0","0","-","0","0","6601.4"
"NIFTY","26-Mar-2014","24-Dec-2014","PE","9000","0","0","0","1776.05","0","1764.7","0","0","-","0","0","6601.4"
