"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ONGC","01-Jan-2014","30-Jan-2014","CE","320","1.7","2.7","1.25","1.4","1.4","1.4","125","401.99","-","105000","17000","288.1"
"ONGC","01-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","6.3","0","0","-","0","0","288.1"
"ONGC","01-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","10.05","0","0","-","0","0","288.1"
"ONGC","02-Jan-2014","30-Jan-2014","CE","320","1.45","1.6","0.75","0.8","0.75","0.8","101","324.39","-","143000","38000","281.7"
"ONGC","02-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","4.75","0","0","-","0","0","281.7"
"ONGC","02-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","8.2","0","0","-","0","0","281.7"
"ONGC","03-Jan-2014","30-Jan-2014","CE","320","0.95","1","0.6","0.75","0.7","0.75","98","314.43","-","164000","21000","275.8"
"ONGC","03-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","3.5","0","0","-","0","0","275.8"
"ONGC","03-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","6.6","0","0","-","0","0","275.8"
"ONGC","06-Jan-2014","30-Jan-2014","CE","320","0.9","1","0.7","0.8","0.8","0.8","108","346.5","-","166000","2000","280.95"
"ONGC","06-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","4.2","0","0","-","0","0","280.95"
"ONGC","06-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","7.65","0","0","-","0","0","280.95"
"ONGC","07-Jan-2014","30-Jan-2014","CE","320","0.85","0.85","0.55","0.65","0.65","0.65","27","86.57","-","172000","6000","276.25"
"ONGC","07-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","3.15","0","0","-","0","0","276.25"
"ONGC","07-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","6.2","0","0","-","0","0","276.25"
"ONGC","08-Jan-2014","30-Jan-2014","CE","320","0.6","0.6","0.35","0.4","0.35","0.4","38","121.77","-","169000","-3000","273.2"
"ONGC","08-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","2.4","0","0","-","0","0","273.2"
"ONGC","08-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","5.1","0","0","-","0","0","273.2"
"ONGC","09-Jan-2014","30-Jan-2014","CE","320","0.45","0.5","0.4","0.4","0.4","0.4","26","83.31","-","162000","-7000","280.3"
"ONGC","09-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","3.75","0","0","-","0","0","280.3"
"ONGC","09-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","7.15","0","0","-","0","0","280.3"
"ONGC","10-Jan-2014","30-Jan-2014","CE","320","0.35","0.6","0.25","0.4","0.4","0.4","28","89.74","-","158000","-4000","284.05"
"ONGC","10-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","4.25","0","0","-","0","0","284.05"
"ONGC","10-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","7.9","0","0","-","0","0","284.05"
"ONGC","13-Jan-2014","30-Jan-2014","CE","320","0.7","0.9","0.6","0.7","0.7","0.7","62","198.83","-","158000","0","292.9"
"ONGC","13-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","6.65","0","0","-","0","0","292.9"
"ONGC","13-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","11.25","0","0","-","0","0","292.9"
"ONGC","14-Jan-2014","30-Jan-2014","CE","320","0.55","0.65","0.5","0.55","0.6","0.55","58","185.93","-","165000","7000","290.25"
"ONGC","14-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","5.45","0","0","-","0","0","290.25"
"ONGC","14-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","9.75","0","0","-","0","0","290.25"
"ONGC","15-Jan-2014","30-Jan-2014","CE","320","0.5","0.7","0.5","0.55","0.55","0.55","40","128.23","-","167000","2000","291.8"
"ONGC","15-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","5.4","0","0","-","0","0","291.8"
"ONGC","15-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","9.65","0","0","-","0","0","291.8"
"ONGC","16-Jan-2014","30-Jan-2014","CE","320","0.5","0.5","0.3","0.4","0.3","0.4","32","102.52","-","157000","-10000","-"
"ONGC","16-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","4","0","0","-","0","0","-"
"ONGC","16-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","7.9","0","0","-","0","0","-"
"ONGC","17-Jan-2014","30-Jan-2014","CE","320","0.5","0.5","0.3","0.35","0.3","0.35","42","134.57","-","152000","-5000","287.5"
"ONGC","17-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","3.7","0","0","-","0","0","287.5"
"ONGC","17-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","7.45","0","0","-","0","0","287.5"
"ONGC","20-Jan-2014","30-Jan-2014","CE","320","0.25","0.25","0.15","0.15","0.15","0.15","8","25.62","-","148000","-4000","287.15"
"ONGC","20-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","2.95","0","0","-","0","0","287.15"
"ONGC","20-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","6.55","0","0","-","0","0","287.15"
"ONGC","21-Jan-2014","30-Jan-2014","CE","320","0.2","0.2","0.15","0.15","0.15","0.15","12","38.42","-","137000","-11000","287"
"ONGC","21-Jan-2014","26-Feb-2014","CE","320","0","0","0","12.55","0","2.6","0","0","-","0","0","287"
"ONGC","21-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","5.95","0","0","-","0","0","287"
"ONGC","22-Jan-2014","30-Jan-2014","CE","320","0.1","0.15","0.1","0.15","0.15","0.15","15","48.02","-","145000","8000","289.8"
"ONGC","22-Jan-2014","26-Feb-2014","CE","320","0.05","0.05","0.05","0.05","0.05","0.05","1","3.2","-","1000","1000","289.8"
"ONGC","22-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","6.35","0","0","-","0","0","289.8"
"ONGC","23-Jan-2014","30-Jan-2014","CE","320","0.1","0.15","0.1","0.15","0.15","0.15","5","16.01","-","140000","-5000","285.1"
"ONGC","23-Jan-2014","26-Feb-2014","CE","320","0.6","0.6","0.6","0.6","0.6","0.6","1","3.21","-","2000","1000","285.1"
"ONGC","23-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","5","0","0","-","0","0","285.1"
"ONGC","24-Jan-2014","30-Jan-2014","CE","320","0.1","0.1","0.1","0.1","0.1","0.1","1","3.2","-","139000","-1000","283.2"
"ONGC","24-Jan-2014","26-Feb-2014","CE","320","0","0","0","0.6","0.6","1.45","0","0","-","2000","0","283.2"
"ONGC","24-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","4.2","0","0","-","0","0","283.2"
"ONGC","27-Jan-2014","30-Jan-2014","CE","320","0.05","0.1","0.05","0.05","0.05","0.05","7","22.41","-","135000","-4000","277"
"ONGC","27-Jan-2014","26-Feb-2014","CE","320","0","0","0","0.6","0.6","0.75","0","0","-","2000","0","277"
"ONGC","27-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","2.95","0","0","-","0","0","277"
"ONGC","28-Jan-2014","30-Jan-2014","CE","320","0.05","0.05","0.05","0.05","0.05","0.05","8","25.6","-","133000","-2000","275.25"
"ONGC","28-Jan-2014","26-Feb-2014","CE","320","0","0","0","0.6","0.6","0.55","0","0","-","2000","0","275.25"
"ONGC","28-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","2.4","0","0","-","0","0","275.25"
"ONGC","29-Jan-2014","30-Jan-2014","CE","320","0.05","0.1","0.05","0.1","0.1","0.1","4","12.8","-","129000","-4000","277"
"ONGC","29-Jan-2014","26-Feb-2014","CE","320","0","0","0","0.6","0.6","0.5","0","0","-","2000","0","277"
"ONGC","29-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","2.4","0","0","-","0","0","277"
"ONGC","30-Jan-2014","30-Jan-2014","CE","320","0","0","0","0.1","0.1","0","0","0","-","129000","0","272.2"
"ONGC","30-Jan-2014","26-Feb-2014","CE","320","0","0","0","0.6","0.6","0.3","0","0","-","2000","0","272.2"
"ONGC","30-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","1.75","0","0","-","0","0","272.2"
"ONGC","31-Jan-2014","26-Feb-2014","CE","320","0","0","0","0.6","0.6","0.35","0","0","-","2000","0","275.55"
"ONGC","31-Jan-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","2","0","0","-","0","0","275.55"
"ONGC","31-Jan-2014","24-Apr-2014","CE","320","0","0","0","3.7","0","4.15","0","0","-","0","0","275.55"
"ONGC","03-Feb-2014","26-Feb-2014","CE","320","0.1","0.1","0.1","0.1","0.1","0.1","2","6.4","-","2000","0","267.8"
"ONGC","03-Feb-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","1.35","0","0","-","0","0","267.8"
"ONGC","03-Feb-2014","24-Apr-2014","CE","320","0","0","0","3.7","0","3.2","0","0","-","0","0","267.8"
"ONGC","04-Feb-2014","26-Feb-2014","CE","320","0","0","0","0.1","0.1","0.1","0","0","-","2000","0","268"
"ONGC","04-Feb-2014","27-Mar-2014","CE","320","0","0","0","14.8","0","1.2","0","0","-","0","0","268"
"ONGC","04-Feb-2014","24-Apr-2014","CE","320","0","0","0","3.7","0","2.9","0","0","-","0","0","268"
