"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"RELIANCE","01-Jan-2014","30-Jan-2014","CE","980","2.05","3.05","2.05","2.35","2.3","2.35","70","171.99","-","114750","-7750","888.8"
"RELIANCE","01-Jan-2014","26-Feb-2014","CE","980","0","0","0","10.15","0","12.9","0","0","-","0","0","888.8"
"RELIANCE","01-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","22","0","0","-","0","0","888.8"
"RELIANCE","02-Jan-2014","30-Jan-2014","CE","980","2.5","2.95","1.5","1.8","1.75","1.8","207","508.34","-","122000","7250","875"
"RELIANCE","02-Jan-2014","26-Feb-2014","CE","980","4.2","4.2","4.15","4.15","4.15","4.15","4","9.84","-","1000","1000","875"
"RELIANCE","02-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","17.95","0","0","-","0","0","875"
"RELIANCE","03-Jan-2014","30-Jan-2014","CE","980","1.85","1.85","1.4","1.7","1.7","1.7","95","233.12","-","114000","-8000","864.25"
"RELIANCE","03-Jan-2014","26-Feb-2014","CE","980","0","0","0","4.15","4.15","7.4","0","0","-","1000","0","864.25"
"RELIANCE","03-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","14.65","0","0","-","0","0","864.25"
"RELIANCE","06-Jan-2014","30-Jan-2014","CE","980","1.4","1.4","1.3","1.35","1.35","1.35","8","19.63","-","114750","750","854.95"
"RELIANCE","06-Jan-2014","26-Feb-2014","CE","980","0","0","0","4.15","4.15","5.15","0","0","-","1000","0","854.95"
"RELIANCE","06-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","11.5","0","0","-","0","0","854.95"
"RELIANCE","07-Jan-2014","30-Jan-2014","CE","980","1.15","1.3","1","1.1","1","1.1","60","147.16","-","114750","0","842.1"
"RELIANCE","07-Jan-2014","26-Feb-2014","CE","980","0","0","0","4.15","4.15","3.65","0","0","-","1000","0","842.1"
"RELIANCE","07-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","9.05","0","0","-","0","0","842.1"
"RELIANCE","08-Jan-2014","30-Jan-2014","CE","980","1.1","1.3","0.85","1","1","1","13","31.88","-","115500","750","849.05"
"RELIANCE","08-Jan-2014","26-Feb-2014","CE","980","0","0","0","4.15","4.15","3.85","0","0","-","1000","0","849.05"
"RELIANCE","08-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","9.45","0","0","-","0","0","849.05"
"RELIANCE","09-Jan-2014","30-Jan-2014","CE","980","1.15","1.15","0.85","0.85","0.85","0.85","7","17.17","-","115250","-250","850.7"
"RELIANCE","09-Jan-2014","26-Feb-2014","CE","980","0","0","0","4.15","4.15","3.4","0","0","-","1000","0","850.7"
"RELIANCE","09-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","8.75","0","0","-","0","0","850.7"
"RELIANCE","10-Jan-2014","30-Jan-2014","CE","980","0.8","1.3","0.8","0.9","0.9","0.9","42","103.01","-","116750","1500","858.15"
"RELIANCE","10-Jan-2014","26-Feb-2014","CE","980","0","0","0","4.15","4.15","3.75","0","0","-","1000","0","858.15"
"RELIANCE","10-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","9.4","0","0","-","0","0","858.15"
"RELIANCE","13-Jan-2014","30-Jan-2014","CE","980","1.45","1.45","1","1.3","1.3","1.3","20","49.06","-","117750","1000","880.4"
"RELIANCE","13-Jan-2014","26-Feb-2014","CE","980","8.4","8.4","8.4","8.4","8.4","8.4","1","2.47","-","1000","0","880.4"
"RELIANCE","13-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","15.8","0","0","-","0","0","880.4"
"RELIANCE","14-Jan-2014","30-Jan-2014","CE","980","1.2","1.25","1.2","1.25","1.25","1.25","3","7.36","-","118000","250","881.5"
"RELIANCE","14-Jan-2014","26-Feb-2014","CE","980","7","7","7","7","7","7","1","2.47","-","1000","0","881.5"
"RELIANCE","14-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","14.7","0","0","-","0","0","881.5"
"RELIANCE","15-Jan-2014","30-Jan-2014","CE","980","1.35","1.55","1.1","1.1","1.1","1.1","48","117.76","-","120500","2500","885.45"
"RELIANCE","15-Jan-2014","26-Feb-2014","CE","980","5","5.05","4.5","4.85","4.5","4.85","11","27.08","-","3500","2500","885.45"
"RELIANCE","15-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","14.5","0","0","-","0","0","885.45"
"RELIANCE","16-Jan-2014","30-Jan-2014","CE","980","1","1.4","1","1","1","1","17","41.7","-","121500","1000","-"
"RELIANCE","16-Jan-2014","26-Feb-2014","CE","980","5","5.5","5","5","5","5","3","7.39","-","3750","250","-"
"RELIANCE","16-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","13.45","0","0","-","0","0","-"
"RELIANCE","17-Jan-2014","30-Jan-2014","CE","980","1.35","1.35","0.8","0.8","0.8","0.8","30","73.58","-","120500","-1000","884.75"
"RELIANCE","17-Jan-2014","26-Feb-2014","CE","980","0","0","0","5","5","4.85","0","0","-","3750","0","884.75"
"RELIANCE","17-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","11.95","0","0","-","0","0","884.75"
"RELIANCE","20-Jan-2014","30-Jan-2014","CE","980","0.45","0.6","0.35","0.45","0.45","0.45","14","34.32","-","119000","-1500","869.75"
"RELIANCE","20-Jan-2014","26-Feb-2014","CE","980","0","0","0","5","5","2.85","0","0","-","3750","0","869.75"
"RELIANCE","20-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","8.75","0","0","-","0","0","869.75"
"RELIANCE","21-Jan-2014","30-Jan-2014","CE","980","0.35","0.35","0.35","0.35","0.35","0.35","1","2.45","-","118750","-250","863.05"
"RELIANCE","21-Jan-2014","26-Feb-2014","CE","980","1.5","1.5","1.5","1.5","1.5","1.5","1","2.45","-","3750","0","863.05"
"RELIANCE","21-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","6.95","0","0","-","0","0","863.05"
"RELIANCE","22-Jan-2014","30-Jan-2014","CE","980","0.25","0.3","0.2","0.3","0.3","0.3","5","12.25","-","117750","-1000","872.45"
"RELIANCE","22-Jan-2014","26-Feb-2014","CE","980","2.7","2.7","2.7","2.7","2.7","2.7","1","2.46","-","3750","0","872.45"
"RELIANCE","22-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","8.05","0","0","-","0","0","872.45"
"RELIANCE","23-Jan-2014","30-Jan-2014","CE","980","0","0","0","0.3","0.3","0","0","0","-","117750","0","865.8"
"RELIANCE","23-Jan-2014","26-Feb-2014","CE","980","0","0","0","2.7","2.7","1.65","0","0","-","3750","0","865.8"
"RELIANCE","23-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","6.4","0","0","-","0","0","865.8"
"RELIANCE","24-Jan-2014","30-Jan-2014","CE","980","2.5","2.5","0.2","0.25","0.25","0.25","29","71.07","-","116250","-1500","867.65"
"RELIANCE","24-Jan-2014","26-Feb-2014","CE","980","0","0","0","2.7","2.7","1.4","0","0","-","3750","0","867.65"
"RELIANCE","24-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","5.9","0","0","-","0","0","867.65"
"RELIANCE","27-Jan-2014","30-Jan-2014","CE","980","0.15","0.25","0.15","0.25","0.15","0.25","35","85.77","-","117750","1500","843.15"
"RELIANCE","27-Jan-2014","26-Feb-2014","CE","980","0","0","0","2.7","2.7","0.75","0","0","-","3750","0","843.15"
"RELIANCE","27-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","4.45","0","0","-","0","0","843.15"
"RELIANCE","28-Jan-2014","30-Jan-2014","CE","980","0.15","0.15","0.1","0.1","0.1","0.1","87","213.18","-","117750","0","844.85"
"RELIANCE","28-Jan-2014","26-Feb-2014","CE","980","0","0","0","2.7","2.7","0.6","0","0","-","3750","0","844.85"
"RELIANCE","28-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","4","0","0","-","0","0","844.85"
"RELIANCE","29-Jan-2014","30-Jan-2014","CE","980","0.1","0.1","0.05","0.05","0.05","0.05","5","12.25","-","116750","-1000","836.6"
"RELIANCE","29-Jan-2014","26-Feb-2014","CE","980","0","0","0","2.7","2.7","0.35","0","0","-","3750","0","836.6"
"RELIANCE","29-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","2.95","0","0","-","0","0","836.6"
"RELIANCE","30-Jan-2014","30-Jan-2014","CE","980","0.05","0.05","0.05","0.05","0.05","0","25","61.25","-","116500","-250","825"
"RELIANCE","30-Jan-2014","26-Feb-2014","CE","980","0","0","0","2.7","2.7","0.2","0","0","-","3750","0","825"
"RELIANCE","30-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","2.05","0","0","-","0","0","825"
"RELIANCE","31-Jan-2014","26-Feb-2014","CE","980","0.5","0.5","0.5","0.5","0.5","0.5","10","24.51","-","6250","2500","831.15"
"RELIANCE","31-Jan-2014","27-Mar-2014","CE","980","0","0","0","27.25","0","2.15","0","0","-","0","0","831.15"
"RELIANCE","31-Jan-2014","24-Apr-2014","CE","980","0","0","0","5.45","0","5.65","0","0","-","0","0","831.15"
"RELIANCE","03-Feb-2014","26-Feb-2014","CE","980","0","0","0","0.5","0.5","0.05","0","0","-","6250","0","820.9"
