"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"RELIANCE","01-Jan-2014","30-Jan-2014","CE","900","24.75","25.1","20.85","21.2","21.4","21.2","1705","3933.52","-","661000","53500","888.8"
"RELIANCE","01-Jan-2014","26-Feb-2014","CE","900","35.2","35.2","34.6","34.6","34.6","34.6","4","9.35","-","4000","750","888.8"
"RELIANCE","01-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","51.35","0","0","-","0","0","888.8"
"RELIANCE","02-Jan-2014","30-Jan-2014","CE","900","21.6","24.2","13","14.95","14.4","14.95","4959","11387.32","-","906000","245000","875"
"RELIANCE","02-Jan-2014","26-Feb-2014","CE","900","32.6","32.6","27","27.05","27.05","27.05","10","23.25","-","4750","750","875"
"RELIANCE","02-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","43.9","0","0","-","0","0","875"
"RELIANCE","03-Jan-2014","30-Jan-2014","CE","900","13.1","14.8","9.25","11.7","11.85","11.7","4221","9620.18","-","1044000","138000","864.25"
"RELIANCE","03-Jan-2014","26-Feb-2014","CE","900","26","26","18.85","21","21","21","38","87.52","-","11750","7000","864.25"
"RELIANCE","03-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","37.9","0","0","-","0","0","864.25"
"RELIANCE","06-Jan-2014","30-Jan-2014","CE","900","12.25","12.25","8.15","9","9","9","2266","5149.6","-","1167000","123000","854.95"
"RELIANCE","06-Jan-2014","26-Feb-2014","CE","900","19","19.5","18","18.05","18","18.05","26","59.72","-","17500","5750","854.95"
"RELIANCE","06-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","32.1","0","0","-","0","0","854.95"
"RELIANCE","07-Jan-2014","30-Jan-2014","CE","900","10.45","10.45","6.1","6.5","6.5","6.5","3098","7026.61","-","1354500","187500","842.1"
"RELIANCE","07-Jan-2014","26-Feb-2014","CE","900","17.2","17.7","14.75","15.1","15.1","15.1","154","352.64","-","29000","11500","842.1"
"RELIANCE","07-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","26.7","0","0","-","0","0","842.1"
"RELIANCE","08-Jan-2014","30-Jan-2014","CE","900","6.6","7.9","5.85","6.3","6","6.3","2766","6271.97","-","1284250","-70250","849.05"
"RELIANCE","08-Jan-2014","26-Feb-2014","CE","900","16.9","16.9","13.5","14.05","13.5","14.05","43","98.34","-","34000","5000","849.05"
"RELIANCE","08-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","28.25","0","0","-","0","0","849.05"
"RELIANCE","09-Jan-2014","30-Jan-2014","CE","900","6.5","6.9","5.55","6.3","6.7","6.3","1750","3964.76","-","1256500","-27750","850.7"
"RELIANCE","09-Jan-2014","26-Feb-2014","CE","900","13.45","15.25","13.45","14.75","14.75","14.75","191","436.5","-","63500","29500","850.7"
"RELIANCE","09-Jan-2014","27-Mar-2014","CE","900","0","0","0","57.15","0","27.4","0","0","-","0","0","850.7"
"RELIANCE","10-Jan-2014","30-Jan-2014","CE","900","6.75","11","6","7.2","7.05","7.2","7159","16261.09","-","1546750","290250","858.15"
