"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"RELIANCE","01-Jan-2014","30-Jan-2014","PE","940","48","48","46","46","46","46","2","4.94","-","3250","250","888.8"
"RELIANCE","01-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","61.6","0","0","-","0","0","888.8"
"RELIANCE","01-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","65.95","0","0","-","0","0","888.8"
"RELIANCE","02-Jan-2014","30-Jan-2014","PE","940","50.7","61.1","50.7","61.1","61.1","61.1","3","7.48","-","3500","250","875"
"RELIANCE","02-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","70.65","0","0","-","0","0","875"
"RELIANCE","02-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","74.3","0","0","-","0","0","875"
"RELIANCE","03-Jan-2014","30-Jan-2014","PE","940","66.5","66.5","66.5","66.5","66.5","66.5","2","5.03","-","3000","-500","864.25"
"RELIANCE","03-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","77.85","0","0","-","0","0","864.25"
"RELIANCE","03-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","80.7","0","0","-","0","0","864.25"
"RELIANCE","06-Jan-2014","30-Jan-2014","PE","940","0","0","0","66.5","66.5","82.8","0","0","-","3000","0","854.95"
"RELIANCE","06-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","84.15","0","0","-","0","0","854.95"
"RELIANCE","06-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","86.25","0","0","-","0","0","854.95"
"RELIANCE","07-Jan-2014","30-Jan-2014","PE","940","0","0","0","66.5","66.5","94.55","0","0","-","3000","0","842.1"
"RELIANCE","07-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","94.45","0","0","-","0","0","842.1"
"RELIANCE","07-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","95.6","0","0","-","0","0","842.1"
"RELIANCE","08-Jan-2014","30-Jan-2014","PE","940","0","0","0","66.5","66.5","87.95","0","0","-","3000","0","849.05"
"RELIANCE","08-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","88.2","0","0","-","0","0","849.05"
"RELIANCE","08-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","89.65","0","0","-","0","0","849.05"
"RELIANCE","09-Jan-2014","30-Jan-2014","PE","940","0","0","0","66.5","66.5","86.15","0","0","-","3000","0","850.7"
"RELIANCE","09-Jan-2014","26-Feb-2014","PE","940","0","0","0","88.4","0","86.15","0","0","-","0","0","850.7"
"RELIANCE","09-Jan-2014","27-Mar-2014","PE","940","0","0","0","71.5","0","87.3","0","0","-","0","0","850.7"
