"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"RELIANCE","01-Jan-2014","30-Jan-2014","PE","900","21.85","23.5","20","23.05","23.3","23.05","1043","2404.65","-","241750","-16250","888.8"
"RELIANCE","01-Jan-2014","26-Feb-2014","PE","900","29","29","28.45","28.45","28.45","28.45","2","4.64","-","6500","0","888.8"
"RELIANCE","01-Jan-2014","27-Mar-2014","PE","900","0","0","0","49.45","0","43.8","0","0","-","0","0","888.8"
"RELIANCE","02-Jan-2014","30-Jan-2014","PE","900","21.15","36.2","20.2","33.65","35","33.65","1691","3919.79","-","211750","-30000","875"
"RELIANCE","02-Jan-2014","26-Feb-2014","PE","900","29.55","35.35","29.55","35.35","35.35","35.35","3","6.99","-","6500","0","875"
"RELIANCE","02-Jan-2014","27-Mar-2014","PE","900","0","0","0","49.45","0","50.35","0","0","-","0","0","875"
"RELIANCE","03-Jan-2014","30-Jan-2014","PE","900","38","46.65","34.75","38.55","38.7","38.55","424","995.79","-","203000","-8750","864.25"
"RELIANCE","03-Jan-2014","26-Feb-2014","PE","900","41","48.95","41","48.95","48.95","48.95","5","11.81","-","6000","-500","864.25"
"RELIANCE","03-Jan-2014","27-Mar-2014","PE","900","0","0","0","49.45","0","55.3","0","0","-","0","0","864.25"
"RELIANCE","06-Jan-2014","30-Jan-2014","PE","900","44","49","42.4","46.15","46.2","46.15","115","272.13","-","202000","-1000","854.95"
"RELIANCE","06-Jan-2014","26-Feb-2014","PE","900","41.1","52.05","41.1","51","51","51","4","9.49","-","6000","0","854.95"
"RELIANCE","06-Jan-2014","27-Mar-2014","PE","900","0","0","0","49.45","0","59.45","0","0","-","0","0","854.95"
"RELIANCE","07-Jan-2014","30-Jan-2014","PE","900","45","58.25","43","57.4","57.3","57.4","156","371.46","-","200750","-1250","842.1"
"RELIANCE","07-Jan-2014","26-Feb-2014","PE","900","0","0","0","51","51","63.35","0","0","-","6000","0","842.1"
"RELIANCE","07-Jan-2014","27-Mar-2014","PE","900","0","0","0","49.45","0","67.1","0","0","-","0","0","842.1"
"RELIANCE","08-Jan-2014","30-Jan-2014","PE","900","54.1","54.9","45","51.05","52.75","51.05","59","140.14","-","196750","-4000","849.05"
"RELIANCE","08-Jan-2014","26-Feb-2014","PE","900","52.85","52.85","52.35","52.35","52.35","52.35","4","9.53","-","5000","-1000","849.05"
"RELIANCE","08-Jan-2014","27-Mar-2014","PE","900","0","0","0","49.45","0","61.85","0","0","-","0","0","849.05"
"RELIANCE","09-Jan-2014","30-Jan-2014","PE","900","51","54","49.55","51.35","49.55","51.35","34","80.89","-","192500","-4250","850.7"
"RELIANCE","09-Jan-2014","26-Feb-2014","PE","900","53.6","53.6","53.6","53.6","53.6","53.6","1","2.38","-","4750","-250","850.7"
