"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"TATAMOTORS","03-Mar-2014","27-Mar-2014","CE","500","0","0","0","1.55","0","0.4","0","0","-","0","0","410.7"
"TATAMOTORS","03-Mar-2014","24-Apr-2014","CE","500","0","0","0","2.65","0","3.05","0","0","-","0","0","410.7"
"TATAMOTORS","03-Mar-2014","29-May-2014","CE","500","0","0","0","5","0","7.65","0","0","-","0","0","410.7"
"TATAMOTORS","04-Mar-2014","27-Mar-2014","CE","500","0","0","0","1.55","0","0.35","0","0","-","0","0","412.9"
"TATAMOTORS","04-Mar-2014","24-Apr-2014","CE","500","0","0","0","2.65","0","2.85","0","0","-","0","0","412.9"
"TATAMOTORS","04-Mar-2014","29-May-2014","CE","500","0","0","0","5","0","7.45","0","0","-","0","0","412.9"
"TATAMOTORS","05-Mar-2014","27-Mar-2014","CE","500","0","0","0","1.55","0","0.2","0","0","-","0","0","409.6"
"TATAMOTORS","05-Mar-2014","24-Apr-2014","CE","500","0","0","0","2.65","0","2.2","0","0","-","0","0","409.6"
"TATAMOTORS","05-Mar-2014","29-May-2014","CE","500","0","0","0","5","0","6.2","0","0","-","0","0","409.6"
"TATAMOTORS","06-Mar-2014","27-Mar-2014","CE","500","0","0","0","1.55","0","0.15","0","0","-","0","0","408.45"
"TATAMOTORS","06-Mar-2014","24-Apr-2014","CE","500","0","0","0","2.65","0","1.75","0","0","-","0","0","408.45"
"TATAMOTORS","06-Mar-2014","29-May-2014","CE","500","0","0","0","5","0","5.35","0","0","-","0","0","408.45"
"TATAMOTORS","07-Mar-2014","27-Mar-2014","CE","500","0","0","0","1.55","0","0.1","0","0","-","0","0","409.1"
"TATAMOTORS","07-Mar-2014","24-Apr-2014","CE","500","0","0","0","2.65","0","1.5","0","0","-","0","0","409.1"
