"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"TATAMOTORS","01-Jan-2014","30-Jan-2014","CE","400","4.85","5.75","4.7","4.85","4.9","4.85","258","1045.47","-","671000","-16000","374.95"
"TATAMOTORS","01-Jan-2014","26-Feb-2014","CE","400","0","0","0","11.3","15","10.1","0","0","-","50000","0","374.95"
"TATAMOTORS","01-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","15","0","0","-","0","0","374.95"
"TATAMOTORS","02-Jan-2014","30-Jan-2014","CE","400","4.15","5.2","3.45","4","3.8","4","660","2668.84","-","717000","46000","372.35"
"TATAMOTORS","02-Jan-2014","26-Feb-2014","CE","400","11","11.95","9.8","10.2","10","10.2","95","390.25","-","127000","77000","372.35"
"TATAMOTORS","02-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","13.3","0","0","-","0","0","372.35"
"TATAMOTORS","03-Jan-2014","30-Jan-2014","CE","400","2.7","3.1","2.15","2.45","2.5","2.45","713","2870.21","-","896000","179000","362.7"
"TATAMOTORS","03-Jan-2014","26-Feb-2014","CE","400","8.95","8.95","7.95","8","8","8","4","16.33","-","127000","0","362.7"
"TATAMOTORS","03-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","10.8","0","0","-","0","0","362.7"
"TATAMOTORS","06-Jan-2014","30-Jan-2014","CE","400","2.75","3.35","2.45","2.65","2.6","2.65","424","1708.42","-","909000","13000","366.95"
"TATAMOTORS","06-Jan-2014","26-Feb-2014","CE","400","9","9","9","9","9","9","1","4.09","-","127000","0","366.95"
"TATAMOTORS","06-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","11.5","0","0","-","0","0","366.95"
"TATAMOTORS","07-Jan-2014","30-Jan-2014","CE","400","2.95","3.05","2.2","2.35","2.35","2.35","359","1445.15","-","912000","3000","365.1"
"TATAMOTORS","07-Jan-2014","26-Feb-2014","CE","400","0","0","0","9","9","5.9","0","0","-","127000","0","365.1"
"TATAMOTORS","07-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","10.2","0","0","-","0","0","365.1"
"TATAMOTORS","08-Jan-2014","30-Jan-2014","CE","400","2.35","2.85","2.3","2.6","2.6","2.6","295","1187.58","-","924000","12000","370.25"
"TATAMOTORS","08-Jan-2014","26-Feb-2014","CE","400","0","0","0","9","9","7.05","0","0","-","127000","0","370.25"
"TATAMOTORS","08-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","11.7","0","0","-","0","0","370.25"
"TATAMOTORS","09-Jan-2014","30-Jan-2014","CE","400","2.6","2.65","1.65","1.95","1.9","1.95","298","1198","-","937000","13000","367.95"
"TATAMOTORS","09-Jan-2014","26-Feb-2014","CE","400","0","0","0","9","9","5.95","0","0","-","127000","0","367.95"
"TATAMOTORS","09-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","10.3","0","0","-","0","0","367.95"
"TATAMOTORS","10-Jan-2014","30-Jan-2014","CE","400","1.7","2.1","1.4","1.5","1.45","1.5","253","1016.42","-","932000","-5000","367"
"TATAMOTORS","10-Jan-2014","26-Feb-2014","CE","400","6.7","6.7","6.5","6.5","6.5","6.5","2","8.13","-","128000","1000","367"
"TATAMOTORS","10-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","9.3","0","0","-","0","0","367"
"TATAMOTORS","13-Jan-2014","30-Jan-2014","CE","400","2.2","3.4","1.75","2.8","2.8","2.8","753","3032.49","-","887000","-45000","376.15"
"TATAMOTORS","13-Jan-2014","26-Feb-2014","CE","400","8","9.9","8","8.4","8.4","8.4","6","24.54","-","132000","4000","376.15"
"TATAMOTORS","13-Jan-2014","27-Mar-2014","CE","400","0","0","0","16.65","0","13.1","0","0","-","0","0","376.15"
"TATAMOTORS","14-Jan-2014","30-Jan-2014","CE","400","2.3","2.4","1.6","1.85","1.9","1.85","526","2114.24","-","919000","32000","371.8"
