"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"TATAMOTORS","01-Jan-2014","30-Jan-2014","PE","400","24.65","25.5","24.5","24.5","24.5","24.5","6","25.49","-","37000","0","374.95"
"TATAMOTORS","01-Jan-2014","26-Feb-2014","PE","400","0","0","0","32","32","29.65","0","0","-","16000","0","374.95"
"TATAMOTORS","01-Jan-2014","27-Mar-2014","PE","400","0","0","0","37.4","0","31.75","0","0","-","0","0","374.95"
"TATAMOTORS","02-Jan-2014","30-Jan-2014","PE","400","26.05","30","26.05","30","30","30","7","29.96","-","36000","-1000","372.35"
"TATAMOTORS","02-Jan-2014","26-Feb-2014","PE","400","0","0","0","32","32","30.9","0","0","-","16000","0","372.35"
"TATAMOTORS","02-Jan-2014","27-Mar-2014","PE","400","0","0","0","37.4","0","32.7","0","0","-","0","0","372.35"
"TATAMOTORS","03-Jan-2014","30-Jan-2014","PE","400","35.9","35.9","35.9","35.9","35.9","35.9","1","4.36","-","36000","0","362.7"
"TATAMOTORS","03-Jan-2014","26-Feb-2014","PE","400","40","40","40","40","40","40","2","8.8","-","18000","2000","362.7"
"TATAMOTORS","03-Jan-2014","27-Mar-2014","PE","400","0","0","0","37.4","0","39.95","0","0","-","0","0","362.7"
"TATAMOTORS","06-Jan-2014","30-Jan-2014","PE","400","0","0","0","35.9","35.9","33.2","0","0","-","36000","0","366.95"
"TATAMOTORS","06-Jan-2014","26-Feb-2014","PE","400","0","0","0","40","40","34.95","0","0","-","18000","0","366.95"
"TATAMOTORS","06-Jan-2014","27-Mar-2014","PE","400","0","0","0","37.4","0","36.65","0","0","-","0","0","366.95"
"TATAMOTORS","07-Jan-2014","30-Jan-2014","PE","400","0","0","0","35.9","35.9","34.55","0","0","-","36000","0","365.1"
"TATAMOTORS","07-Jan-2014","26-Feb-2014","PE","400","0","0","0","40","40","35.9","0","0","-","18000","0","365.1"
"TATAMOTORS","07-Jan-2014","27-Mar-2014","PE","400","0","0","0","37.4","0","37.3","0","0","-","0","0","365.1"
