"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ULTRACEMCO","08-Aug-2016","25-Aug-2016","CE","4300","0","0","0","7.6","0","1.9","0","0","0","0","0","3780.25"
"ULTRACEMCO","08-Aug-2016","29-Sep-2016","CE","4300","0","0","0","13.95","0","29.2","0","0","0","0","0","3780.25"
"ULTRACEMCO","08-Aug-2016","27-Oct-2016","CE","4300","0","0","0","26.15","0","58.35","0","0","0","0","0","3780.25"
"ULTRACEMCO","09-Aug-2016","25-Aug-2016","CE","4300","0","0","0","7.6","0","1.7","0","0","0","0","0","3801.95"
"ULTRACEMCO","09-Aug-2016","29-Sep-2016","CE","4300","0","0","0","13.95","0","29","0","0","0","0","0","3801.95"
"ULTRACEMCO","09-Aug-2016","27-Oct-2016","CE","4300","0","0","0","26.15","0","58.2","0","0","0","0","0","3801.95"
"ULTRACEMCO","10-Aug-2016","25-Aug-2016","CE","4300","0","0","0","7.6","0","0.6","0","0","0","0","0","3728.95"
"ULTRACEMCO","10-Aug-2016","29-Sep-2016","CE","4300","0","0","0","13.95","0","20.5","0","0","0","0","0","3728.95"
"ULTRACEMCO","10-Aug-2016","27-Oct-2016","CE","4300","0","0","0","26.15","0","45.7","0","0","0","0","0","3728.95"
"ULTRACEMCO","11-Aug-2016","25-Aug-2016","CE","4300","0","0","0","7.6","0","0.25","0","0","0","0","0","3706.65"
"ULTRACEMCO","11-Aug-2016","29-Sep-2016","CE","4300","0","0","0","13.95","0","15.7","0","0","0","0","0","3706.65"
"ULTRACEMCO","11-Aug-2016","27-Oct-2016","CE","4300","0","0","0","26.15","0","37.8","0","0","0","0","0","3706.65"
"ULTRACEMCO","12-Aug-2016","25-Aug-2016","CE","4300","0","0","0","7.6","0","0.2","0","0","0","0","0","3722.1"
"ULTRACEMCO","12-Aug-2016","29-Sep-2016","CE","4300","0","0","0","13.95","0","14.7","0","0","0","0","0","3722.1"
"ULTRACEMCO","12-Aug-2016","27-Oct-2016","CE","4300","0","0","0","26.15","0","36.25","0","0","0","0","0","3722.1"
"ULTRACEMCO","16-Aug-2016","25-Aug-2016","CE","4300","0","0","0","7.6","0","0.05","0","0","0","0","0","3739.45"
"ULTRACEMCO","16-Aug-2016","29-Sep-2016","CE","4300","0","0","0","13.95","0","12.05","0","0","0","0","0","3739.45"
"ULTRACEMCO","16-Aug-2016","27-Oct-2016","CE","4300","0","0","0","26.15","0","32.75","0","0","0","0","0","3739.45"
