"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ULTRACEMCO","29-Jul-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","3.1","0","0","0","0","0","3718.2"
"ULTRACEMCO","29-Jul-2016","29-Sep-2016","CE","4200","0","0","0","20.2","0","23.1","0","0","0","0","0","3718.2"
"ULTRACEMCO","29-Jul-2016","27-Oct-2016","CE","4200","0","0","0","38.45","0","44.25","0","0","0","0","0","3718.2"
"ULTRACEMCO","01-Aug-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","3.15","0","0","0","0","0","3755.7"
"ULTRACEMCO","01-Aug-2016","29-Sep-2016","CE","4200","0","0","0","20.2","0","25.4","0","0","0","0","0","3755.7"
"ULTRACEMCO","01-Aug-2016","27-Oct-2016","CE","4200","0","0","0","38.45","0","48.35","0","0","0","0","0","3755.7"
"ULTRACEMCO","02-Aug-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","1.55","0","0","0","0","0","3676.7"
"ULTRACEMCO","02-Aug-2016","29-Sep-2016","CE","4200","0","0","0","20.2","0","18.9","0","0","0","0","0","3676.7"
"ULTRACEMCO","02-Aug-2016","27-Oct-2016","CE","4200","0","0","0","38.45","0","39.25","0","0","0","0","0","3676.7"
"ULTRACEMCO","03-Aug-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","0.95","0","0","0","0","0","3667.7"
"ULTRACEMCO","03-Aug-2016","29-Sep-2016","CE","4200","0","0","0","20.2","0","15.4","0","0","0","0","0","3667.7"
"ULTRACEMCO","03-Aug-2016","27-Oct-2016","CE","4200","0","0","0","38.45","0","33.8","0","0","0","0","0","3667.7"
"ULTRACEMCO","04-Aug-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","0.55","0","0","0","0","0","3656.55"
"ULTRACEMCO","04-Aug-2016","29-Sep-2016","CE","4200","0","0","0","20.2","0","12.25","0","0","0","0","0","3656.55"
"ULTRACEMCO","04-Aug-2016","27-Oct-2016","CE","4200","0","0","0","38.45","0","28.6","0","0","0","0","0","3656.55"
"ULTRACEMCO","05-Aug-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","10.35","0","0","0","0","0","3806.9"
"ULTRACEMCO","05-Aug-2016","29-Sep-2016","CE","4200","0","0","0","20.2","0","56.5","0","0","0","0","0","3806.9"
"ULTRACEMCO","05-Aug-2016","27-Oct-2016","CE","4200","0","0","0","38.45","0","94.1","0","0","0","0","0","3806.9"
"ULTRACEMCO","08-Aug-2016","25-Aug-2016","CE","4200","0","0","0","8.1","0","4.95","0","0","0","0","0","3780.25"
