"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ULTRACEMCO","22-Aug-2016","25-Aug-2016","PE","4400","0","0","0","958.85","0","532.15","0","0","0","0","0","3865.4"
"ULTRACEMCO","22-Aug-2016","29-Sep-2016","PE","4400","0","0","0","920.8","0","529.15","0","0","0","0","0","3865.4"
"ULTRACEMCO","22-Aug-2016","27-Oct-2016","PE","4400","0","0","0","663.05","0","542.95","0","0","0","0","0","3865.4"
"ULTRACEMCO","23-Aug-2016","25-Aug-2016","PE","4400","0","0","0","958.85","0","572.05","0","0","0","0","0","3826.3"
"ULTRACEMCO","23-Aug-2016","29-Sep-2016","PE","4400","0","0","0","920.8","0","561.75","0","0","0","0","0","3826.3"
"ULTRACEMCO","23-Aug-2016","27-Oct-2016","PE","4400","0","0","0","663.05","0","570.7","0","0","0","0","0","3826.3"
"ULTRACEMCO","24-Aug-2016","25-Aug-2016","PE","4400","0","0","0","958.85","0","586.9","0","0","0","0","0","3812.3"
"ULTRACEMCO","24-Aug-2016","29-Sep-2016","PE","4400","0","0","0","920.8","0","572.4","0","0","0","0","0","3812.3"
"ULTRACEMCO","24-Aug-2016","27-Oct-2016","PE","4400","0","0","0","663.05","0","577.95","0","0","0","0","0","3812.3"
"ULTRACEMCO","25-Aug-2016","25-Aug-2016","PE","4400","0","0","0","958.85","0","0","0","0","0","0","0","3789.5"
"ULTRACEMCO","25-Aug-2016","29-Sep-2016","PE","4400","0","0","0","920.8","0","591.95","0","0","0","0","0","3789.5"
"ULTRACEMCO","25-Aug-2016","27-Oct-2016","PE","4400","0","0","0","663.05","0","593.55","0","0","0","0","0","3789.5"
"ULTRACEMCO","26-Aug-2016","29-Sep-2016","PE","4400","0","0","0","920.8","0","577.65","0","0","0","0","0","3803.45"
"ULTRACEMCO","26-Aug-2016","27-Oct-2016","PE","4400","0","0","0","663.05","0","578.25","0","0","0","0","0","3803.45"
"ULTRACEMCO","26-Aug-2016","24-Nov-2016","PE","4400","0","0","0","599.25","0","583.1","0","0","0","0","0","3803.45"
"ULTRACEMCO","29-Aug-2016","29-Sep-2016","PE","4400","0","0","0","920.8","0","597.2","0","0","0","0","0","3782.5"
"ULTRACEMCO","29-Aug-2016","27-Oct-2016","PE","4400","0","0","0","663.05","0","593.55","0","0","0","0","0","3782.5"
