Symbol,Date,Expiry,Strike Price,Call Price,Put Price
RELIANCE,01-Jan-14,30-Jan-14,900,21.2,23.05
RELIANCE,01-Jan-14,26-Feb-14,900,34.6,28.45
RELIANCE,01-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,02-Jan-14,30-Jan-14,900,14.95,33.65
RELIANCE,02-Jan-14,26-Feb-14,900,27.05,35.35
RELIANCE,02-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,03-Jan-14,30-Jan-14,900,11.7,38.55
RELIANCE,03-Jan-14,26-Feb-14,900,21,48.95
RELIANCE,03-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,06-Jan-14,30-Jan-14,900,9,46.15
RELIANCE,06-Jan-14,26-Feb-14,900,18.05,51
RELIANCE,06-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,07-Jan-14,30-Jan-14,900,6.5,57.4
RELIANCE,07-Jan-14,26-Feb-14,900,15.1,51
RELIANCE,07-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,08-Jan-14,30-Jan-14,900,6.3,51.05
RELIANCE,08-Jan-14,26-Feb-14,900,14.05,52.35
RELIANCE,08-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,09-Jan-14,30-Jan-14,900,6.3,51.35
RELIANCE,09-Jan-14,26-Feb-14,900,14.75,53.6
RELIANCE,09-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,10-Jan-14,30-Jan-14,900,7.2,46.1
RELIANCE,10-Jan-14,26-Feb-14,900,15.6,36.55
RELIANCE,10-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,13-Jan-14,30-Jan-14,900,11.65,29.55
RELIANCE,13-Jan-14,26-Feb-14,900,22.3,38.1
RELIANCE,13-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,14-Jan-14,30-Jan-14,900,11.7,27.35
RELIANCE,14-Jan-14,26-Feb-14,900,22.9,32
RELIANCE,14-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,15-Jan-14,30-Jan-14,900,12.15,23.7
RELIANCE,15-Jan-14,26-Feb-14,900,24,29
RELIANCE,15-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,16-Jan-14,30-Jan-14,900,11.7,22.7
RELIANCE,16-Jan-14,26-Feb-14,900,23.45,29.5
RELIANCE,16-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,17-Jan-14,30-Jan-14,900,10.2,25.15
RELIANCE,17-Jan-14,26-Feb-14,900,20.5,30.9
RELIANCE,17-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,20-Jan-14,30-Jan-14,900,4.95,31.3
RELIANCE,20-Jan-14,26-Feb-14,900,16.2,34.4
RELIANCE,20-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,21-Jan-14,30-Jan-14,900,3.3,35.35
RELIANCE,21-Jan-14,26-Feb-14,900,13.85,40.8
RELIANCE,21-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,22-Jan-14,30-Jan-14,900,3.6,27.95
RELIANCE,22-Jan-14,26-Feb-14,900,15.45,34.2
RELIANCE,22-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,23-Jan-14,30-Jan-14,900,2.65,33.1
RELIANCE,23-Jan-14,26-Feb-14,900,13.15,39.5
RELIANCE,23-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,24-Jan-14,30-Jan-14,900,2.1,33.65
RELIANCE,24-Jan-14,26-Feb-14,900,12.4,39.5
RELIANCE,24-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,27-Jan-14,30-Jan-14,900,0.8,54.8
RELIANCE,27-Jan-14,26-Feb-14,900,7.4,53.8
RELIANCE,27-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,28-Jan-14,30-Jan-14,900,0.45,52.85
RELIANCE,28-Jan-14,26-Feb-14,900,6.9,52
RELIANCE,28-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,29-Jan-14,30-Jan-14,900,0.2,62.95
RELIANCE,29-Jan-14,26-Feb-14,900,5.5,59
RELIANCE,29-Jan-14,27-Mar-14,900,57.15,49.45
RELIANCE,30-Jan-14,30-Jan-14,900,0.05,76.05
RELIANCE,30-Jan-14,26-Feb-14,900,4,68.5
RELIANCE,30-Jan-14,27-Mar-14,900,57.15,49.45
