Symbol,Date,Expiry,Strike Price,Call Price,Put Price
TATAMOTORS,01-Jan-14,30-Jan-14,400,4.85,24.5
TATAMOTORS,01-Jan-14,26-Feb-14,400,11.3,32
TATAMOTORS,01-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,02-Jan-14,30-Jan-14,400,4,30
TATAMOTORS,02-Jan-14,26-Feb-14,400,10.2,32
TATAMOTORS,02-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,03-Jan-14,30-Jan-14,400,2.45,35.9
TATAMOTORS,03-Jan-14,26-Feb-14,400,8,40
TATAMOTORS,03-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,06-Jan-14,30-Jan-14,400,2.65,35.9
TATAMOTORS,06-Jan-14,26-Feb-14,400,9,40
TATAMOTORS,06-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,07-Jan-14,30-Jan-14,400,2.35,35.9
TATAMOTORS,07-Jan-14,26-Feb-14,400,9,40
TATAMOTORS,07-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,08-Jan-14,30-Jan-14,400,2.6,35.9
TATAMOTORS,08-Jan-14,26-Feb-14,400,9,40
TATAMOTORS,08-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,09-Jan-14,30-Jan-14,400,1.95,35.9
TATAMOTORS,09-Jan-14,26-Feb-14,400,9,40
TATAMOTORS,09-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,10-Jan-14,30-Jan-14,400,1.5,35.9
TATAMOTORS,10-Jan-14,26-Feb-14,400,6.5,40
TATAMOTORS,10-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,13-Jan-14,30-Jan-14,400,2.8,24.5
TATAMOTORS,13-Jan-14,26-Feb-14,400,8.4,30
TATAMOTORS,13-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,14-Jan-14,30-Jan-14,400,1.85,24.5
TATAMOTORS,14-Jan-14,26-Feb-14,400,7.85,30
TATAMOTORS,14-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,15-Jan-14,30-Jan-14,400,2.2,24.5
TATAMOTORS,15-Jan-14,26-Feb-14,400,8.45,30
TATAMOTORS,15-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,16-Jan-14,30-Jan-14,400,1.3,24.5
TATAMOTORS,16-Jan-14,26-Feb-14,400,6.45,30
TATAMOTORS,16-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,17-Jan-14,30-Jan-14,400,0.8,24.5
TATAMOTORS,17-Jan-14,26-Feb-14,400,5.25,30
TATAMOTORS,17-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,20-Jan-14,30-Jan-14,400,0.95,24.5
TATAMOTORS,20-Jan-14,26-Feb-14,400,6.4,30
TATAMOTORS,20-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,21-Jan-14,30-Jan-14,400,2.5,17.8
TATAMOTORS,21-Jan-14,26-Feb-14,400,9.75,20.45
TATAMOTORS,21-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,22-Jan-14,30-Jan-14,400,2.45,16
TATAMOTORS,22-Jan-14,26-Feb-14,400,10.25,21
TATAMOTORS,22-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,23-Jan-14,30-Jan-14,400,1.7,16.45
TATAMOTORS,23-Jan-14,26-Feb-14,400,8.75,22.5
TATAMOTORS,23-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,24-Jan-14,30-Jan-14,400,0.5,29.5
TATAMOTORS,24-Jan-14,26-Feb-14,400,5.3,22.5
TATAMOTORS,24-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,27-Jan-14,30-Jan-14,400,0.25,47
TATAMOTORS,27-Jan-14,26-Feb-14,400,2.05,49
TATAMOTORS,27-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,28-Jan-14,30-Jan-14,400,0.15,43.7
TATAMOTORS,28-Jan-14,26-Feb-14,400,2.25,43
TATAMOTORS,28-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,29-Jan-14,30-Jan-14,400,0.05,43.7
TATAMOTORS,29-Jan-14,26-Feb-14,400,1.95,45
TATAMOTORS,29-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,30-Jan-14,30-Jan-14,400,0.05,43.05
TATAMOTORS,30-Jan-14,26-Feb-14,400,2.95,39.65
TATAMOTORS,30-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,31-Jan-14,26-Feb-14,400,1.9,50
TATAMOTORS,31-Jan-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,31-Jan-14,24-Apr-14,400,18,47.9
TATAMOTORS,03-Feb-14,26-Feb-14,400,1.2,61.5
TATAMOTORS,03-Feb-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,03-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,04-Feb-14,26-Feb-14,400,1.45,52
TATAMOTORS,04-Feb-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,04-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,05-Feb-14,26-Feb-14,400,2.6,52
TATAMOTORS,05-Feb-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,05-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,06-Feb-14,26-Feb-14,400,2.6,43.65
TATAMOTORS,06-Feb-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,06-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,07-Feb-14,26-Feb-14,400,3.1,40
TATAMOTORS,07-Feb-14,27-Mar-14,400,16.65,37.4
TATAMOTORS,07-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,10-Feb-14,26-Feb-14,400,2.95,38.95
TATAMOTORS,10-Feb-14,27-Mar-14,400,7,37.4
TATAMOTORS,10-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,11-Feb-14,26-Feb-14,400,2.85,27
TATAMOTORS,11-Feb-14,27-Mar-14,400,8.3,37.4
TATAMOTORS,11-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,12-Feb-14,26-Feb-14,400,2.55,25
TATAMOTORS,12-Feb-14,27-Mar-14,400,8,37.4
TATAMOTORS,12-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,13-Feb-14,26-Feb-14,400,2.15,24.7
TATAMOTORS,13-Feb-14,27-Mar-14,400,8,37.4
TATAMOTORS,13-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,14-Feb-14,26-Feb-14,400,4,14.2
TATAMOTORS,14-Feb-14,27-Mar-14,400,11.85,23
TATAMOTORS,14-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,17-Feb-14,26-Feb-14,400,3.35,15.4
TATAMOTORS,17-Feb-14,27-Mar-14,400,10.5,21.7
TATAMOTORS,17-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,18-Feb-14,26-Feb-14,400,4.1,11.4
TATAMOTORS,18-Feb-14,27-Mar-14,400,12.25,17.45
TATAMOTORS,18-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,19-Feb-14,26-Feb-14,400,3.9,11.35
TATAMOTORS,19-Feb-14,27-Mar-14,400,12.3,17.85
TATAMOTORS,19-Feb-14,24-Apr-14,400,18,47.9
TATAMOTORS,20-Feb-14,26-Feb-14,400,3.2,10.6
